Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,75257759437.000000,-42936439630.000000,32321319807.000000,309559806646.000000,-2396308365.000000,-12601506353.000000,324557621364.000000,309559806646.000000,341881126453.000000,-16204754219.000000,21521028.000000,-16226275247.000000,,-16204754219.000000,325676372234.000000,-7095585324.000000,,-970429963.000000,-6125155361.000000,-7095585324.000000,318580786910.000000,,318580786910.000000,3581272138.000000,322162059048.000000,318580786910.000000,318580786910.000000,,318580786910.000000,322162059048.000000,322162059048.000000,,322162059048.000000
12M 2019,72436627133.000000,-32887917062.000000,39548710071.000000,-15052058459.000000,-2617520154.000000,-12625319747.000000,190781442.000000,-15052058459.000000,24496651612.000000,-11706329558.000000,2210149297.000000,-13916478855.000000,,-11706329558.000000,12790322054.000000,-7222656422.000000,,-1315338484.000000,-5907317938.000000,-7222656422.000000,5567665632.000000,,5567665632.000000,-7329856.000000,5560335776.000000,5567665632.000000,5567665632.000000,,5567665632.000000,5560335776.000000,5560335776.000000,,5560335776.000000
12M 2020,48438205011.000000,-25161729343.000000,23276475668.000000,-13906496776.000000,-1349463267.000000,-11305001376.000000,-1252032133.000000,-13906496776.000000,9369978892.000000,-10889105163.000000,3055693838.000000,-13944799001.000000,,-10889105163.000000,-1519126271.000000,-4809522512.000000,,-1043452535.000000,-3766069977.000000,-4809522512.000000,-6328648783.000000,,-6328648783.000000,-7714344.000000,-6336363127.000000,-6328648783.000000,-6328648783.000000,,-6328648783.000000,-6336363127.000000,-6336363127.000000,,-6336363127.000000
12M 2021,46931553767.000000,-25005695484.000000,21925858283.000000,-15860114115.000000,-1704915090.000000,-11769113574.000000,-2386085451.000000,-15860114115.000000,6065744168.000000,-12806881366.000000,199380541.000000,-13006261907.000000,,-12806881366.000000,-6741137198.000000,-3719948353.000000,-70759920.000000,47751916.000000,-3696940349.000000,-3719948353.000000,-10461085551.000000,,-10461085551.000000,1069909880.000000,-9391175671.000000,-10461085551.000000,-10461085551.000000,,-10461085551.000000,-9391175671.000000,-9391175671.000000,,-9391175671.000000
12M 2022,54825067000.000000,-26040773119.000000,28784293881.000000,-16881388574.000000,-1676982193.000000,-13057599086.000000,-2146807295.000000,-16881388574.000000,11902905307.000000,-10639431856.000000,28261227.000000,-10667693083.000000,,-10639431856.000000,1263473451.000000,-4468121344.000000,-83207674.000000,,-4384913670.000000,-4468121344.000000,-3204647893.000000,,-3204647893.000000,-8750419.000000,-3213398312.000000,-3204647893.000000,-3204647893.000000,,-3204647893.000000,-3213398312.000000,-3213398312.000000,,-3213398312.000000
12M 2023,51476967511.000000,-26385812424.000000,25091155087.000000,-12966408538.000000,-1864333653.000000,-10984772392.000000,-117302493.000000,-12966408538.000000,12124746549.000000,-7548066908.000000,213008729.000000,-7761075637.000000,,-7548066908.000000,4576679641.000000,-4149284060.000000,-45260222.000000,,-4104023838.000000,-4149284060.000000,427395581.000000,,427395581.000000,-9422177.000000,417973404.000000,427395581.000000,427395581.000000,,427395581.000000,417973404.000000,417973404.000000,,417973404.000000
12M 2024,52440667650.000000,-27053672475.000000,25386995175.000000,-11985693166.000000,-1404647097.000000,-10761280318.000000,180234249.000000,-11985693166.000000,13401302009.000000,-4377736596.000000,18577431.000000,-7430219780.000000,3033905753.000000,-4377736596.000000,9023565413.000000,-4474997423.000000,-286434782.000000,,-4188562641.000000,-4474997423.000000,4548567990.000000,,4548567990.000000,1000513902.000000,5549081892.000000,4548567990.000000,4548567990.000000,,4548567990.000000,5549081892.000000,5549081892.000000,,5549081892.000000
