Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Operasional Lainnya",Pembayaran Untuk Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Penerimaan Pendapatan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Pengembalian Uang Muka Tanah,Uang Muka Pembebasan Tanah,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Uang Muka Properti Investasi,Penambahan Properti Investasi,Perpanjangan Sertifikat Hgb,Pengurangan Aset Pengampunan Pajak,Pembayaran Investasi Aset Pengembangan Prudential,Pencairan Investasi Aset Pengembangan Prudential,Penambahan Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Penambahan Modal Saham,Pembayaran Pinjaman Lainnya,Penerimaan Utang Non Usaha Pihak Berelasi,Pembayaran Utang Non Usaha Pihak Berelasi,Penerimaan Dari Piutang Non-Usaha Pengampunan Pajak,Pembayaran Biaya Aksi Korporat,Penerimaan Dari Hasil Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,11586572497.000000,78078532098.000000,-42232153960.000000,-16345485044.000000,-7914320597.000000,,,11586572497.000000,-2227294911.000000,,,,,-143401600.000000,,,-1050000000.000000,,,-1033893311.000000,,,-2227294911.000000,-5417582528.000000,-6661111111.000000,,,-786471417.000000,3950000000.000000,-1920000000.000000,,,,-5417582528.000000,3941695058.000000,1612371269.000000,5554066327.000000
12M 2019,-7786085368.000000,84036957756.000000,-70185293331.000000,-13559983536.000000,-8077766257.000000,,,-7786085368.000000,-49791655167.000000,,104965000.000000,,,-351966192.000000,,,-11943208008.000000,,,-1354595967.000000,,-36246850000.000000,-49791655167.000000,53389687884.000000,-7495029000.000000,,,,,,1645100753.000000,,59239616131.000000,53389687884.000000,-4188052651.000000,5554066327.000000,1366013676.000000
12M 2020,-2607187954.000000,44333274964.000000,-38673673149.000000,-8050104553.000000,-5077958604.000000,,4861273388.000000,-2607187954.000000,32234213925.000000,,21961700.000000,,,-61396157.000000,,,-3842842447.000000,,,-130359171.000000,,36246850000.000000,32234213925.000000,-2336805556.000000,-2336805556.000000,,,,,,,,,-2336805556.000000,27290220415.000000,1366013676.000000,28656234091.000000
12M 2021,-960560334.000000,43608174077.000000,-36194405615.000000,-4807883989.000000,-3765825348.000000,,199380541.000000,-960560334.000000,-24100644712.000000,,,,-5223700000.000000,-75793000.000000,,,-19024688750.000000,,223537038.000000,,,,-24100644712.000000,,,,,,,,,,,,-25061205046.000000,28656234091.000000,3595029045.000000
12M 2022,1766177208.000000,56300696287.000000,-43876331842.000000,-6307598236.000000,-4378850228.000000,,28261227.000000,1766177208.000000,-4449415290.000000,,,,-3035000000.000000,-88912636.000000,,,,,,-1325502654.000000,,,-4449415290.000000,-22544494.000000,,-22544494.000000,,,,,,,,-22544494.000000,-2705782576.000000,3595029045.000000,889246469.000000
12M 2023,1544796575.000000,52453783933.000000,-39136995673.000000,-7747095141.000000,-4237905273.000000,,213008729.000000,1544796575.000000,3275331245.000000,,3800000.000000,5223700000.000000,-1030000000.000000,-76271708.000000,,-487291720.000000,,,,-358605327.000000,,,3275331245.000000,870764869.000000,-6000000000.000000,-129235131.000000,,,7000000000.000000,,,,,870764869.000000,5690892689.000000,889246469.000000,6580139158.000000
12M 2024,-1489737267.000000,49672216809.000000,-39349749000.000000,-7347428097.000000,-351194679.000000,-4132159731.000000,18577431.000000,-1489737267.000000,-7338864086.000000,138207308.000000,,,-998751375.000000,-84951980.000000,-690000000.000000,-5703368039.000000,,,,,,,-7338864086.000000,3293701899.000000,-6000000000.000000,-139579699.000000,,,10601388937.000000,,,-1168107339.000000,,3293701899.000000,-5534899454.000000,6580139158.000000,1045239704.000000
