Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,273.18,0.00,273.18,,,,,
12M 2012,1.03,367.83,1.03,367.83,,,,,
12M 2013,0.98,383.35,0.98,383.35,,,,,
12M 2014,1.14,405.13,1.14,405.13,,,,,
12M 2015,1.04,422.01,1.04,422.01,,,,,
12M 2016,1.18,482.41,1.18,482.41,,,,,
12M 2017,1.36,521.96,1.36,521.96,,,,,
12M 2018,1.22,565.62,1.22,565.62,,,,,
12M 2019,1.12,612.28,1.12,612.28,,,,,
12M 2020,1.02,666.31,1.02,666.31,,,,,
12M 2021,1.03,726.62,1.03,726.62,,,,,
12M 2022,0.93,762.27,0.93,762.27,,,,,
12M 2023,0.77,809.24,0.77,809.24,,,,,
12M 2024,0.65,833.31,0.65,833.31,,,,,
