Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Pinjaman Yang Diterima,Surat Berharga Yang Diterbitkan,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,1903018000000.000000,1714745000000.000000,3572272000000.000000,,144849000000.000000,15990324000000.000000,-100730000000.000000,16034443000000.000000,176457000000.000000,,176457000000.000000,11513000000.000000,,1434068000000.000000,24846516000000.000000,,,514513000000.000000,20142131000000.000000,5291201000000.000000,14850930000000.000000,20142131000000.000000,246236000000.000000,27142000000.000000,219094000000.000000,246236000000.000000,315149000000.000000,,256209000000.000000,10201000000.000000,,,101958000000.000000,21586397000000.000000,,942123000000.000000,,2317996000000.000000,1437417000000.000000,880579000000.000000,,2317996000000.000000,,,3260119000000.000000,24846516000000.000000,11934147982.000000
12M 2012,,1961319000000.000000,1939154000000.000000,5135760000000.000000,,117788000000.000000,18438541000000.000000,-255666000000.000000,18300663000000.000000,203609000000.000000,,203609000000.000000,,,1571688000000.000000,29112193000000.000000,,,290874000000.000000,22209673000000.000000,5552464000000.000000,16657209000000.000000,22209673000000.000000,392115000000.000000,107489000000.000000,284626000000.000000,392115000000.000000,319061000000.000000,,217483000000.000000,20929000000.000000,50433000000.000000,,124519000000.000000,23625087000000.000000,,3729421000000.000000,509368000000.000000,1248317000000.000000,523678000000.000000,724639000000.000000,,1248317000000.000000,,,5487106000000.000000,29112193000000.000000,14917684982.000000
12M 2013,,2319648000000.000000,2260721000000.000000,3068998000000.000000,,139282000000.000000,21945054000000.000000,-525628000000.000000,21558708000000.000000,262528000000.000000,,262528000000.000000,,,3575934000000.000000,33046537000000.000000,,,221366000000.000000,25987820000000.000000,5042215000000.000000,20945605000000.000000,25987820000000.000000,314497000000.000000,21078000000.000000,293419000000.000000,314497000000.000000,315787000000.000000,,242871000000.000000,95183000000.000000,47876000000.000000,,102474000000.000000,27327874000000.000000,,3729421000000.000000,509368000000.000000,1479874000000.000000,824312000000.000000,655562000000.000000,,1479874000000.000000,,,5718663000000.000000,33046537000000.000000,14917684982.000000
12M 2014,,1888527000000.000000,2843785000000.000000,3325793000000.000000,,101645000000.000000,26093234000000.000000,-650616000000.000000,25544263000000.000000,,321201000000.000000,321201000000.000000,46554000000.000000,,4027923000000.000000,37998046000000.000000,,,315275000000.000000,30270324000000.000000,6792232000000.000000,23478092000000.000000,30270324000000.000000,611782000000.000000,108083000000.000000,503699000000.000000,611782000000.000000,316984000000.000000,,286724000000.000000,74472000000.000000,,,78850000000.000000,31954411000000.000000,,3729421000000.000000,509368000000.000000,1804846000000.000000,939084000000.000000,865762000000.000000,,1804846000000.000000,,,6043635000000.000000,37998046000000.000000,14917684982.000000
12M 2015,,2112006000000.000000,3345232000000.000000,3023916000000.000000,,101643000000.000000,28310356000000.000000,-988253000000.000000,27423746000000.000000,,339148000000.000000,339148000000.000000,110609000000.000000,,6448974000000.000000,42803631000000.000000,,,454844000000.000000,34263920000000.000000,7326361000000.000000,26937559000000.000000,34263920000000.000000,853191000000.000000,154276000000.000000,698915000000.000000,853191000000.000000,490214000000.000000,,20626000000.000000,293065000000.000000,,,132310000000.000000,36508170000000.000000,,3729421000000.000000,509368000000.000000,2056672000000.000000,1170964000000.000000,885708000000.000000,,2056672000000.000000,,,6295461000000.000000,42803631000000.000000,14917684982.000000
12M 2016,,1709884000000.000000,2504680000000.000000,4945925000000.000000,,108621000000.000000,29566801000000.000000,-1322355000000.000000,28353067000000.000000,,857420000000.000000,857420000000.000000,201840000000.000000,,4460134000000.000000,43032950000000.000000,,,322798000000.000000,32798657000000.000000,4834579000000.000000,27964078000000.000000,32798657000000.000000,1218185000000.000000,151681000000.000000,1066504000000.000000,1218185000000.000000,972799000000.000000,,93025000000.000000,314493000000.000000,,,103421000000.000000,35823378000000.000000,,3736264000000.000000,514843000000.000000,2443428000000.000000,1415212000000.000000,1028216000000.000000,,2443428000000.000000,,515037000000.000000,7209572000000.000000,43032950000000.000000,14945057582.000000
12M 2017,,1673588000000.000000,3617670000000.000000,8945755000000.000000,,189025000000.000000,31565388000000.000000,-1394006000000.000000,30360407000000.000000,,943613000000.000000,943613000000.000000,438805000000.000000,,5538843000000.000000,51518681000000.000000,,,410627000000.000000,39845108000000.000000,8118670000000.000000,31726438000000.000000,39845108000000.000000,1448961000000.000000,182038000000.000000,1266923000000.000000,1448961000000.000000,1296878000000.000000,,151000000000.000000,363019000000.000000,,,187014000000.000000,43702607000000.000000,,3743648000000.000000,519663000000.000000,2977508000000.000000,1818138000000.000000,1159370000000.000000,,2977508000000.000000,,575255000000.000000,7816074000000.000000,51518681000000.000000,14974591382.000000
12M 2018,,1913960000000.000000,4075938000000.000000,13347240000000.000000,,240632000000.000000,33652605000000.000000,-1198550000000.000000,32694687000000.000000,972057000000.000000,,972057000000.000000,467788000000.000000,,9217448000000.000000,62689118000000.000000,,,514585000000.000000,50915931000000.000000,14947056000000.000000,35968875000000.000000,50915931000000.000000,735108000000.000000,100108000000.000000,635000000000.000000,735108000000.000000,725563000000.000000,,398536000000.000000,149441000000.000000,,,778018000000.000000,54217182000000.000000,,3744534000000.000000,520603000000.000000,3577430000000.000000,2317122000000.000000,1260308000000.000000,,3577430000000.000000,,629369000000.000000,8471936000000.000000,62689118000000.000000,14978134982.000000
12M 2019,,2729776000000.000000,5734527000000.000000,11987227000000.000000,,320896000000.000000,38031404000000.000000,-980134000000.000000,37372166000000.000000,1023429000000.000000,,1023429000000.000000,481615000000.000000,,17386550000000.000000,76715290000000.000000,,,357565000000.000000,60545872000000.000000,14940917000000.000000,45604955000000.000000,60545872000000.000000,2888430000000.000000,137819000000.000000,2750611000000.000000,2888430000000.000000,1870246000000.000000,,433507000000.000000,63766000000.000000,,,1370252000000.000000,67529638000000.000000,,3750593000000.000000,528753000000.000000,4270070000000.000000,2893565000000.000000,1376505000000.000000,,4270070000000.000000,,636236000000.000000,9185652000000.000000,76715290000000.000000,15002370582.000000
12M 2020,,2511548000000.000000,3659969000000.000000,6883863000000.000000,,285595000000.000000,41195171000000.000000,-1454721000000.000000,40026045000000.000000,1205980000000.000000,,1205980000000.000000,591676000000.000000,,28740371000000.000000,83619452000000.000000,,,484834000000.000000,68468280000000.000000,14375132000000.000000,54093148000000.000000,68468280000000.000000,2855604000000.000000,238860000000.000000,2616744000000.000000,2855604000000.000000,631355000000.000000,,484666000000.000000,93135000000.000000,,,596628000000.000000,73614502000000.000000,,3753875000000.000000,532734000000.000000,5035286000000.000000,3546323000000.000000,1488963000000.000000,,5035286000000.000000,,683055000000.000000,10004950000000.000000,83619452000000.000000,15015498082.000000
