Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Penerimaan Dari Pendapatan Operasi Lainnya,Penerimaan Kembali Dari Kredit Hapus Buku,Penerimaan Dari Pendapatan Non-Operasional,Pembayaran Untuk Biaya Non-Operasional,"Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Beban Tenaga Kerja Dan Tunjangan Karyawan,Pembayaran Beban Umum Dan Administrasi,Pembayaran Pajak,Perubahan Dalam Aset Dan Liabilitas Operasi :,Kredit Yang Diberikan,Penempatan Pada Bank Indonesia Dan Bank Lain,Tagihan Spot Dan Derivatif,Tagihan Akseptasi,Tagihan Reverse Repo,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Aset Lain-Lain Dan Tagihan Lainnya,Liabilitas Segera,Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Piutang Dan Pembiayaan Syariah,Giro Mudharabah,Liabilitas Akseptasi,Dana Syirkah Temporer,Utang Pajak,Liabilitas Spot Dan Derivatif,Liabilitas Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Lain-Lain,Total Perubahan Dalam Aset Dan Liabilitas Operasi :,Total Arus Kas Dari Aktivitas Operasi,Adjustment,Arus Kas Dari Aktivitas Investasi,Kenaikan Nilai Surat Berharga Yang Dimiliki Hingga Jatuh Tempo,Pembelian Surat Berharga Yang Dimiliki Hingga Jatuh Tempo,(Kenaikan)/Penurunan Nilai Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Akuisisi Entitas Anak,Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Pembelian Aset Takberwujud,Efek-Efek Yang Diperdagangkan,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Revaluasi Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Adjustment,Arus Kas Dari Aktivitas Pendanaan,Penambahan Pinjaman,Pembayaran Pinjaman,Penerimaan Dari Penambahan Modal Saham,Surat Berharga Yang Diterbitkan,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Biaya Emisi Saham,Pembentukan Dana Sinoman,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,1627156000000.000000,2702462000000.000000,122954000000.000000,27769000000.000000,16548000000.000000,-58708000000.000000,-816121000000.000000,-566651000000.000000,-292534000000.000000,-352405000000.000000,,-3092516000000.000000,,,,,,-277681000000.000000,298165000000.000000,3923382000000.000000,1924000000.000000,,,,,-16965000000.000000,,,7533000000.000000,843842000000.000000,1627156000000.000000,,-277259000000.000000,-227915000000.000000,,,,,,,-49344000000.000000,,,-277259000000.000000,,-158755000000.000000,,197084000000.000000,133612000000.000000,,,-480711000000.000000,,-8740000000.000000,-158755000000.000000,,1191142000000.000000,6059529000000.000000,152000000.000000,7250823000000.000000
12M 2012,652315000000.000000,2862753000000.000000,152928000000.000000,126009000000.000000,21596000000.000000,-74084000000.000000,-904647000000.000000,-527396000000.000000,-372117000000.000000,-201277000000.000000,,-2572747000000.000000,,,,,,145895000000.000000,-223638000000.000000,2067542000000.000000,145879000000.000000,,,,,-10201000000.000000,,,15820000000.000000,-431450000000.000000,652315000000.000000,,-306519000000.000000,-227237000000.000000,,-18534000000.000000,,,,,-61907000000.000000,1159000000.000000,,-306519000000.000000,,1506259000000.000000,,3911000000.000000,2014335000000.000000,,,-484318000000.000000,-27669000000.000000,,1506259000000.000000,,1852055000000.000000,7250823000000.000000,3423000000.000000,9106301000000.000000
12M 2013,1236094000000.000000,3366852000000.000000,175230000000.000000,185988000000.000000,6167000000.000000,-72554000000.000000,-913320000000.000000,-558599000000.000000,-435064000000.000000,-273330000000.000000,,-3853997000000.000000,,,,,,-39802000000.000000,-69508000000.000000,3778147000000.000000,-77618000000.000000,,,,,15829000000.000000,,,1673000000.000000,-245276000000.000000,1236094000000.000000,,-2008518000000.000000,-1931422000000.000000,,18534000000.000000,,,,,-96630000000.000000,1000000000.000000,,-2008518000000.000000,,-596029000000.000000,,-3274000000.000000,,,,-592755000000.000000,,,-596029000000.000000,,-1368453000000.000000,9106301000000.000000,14458000000.000000,7752306000000.000000
12M 2014,1501371000000.000000,4011782000000.000000,191137000000.000000,181740000000.000000,23710000000.000000,-96931000000.000000,-1186216000000.000000,-708660000000.000000,-522064000000.000000,-545734000000.000000,,-4489461000000.000000,,,,,,-119000000.000000,93909000000.000000,4282504000000.000000,297285000000.000000,,,,,-6158000000.000000,,,-25353000000.000000,152607000000.000000,1501371000000.000000,,-523352000000.000000,-436744000000.000000,,13670000000.000000,,,,,-100788000000.000000,510000000.000000,,-523352000000.000000,,-612915000000.000000,1197000000.000000,,,,,-605869000000.000000,,-8243000000.000000,-612915000000.000000,,365104000000.000000,7752306000000.000000,270000000.000000,8117680000000.000000
12M 2015,3150353000000.000000,4667638000000.000000,244527000000.000000,96803000000.000000,69353000000.000000,-5114000000.000000,-1573068000000.000000,-943540000000.000000,-843418000000.000000,-442877000000.000000,,-2479095000000.000000,,,,,,-68890000000.000000,139569000000.000000,3993596000000.000000,241409000000.000000,,,,,,,,53460000000.000000,1880049000000.000000,3150353000000.000000,,-2232077000000.000000,-2164444000000.000000,,,,,,,-67707000000.000000,74000000.000000,,-2232077000000.000000,,-460652000000.000000,173230000000.000000,,,,,-624491000000.000000,,-9391000000.000000,-460652000000.000000,,457624000000.000000,8117680000000.000000,67000000.000000,8575371000000.000000
12M 2016,-1132088000000.000000,4920825000000.000000,276100000000.000000,73651000000.000000,30860000000.000000,-30100000000.000000,-1412098000000.000000,-1055901000000.000000,-747852000000.000000,-464049000000.000000,,-1439021000000.000000,,,,,,-8964000000.000000,-132046000000.000000,-1465263000000.000000,364994000000.000000,,,,,,,,-43224000000.000000,-2723524000000.000000,-1132088000000.000000,,2150089000000.000000,2197500000000.000000,,,,,,,-47411000000.000000,,,2150089000000.000000,,-146557000000.000000,482585000000.000000,,12318000000.000000,,,-641460000000.000000,,,-146557000000.000000,,871444000000.000000,8575371000000.000000,-291000000.000000,9446524000000.000000
12M 2017,6663420000000.000000,4944953000000.000000,307806000000.000000,63381000000.000000,32715000000.000000,-39656000000.000000,-1386372000000.000000,-1134253000000.000000,-720082000000.000000,-601999000000.000000,,-2224469000000.000000,,,,,,27125000000.000000,87829000000.000000,7046450000000.000000,230776000000.000000,,,,,,,,29216000000.000000,5196927000000.000000,6663420000000.000000,,-1490006000000.000000,-1458594000000.000000,,,,,,,-31412000000.000000,,,-1490006000000.000000,,-315919000000.000000,324079000000.000000,,12204000000.000000,,,-652202000000.000000,,,-315919000000.000000,,4857495000000.000000,9446524000000.000000,,14304019000000.000000
12M 2018,9427320000000.000000,5126743000000.000000,336066000000.000000,77254000000.000000,55739000000.000000,-7960000000.000000,-1501446000000.000000,-1360329000000.000000,-785200000000.000000,-544875000000.000000,,-2464765000000.000000,,,,,-566891000000.000000,9831000000.000000,93811000000.000000,11070824000000.000000,-713853000000.000000,,,,,,,566699000000.000000,35672000000.000000,8031328000000.000000,9427320000000.000000,,-3063485000000.000000,-3032249000000.000000,,,,,,,-31236000000.000000,,,-3063485000000.000000,,-1229874000000.000000,-571314000000.000000,,1826000000.000000,,,-660386000000.000000,,,-1229874000000.000000,,5133961000000.000000,14304019000000.000000,-195000000.000000,19437785000000.000000
12M 2019,2337757000000.000000,5793913000000.000000,396007000000.000000,77973000000.000000,74120000000.000000,-6565000000.000000,-1832032000000.000000,-1427754000000.000000,-777253000000.000000,-581512000000.000000,,-5038885000000.000000,-112000000000.000000,,,-5837520000000.000000,-471540000000.000000,-53071000000.000000,-146873000000.000000,9629941000000.000000,2153322000000.000000,,,,,,,470394000000.000000,27092000000.000000,620860000000.000000,2337757000000.000000,,-1795971000000.000000,-1774238000000.000000,,,,,,,-22126000000.000000,393000000.000000,,-1795971000000.000000,,475026000000.000000,1144682000000.000000,,14209000000.000000,,,-683865000000.000000,,,475026000000.000000,,1016812000000.000000,19437785000000.000000,-1231000000.000000,20453366000000.000000
12M 2020,31467000000.000000,6088742000000.000000,361930000000.000000,55055000000.000000,32562000000.000000,-40586000000.000000,-2031472000000.000000,-1544796000000.000000,-846581000000.000000,-17367000000.000000,,-3128465000000.000000,112000000000.000000,,,-6735524000000.000000,1038432000000.000000,-335420000000.000000,127269000000.000000,7922407000000.000000,-32826000000.000000,,,,,,,-1037094000000.000000,43201000000.000000,-2026020000000.000000,31467000000.000000,,-5234656000000.000000,-4951094000000.000000,,,,,,,-286233000000.000000,2671000000.000000,,-5234656000000.000000,,-1956262000000.000000,,-1238891000000.000000,7262000000.000000,,-886000000.000000,-723747000000.000000,,,-1956262000000.000000,,-7159451000000.000000,20453366000000.000000,-25000000.000000,13293890000000.000000
