Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,,,0.0
12M 2012,,,,,,,,,15.17,14.62,0.11,0.09,,,0.0
12M 2013,,,,,,,,,14.53,13.56,0.11,0.1,,,0.0
12M 2014,,,,,,,,,13.99,13.5,0.11,0.1,,,0.0
12M 2015,,,,,,,,,14.25,14.48,0.12,0.1,,,0.0
12M 2016,,,,,,,,,8.2,5.68,0.11,0.11,,,0.0
12M 2017,,,,,,,,,5.43,5.51,0.1,0.09,,,0.0
12M 2018,,,,,,,,,5.43,5.46,0.09,0.08,,,0.0
12M 2019,,,,,,,,,5.85,5.91,0.08,0.08,,,0.0
12M 2020,,,,,,,,,5.46,5.49,0.08,0.07,,,0.0
12M 2021,,,,,,,,,5.66,5.69,0.07,0.07,,,0.0
12M 2022,,,,,,,,,5.67,5.44,0.07,0.07,,,0.0
12M 2023,,,,,,,,,5.74,5.78,0.07,0.07,,,0.0
12M 2024,,,,,,,,,5.23,5.26,0.08,0.07,,,0.0
