Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Surat Berharga Jangka Menengah,Utang Bank,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Surat Berharga Jangka Menengah,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Obligasi Konversi,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,221955781752.000000,265127292672.000000,41729061252.000000,223398231420.000000,265127292672.000000,3802629568.000000,414916063504.000000,44816116174.000000,950617883670.000000,,3621561682.000000,736725212.000000,26122450516.000000,397948186334.000000,,,,66622992225.000000,495051915969.000000,1445669799639.000000,,,449854948189.000000,,,150387252711.000000,,91053768.000000,228189805876.000000,228280859644.000000,21155493925.000000,,,,,39155297782.000000,,10876044127.000000,449854948189.000000,48050308650.000000,,,,,,48050308650.000000,48050308650.000000,497905256839.000000,,555400000000.000000,43579620031.000000,43579620031.000000,43579620031.000000,348784922769.000000,293391147900.000000,55393774869.000000,,55393774869.000000,348784922769.000000,,,947764542800.000000,1445669799639.000000,5554000000.000000
12M 2009,,,163821008601.000000,304591350065.000000,37535057757.000000,267056292308.000000,304591350065.000000,7262410186.000000,437405549887.000000,107804147321.000000,1020884466060.000000,,3803068585.000000,736725212.000000,27935063013.000000,402062398262.000000,,,,107202909005.000000,541740164077.000000,1562624630137.000000,,,510854102156.000000,,,59775213733.000000,,1374935842.000000,355910997052.000000,357285932894.000000,26580871964.000000,,,,,56877075875.000000,2984993169.000000,7350014521.000000,510854102156.000000,56455427885.000000,,,,,5452008226.000000,51003419659.000000,56455427885.000000,567309530041.000000,,555400000000.000000,43579620031.000000,43579620031.000000,43579620031.000000,396335480065.000000,333828603554.000000,62506876511.000000,,62506876511.000000,396335480065.000000,,,995315100096.000000,1562624630137.000000,5554000000.000000
12M 2010,,,265445594112.000000,357711599224.000000,39619931468.000000,318091667756.000000,357711599224.000000,10907603787.000000,386653606316.000000,118830446316.000000,1139548849755.000000,,1359996076.000000,261725212.000000,31763651027.000000,413196818855.000000,,,,71160793387.000000,517742984557.000000,1657291834312.000000,,,469822675254.000000,,,39312427976.000000,,5355664152.000000,295631431272.000000,300987095424.000000,26723393305.000000,,,,,63299000098.000000,4062505123.000000,35438253328.000000,469822675254.000000,73434800480.000000,,,,,4657870140.000000,68776930340.000000,73434800480.000000,543257475734.000000,,555400000000.000000,43579620031.000000,43579620031.000000,43579620031.000000,515049323681.000000,376333279581.000000,138716044100.000000,,138716044100.000000,515049323681.000000,5414866.000000,,1114034358578.000000,1657291834312.000000,5554000000.000000
12M 2011,,,199385754109.000000,384036845128.000000,47741498527.000000,336295346601.000000,384036845128.000000,8193186427.000000,456068713230.000000,215345225032.000000,1263029723926.000000,,1197723489.000000,261725212.000000,35359758307.000000,426719769958.000000,,,,67673722212.000000,531212699178.000000,1794242423104.000000,,,459694310936.000000,,,14388635914.000000,,5352900854.000000,278881539496.000000,284234440350.000000,44306029219.000000,,,,,78050074343.000000,5003948025.000000,33711183085.000000,459694310936.000000,82042428342.000000,,,,,5382906019.000000,76659522323.000000,82042428342.000000,541736739278.000000,,555400000000.000000,43579620031.000000,43579620031.000000,43579620031.000000,653522960555.000000,481757473097.000000,171765487458.000000,,171765487458.000000,653522960555.000000,3103240.000000,,1252505683826.000000,1794242423104.000000,5554000000.000000
12M 2012,,,316497879806.000000,458728515249.000000,103770489171.000000,354958026078.000000,458728515249.000000,5738392231.000000,530417299657.000000,194416312222.000000,1505798399165.000000,,1141880429.000000,921912000.000000,38355944552.000000,449140317883.000000,,2582281825.000000,,78406844932.000000,570549181621.000000,2076347580786.000000,,,537184235227.000000,,,17377108766.000000,,36884377032.000000,304248660515.000000,341133037547.000000,46608327874.000000,,,,,91281052262.000000,4086850879.000000,36697857899.000000,537184235227.000000,97629655893.000000,,,,,6389807839.000000,91239848054.000000,97629655893.000000,634813891120.000000,,555400000000.000000,53664261881.000000,53664261881.000000,53664261881.000000,817432560200.000000,612299243565.000000,205133316635.000000,,205133316635.000000,817432560200.000000,15036867585.000000,,1441533689666.000000,2076347580786.000000,5554000000.000000
12M 2013,,,394149909832.000000,546576423955.000000,61534147809.000000,485042276146.000000,546576423955.000000,7644556388.000000,640909360172.000000,221334364190.000000,1810614614537.000000,,523375893.000000,380977729.000000,39283318376.000000,498644378133.000000,,3412069215.000000,,119080815007.000000,661324934353.000000,2471939548890.000000,,,746123148554.000000,,,47375830919.000000,,21721859363.000000,456169891947.000000,477891751310.000000,52708653939.000000,,,,,117961455449.000000,1735823535.000000,48449633402.000000,746123148554.000000,101461711355.000000,,,,,1872949262.000000,99588762093.000000,101461711355.000000,847584859909.000000,,555400000000.000000,53664261881.000000,53664261881.000000,53664261881.000000,999160383798.000000,784611229538.000000,214549154260.000000,,214549154260.000000,999160383798.000000,16130043302.000000,,1624354688981.000000,2471939548890.000000,5554000000.000000
12M 2014,,,573360267681.000000,514930240224.000000,43761562484.000000,471168677740.000000,514930240224.000000,10164241862.000000,687406883246.000000,254569224893.000000,2040430857906.000000,,118783492.000000,165705970429.000000,42314182093.000000,557939412570.000000,,3240791261.000000,,158434628546.000000,927753768391.000000,2968184626297.000000,,,854811681427.000000,,,131515398867.000000,,15499642498.000000,489718895403.000000,505218537901.000000,49392289856.000000,,,,,130974795363.000000,1797144315.000000,35913515125.000000,854811681427.000000,302228994957.000000,200000000000.000000,,,,3093633500.000000,99135361457.000000,302228994957.000000,1157040676384.000000,,555400000000.000000,53664261881.000000,53664261881.000000,53664261881.000000,1180148774439.000000,945523095233.000000,234625679206.000000,,234625679206.000000,1180148774439.000000,21930913593.000000,,1811143949913.000000,2968184626297.000000,5554000000.000000
12M 2015,,,460994073484.000000,555352208059.000000,44818042782.000000,510534165277.000000,555352208059.000000,20854150798.000000,742317799941.000000,321403561337.000000,2100921793619.000000,,98045898.000000,165653849498.000000,89216561619.000000,681742779981.000000,,5638639078.000000,,192952406618.000000,1135302282692.000000,3236224076311.000000,,,1088431346892.000000,200000000000.000000,,120344417974.000000,,9367514174.000000,521746762477.000000,531114276651.000000,31356013492.000000,,,,,154019736680.000000,2125679070.000000,49471223025.000000,1088431346892.000000,285695906949.000000,,,,,2189926457.000000,283505980492.000000,285695906949.000000,1374127253841.000000,,555400000000.000000,53664261881.000000,53664261881.000000,53664261881.000000,1444833609822.000000,1133223638598.000000,,311609971224.000000,311609971224.000000,1444833609822.000000,26054403473.000000,-217855452706.000000,1862096822470.000000,3236224076311.000000,5554000000.000000
12M 2016,,,647683951012.000000,710031996055.000000,58755829680.000000,651276166375.000000,710031996055.000000,23023604074.000000,967326842652.000000,558671064495.000000,2906737458288.000000,,2693345517.000000,165000000000.000000,30554574621.000000,1006745257089.000000,274550104000.000000,5401189374.000000,,220880612175.000000,1705825082776.000000,4612562541064.000000,,,1696208867581.000000,,,443237127330.000000,,8562996673.000000,886562716768.000000,895125713441.000000,35388502216.000000,,,,,257637855043.000000,1447087831.000000,63372581720.000000,1696208867581.000000,644946264289.000000,300000000000.000000,75000000000.000000,,,2714084064.000000,267232180225.000000,644946264289.000000,2341155131870.000000,,555400000000.000000,53664261881.000000,53664261881.000000,53664261881.000000,1672566665324.000000,1329814361392.000000,,342752303932.000000,342752303932.000000,1672566665324.000000,50451177067.000000,-60674695078.000000,2271407409194.000000,4612562541064.000000,5554000000.000000
12M 2017,,,989637043381.000000,930000056805.000000,81343855030.000000,848656201775.000000,930000056805.000000,48942400816.000000,1192342702145.000000,501168012836.000000,3662090215983.000000,,3118521019.000000,165000000000.000000,26374624155.000000,1687785385991.000000,323837114000.000000,6751886639.000000,,221191224745.000000,2434058756549.000000,6096148972532.000000,,,2369507448769.000000,300000000000.000000,,830535529957.000000,,35457019096.000000,843751139064.000000,879208158160.000000,59417747193.000000,,,,,240091321200.000000,2450093182.000000,57804599077.000000,2369507448769.000000,1154120768637.000000,400000000000.000000,485520310577.000000,,,1002712606.000000,267597745454.000000,1154120768637.000000,3523628217406.000000,,555400000000.000000,77520935131.000000,77520935131.000000,77520935131.000000,1945867894415.000000,1619081645324.000000,,326786249091.000000,326786249091.000000,1945867894415.000000,62247845437.000000,-68515919856.000000,2572520755127.000000,6096148972533.000000,5554000000.000000
