Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.45,170.65,0.45,170.65,150 B,,150 B,(72 B),501 B
12M 2009,0.71,179.21,0.71,179.21,63 B,5 B,68 B,(96 B),510 B
12M 2010,0.79,200.58,0.79,200.58,43 B,5 B,48 B,(217 B),670 B
12M 2011,1.51,225.51,1.51,225.51,19 B,5 B,25 B,(175 B),803 B
12M 2012,2.88,256.84,2.89,256.38,21 B,6 B,28 B,(289 B),969 B
12M 2013,2.04,289.56,2.04,288.95,49 B,2 B,51 B,(343 B),"1,064 B"
12M 2014,4.55,322.15,4.56,321.57,133 B,203 B,336 B,(237 B),"1,186 B"
12M 2015,2.63,330.58,2.64,329.56,322 B,2 B,325 B,(136 B),"1,012 B"
12M 2016,6.88,399.88,6.89,398.91,445 B,378 B,822 B,175 B,"1,211 B"
12M 2017,5.97,451.98,5.99,450.76,"1,133 B",887 B,"2,020 B","1,030 B","1,293 B"
12M 2018,4.51,576.52,4.58,568.16,"2,194 B","1,846 B","4,040 B","2,080 B","1,595 B"
12M 2019,0.96,1303.91,0.98,1270.18,"5,772 B","2,524 B","8,297 B","6,936 B",(47 B)
12M 2020,3.38,1259.16,3.47,1225.12,"5,167 B","2,571 B","7,738 B","6,488 B",(694 B)
12M 2021,1.89,1285.50,1.94,1250.57,"4,758 B","3,103 B","7,861 B","7,113 B",323 B
12M 2022,0.84,1285.13,0.87,1250.05,"6,390 B","1,548 B","7,938 B","5,747 B",(511 B)
12M 2023,1.37,1057.77,1.41,1027.24,"6,927 B",614 B,"7,541 B","6,708 B","(3,523 B)"
