Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Adjustment,Pembayaran Bunga,Penerimaan Bunga,Penerimaan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Jaminan Bank,Restitusi Pajak,Penerimaan Operasi Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Aset Tetap,Aset Hak Guna,Asset Dalam Penyelesaian,Beban Tangguhan,Aset Lainnya,Angsuran Leasing,Total Perolehan Aset Tetap,Hasil Penjualan Aktiva Tetap,Hasil Penjualan Saham,Hasil Penjualan Investasi Anak Perusahaan,Divestasi Entitas Asosiasi,Investasi Pada Entitas Asosiasi,Pembelian Saham Entitas Anak,Penambahan Aset Tidak Lancar Lainnya,Aset Keuangan Lainnya,Penambahan Aset Tidak Berwujud,Investasi Pt Kimia Farma Averroes Sdn Bhd,Penerimaan Dividen,Jaminan Bank,Pencairan /Penempatan Deposito Berjangka,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan/Pembayaran Pinjaman Pemerintah,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan/Pembayaran Hutang Bank Jangka Pendek,Penambahan/Pembayaran Pinjaman Jangka Menengah,Pembayaran Pinjaman Jangka Menengah,Penerimaan Dari Obligasi Wajib Konversi,Jaminan Bank,Pembayaran Deviden,Penambahan Liabilitas Sewa,Pembayaran Pinjaman Dari Pemegang Saham,Pembayaran Anjak Piutang,Pembayaran Dividen Kepentingan Nonpengendali,Uang Muka Penyertaan Pt Sil,Pembayaran Biaya Aksi Korporasi,Penerimaan Dari Pemegang Saham,Penerbitan Saham Baru Entitas Anak,Pembayaran Pembiayaan Konsumen,Pembagian Dividen Dari Entitas Anak Untuk Kepentingan Nonpengendali,Penerimaan Dari Pelepasan Kepentingan Di Entitas Anak,Kepentingan Nonpengandali,Penerimaan/Pembayaran Dari Pihak-Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Perubahan Modal Proforma,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-22080322177.000000,2669486365456.000000,-2673227381095.000000,,,,-16873686055.000000,,,-43159967410.000000,,,41694346927.000000,-22080322177.000000,-36792141390.000000,3543424774.000000,,-30658174741.000000,,,,,,-30658174741.000000,710157149.000000,,,,,,,,,,62620795.000000,-10220695420.000000,,-229473947.000000,,-36792141390.000000,56314439339.000000,,,,73697095429.000000,,,,,-17807840975.000000,,,,,,,,,,,,,425184885.000000,56314439339.000000,-2558024228.000000,,,224513805980.000000,221955781752.000000
12M 2009,120369595992.000000,3110906884889.000000,-2963667519294.000000,,,,-25486369011.000000,,,-28522249160.000000,,,27138848568.000000,120369595992.000000,-73862379545.000000,1645214237.000000,,-34483038036.000000,,,,,,-34483038036.000000,620491975.000000,,,,,,,,,,,-41645047721.000000,,,,-73862379545.000000,-104641989598.000000,,,,-90612038978.000000,,,,,-13848443717.000000,,,,,,,,,,,,,-181506903.000000,-104641989598.000000,-58134773151.000000,,,221955781752.000000,163821008601.000000
12M 2010,139119874007.000000,3416892915296.000000,-3325987018489.000000,,,,-14336646263.000000,,,-43606774424.000000,44454648265.000000,39831462376.000000,21871287246.000000,139119874007.000000,-13325407522.000000,2254673193.000000,,-30455550037.000000,,,-13852285065.000000,,,-44307835102.000000,28252754387.000000,475000000.000000,,,,,,,,,,,,,,-13325407522.000000,-24169880974.000000,,,,-20462785757.000000,,,,,,,,,,,,,,-3897608712.000000,,,,190513495.000000,-24169880974.000000,101624585511.000000,,,163821008601.000000,265445594112.000000
12M 2011,81552753104.000000,3798052522755.000000,-3717346429080.000000,,,,-12059178398.000000,,,-55410239921.000000,10612509067.000000,36179059601.000000,21524509080.000000,81552753104.000000,-54388891056.000000,2159800243.000000,,-34832442058.000000,,,-24104009661.000000,,,-58936451719.000000,2191343969.000000,,,,,,,,,,196416451.000000,,,,,-54388891056.000000,-93223702052.000000,,,,-24923792062.000000,,,,,-46276979624.000000,,,,,-18317240000.000000,,,,-4763994419.000000,,,,1058304053.000000,-93223702052.000000,-66059840004.000000,,,265445594113.000000,199385754109.000000
12M 2012,230612654491.000000,4018454048266.000000,-2765002697480.000000,-463585368880.000000,-581786652168.000000,,-6872403386.000000,,,-74800158611.000000,374769890.000000,82374149407.000000,21456967453.000000,230612654491.000000,-65118073164.000000,2553911325.000000,,-24535135987.000000,,-28229931735.000000,-20065859043.000000,,,-72830926765.000000,6049403894.000000,,,,-921912000.000000,,,,,,31450382.000000,,,,,-65118073164.000000,-48382455631.000000,,,,-8864606946.000000,,,,,-34352788065.000000,,,,,,,,,-5165060620.000000,,,,,-48382455631.000000,117112125696.000000,,,199385754109.000000,316497879805.000000
12M 2013,253783664733.000000,4563133300516.000000,-3076539056023.000000,-498715350944.000000,-698196566046.000000,,-9639641584.000000,,,-99023130401.000000,204714162.000000,51620463956.000000,20938931097.000000,253783664733.000000,-172809468261.000000,3703407330.000000,,-89030076719.000000,,,-106352855445.000000,,,-195382932164.000000,18590496950.000000,,,,279559623.000000,,,,,,,,,,,-172809468261.000000,-3322166446.000000,,,,29998722154.000000,,,,,-30769803148.000000,,,,,,,,,-2551085452.000000,,,,,-3322166446.000000,77652030026.000000,,,316497879806.000000,394149909832.000000
12M 2014,286309255381.000000,4858544021925.000000,-3213395602045.000000,-607343492578.000000,-768088674290.000000,,-21869685415.000000,,,-50181904235.000000,-865969111.000000,60804533005.000000,28706028125.000000,286309255381.000000,-331588423774.000000,7258813883.000000,,-102413131061.000000,,,-85889115753.000000,,,-188302246814.000000,14944001857.000000,,,,-165324992700.000000,,,,-164000000.000000,,,,,,,-331588423774.000000,224489526242.000000,,,,84139567948.000000,200000000000.000000,,,,-53855793068.000000,,,,,,,,,-1468516370.000000,,,-4325732268.000000,,224489526242.000000,179210357849.000000,,,394149909832.000000,573360267681.000000
12M 2015,175966862349.000000,5160269176733.000000,-3486460569159.000000,-689390118248.000000,-838721290772.000000,,-36142085429.000000,,,-68190694925.000000,222397958.000000,102013237293.000000,32366808898.000000,175966862349.000000,-228502919211.000000,11970064411.000000,,-146204582173.000000,,,-106689146191.000000,,,-252893728364.000000,1120745180.000000,,,,,,,,-3179575954.000000,,14906196563.000000,,,-426621047.000000,,-228502919211.000000,-59830137335.000000,,,,-11170980893.000000,,,,,-46925135841.000000,,,,,,,,,-1734020601.000000,,,,,-59830137335.000000,-112366194197.000000,,,573360267681.000000,460994073484.000000
12M 2016,198050928790.000000,6045560235913.000000,-4101121149552.000000,-763454537209.000000,-999902832914.000000,,-62735679173.000000,,,-72733809240.000000,631185724.000000,117903300819.000000,33904214422.000000,198050928790.000000,-478919212905.000000,8313005782.000000,,-370184762823.000000,,,-123350826035.000000,,,-493535588858.000000,775495300.000000,,,,,,,,-1536715385.000000,,7064590256.000000,,,,,-478919212905.000000,467558161643.000000,,75000000000.000000,,322892709356.000000,100000000000.000000,,,,-49769803239.000000,,,,,,,,,-1189744474.000000,,,20625000000.000000,,467558161643.000000,186689877528.000000,,,460994073484.000000,647683951012.000000
12M 2017,5241243655.000000,6226965853899.000000,-4452789091356.000000,-1001562190006.000000,-1098792653491.000000,,-85951608979.000000,,,-71236100650.000000,-16930801.000000,399641269291.000000,88982695748.000000,5241243655.000000,-810236662007.000000,15763276694.000000,,-751823255819.000000,,,-65439829359.000000,-19224165316.000000,,-836487250494.000000,338980890.000000,,,,,,,,-1484744760.000000,,11633075663.000000,,,,,-810236662007.000000,1146948510723.000000,,410520310577.000000,,387298402627.000000,400000000000.000000,,,,-53485020000.000000,,,,,,,,,-4260182481.000000,,,6875000000.000000,,1146948510723.000000,341953092371.000000,,,647683951012.000000,989637043383.000000
