Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan (Rugi) Atas Transaksi Derivatif,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Final,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,274871750.000000,-175035693.000000,99836057.000000,-22041346.000000,-2082841.000000,-18551701.000000,-743919.000000,,,-662885.000000,-22041346.000000,77794711.000000,-33658.000000,338548.000000,-372206.000000,,,,-33658.000000,77761053.000000,-19614816.000000,-20952796.000000,1337980.000000,-19614816.000000,58146237.000000,,,58146237.000000,1840.000000,,1840.000000,58148077.000000,58146237.000000,856292.000000,57289945.000000,58146237.000000,58148077.000000,858132.000000,57289945.000000,58148077.000000
12M 2011,498190177.000000,-307987909.000000,190202268.000000,-33669736.000000,-2281161.000000,-27718783.000000,-2010701.000000,,740422.000000,-2399513.000000,-33669736.000000,156532532.000000,-631701.000000,457072.000000,-1088773.000000,,,,-631701.000000,155900831.000000,-40611388.000000,-41364911.000000,753523.000000,-40611388.000000,115289443.000000,,,115289443.000000,-144549.000000,,-144549.000000,115144894.000000,115289443.000000,57716891.000000,57572552.000000,115289443.000000,115144894.000000,57639973.000000,57504921.000000,115144894.000000
12M 2012,396685875.000000,-348535503.000000,48150372.000000,-27067041.000000,-358920.000000,-31529493.000000,612323.000000,,4518448.000000,-309399.000000,-27067041.000000,21083331.000000,-806748.000000,2851249.000000,-3657997.000000,,,,-806748.000000,20276583.000000,-8343901.000000,-8722756.000000,378855.000000,-8343901.000000,11932682.000000,,,11932682.000000,70418.000000,,70418.000000,12003100.000000,11932682.000000,3198832.000000,8733850.000000,11932682.000000,12003100.000000,3269250.000000,8733850.000000,12003100.000000
12M 2013,421849737.000000,-342297332.000000,79552405.000000,-29537091.000000,-528132.000000,-28679546.000000,-8205950.000000,,693712.000000,7182825.000000,-29537091.000000,50015314.000000,387705.000000,4067768.000000,-3680063.000000,,,,387705.000000,50403019.000000,-15799226.000000,-13424716.000000,-2374510.000000,-15799226.000000,34603793.000000,,,34603793.000000,1528929.000000,,1528929.000000,36132722.000000,34603793.000000,18543538.000000,16060255.000000,34603793.000000,36132722.000000,19919574.000000,16213148.000000,36132722.000000
12M 2014,499965642.000000,-413764435.000000,86201207.000000,-30171959.000000,-364698.000000,-31205900.000000,82262.000000,,-59647.000000,1376024.000000,-30171959.000000,56029248.000000,-2132023.000000,2511526.000000,-4643549.000000,,,,-2132023.000000,53897225.000000,-18096721.000000,-18096721.000000,,-18096721.000000,35800504.000000,,,35800504.000000,-3658657.000000,-3658657.000000,-3658657.000000,32141847.000000,35800504.000000,18327272.000000,17473232.000000,35800504.000000,32141847.000000,16180692.000000,15961155.000000,32141847.000000
12M 2015,348662183.000000,-278139095.000000,70523088.000000,-28210517.000000,-946133.000000,-27172890.000000,-654575.000000,,-343244.000000,906325.000000,-28210517.000000,42312571.000000,-3198174.000000,1733106.000000,-4624427.000000,-306853.000000,,,-3198174.000000,39114397.000000,-13390302.000000,-13390302.000000,,-13390302.000000,25724095.000000,,,25724095.000000,4093527.000000,4093527.000000,4093527.000000,29817622.000000,25724095.000000,11356010.000000,14368085.000000,25724095.000000,29817622.000000,14126857.000000,15690765.000000,29817622.000000
12M 2016,258271601.000000,-204983801.000000,53287800.000000,-23221178.000000,-626464.000000,-23095752.000000,158480.000000,,-85529.000000,428087.000000,-23221178.000000,30066622.000000,-4082429.000000,1345754.000000,-5356391.000000,-71792.000000,,,-4082429.000000,25984193.000000,-11397421.000000,,,-11397421.000000,14586772.000000,,,14586772.000000,-7724071.000000,-7724071.000000,-7724071.000000,6862701.000000,14586772.000000,2796608.000000,11790164.000000,14586772.000000,6862701.000000,-744305.000000,7607006.000000,6862701.000000
12M 2017,310709476.000000,-216601137.000000,94108339.000000,-29989593.000000,-507108.000000,-29725335.000000,-35570.000000,,-23028.000000,301448.000000,-29989593.000000,64118746.000000,-3923239.000000,2125585.000000,-6048824.000000,,,,-3923239.000000,60195507.000000,-18825616.000000,,,-18825616.000000,41369891.000000,,,41369891.000000,10024180.000000,10024180.000000,10024180.000000,51394071.000000,41369891.000000,21438589.000000,19931302.000000,41369891.000000,51394071.000000,26235040.000000,25159031.000000,51394071.000000
12M 2018,438444319.000000,-314348777.000000,124095542.000000,-21744963.000000,-1024058.000000,-34661278.000000,1149537.000000,,,12790836.000000,-21744963.000000,102350579.000000,-5068957.000000,4596371.000000,-9665328.000000,,,,-5068957.000000,97281622.000000,-29191826.000000,-29191826.000000,,-29191826.000000,68089796.000000,,,68089796.000000,-1614354.000000,-1614354.000000,-1614354.000000,66475442.000000,68089796.000000,37785670.000000,30304126.000000,68089796.000000,66475442.000000,37444150.000000,29031292.000000,66475442.000000
12M 2019,525524499.000000,-433828971.000000,91695528.000000,-9178647.000000,-859616.000000,-26811700.000000,-780623.000000,,,19273292.000000,-9178647.000000,82516881.000000,-19647713.000000,2491183.000000,-22138896.000000,,,,-19647713.000000,62869168.000000,-19123468.000000,-19123468.000000,,-19123468.000000,43745700.000000,,,43745700.000000,676547.000000,676547.000000,676547.000000,44422247.000000,43745700.000000,26549065.000000,17196635.000000,43745700.000000,44422247.000000,26743066.000000,17679181.000000,44422247.000000
12M 2020,331932404.000000,-296182526.000000,35749878.000000,28061648.000000,-445936.000000,-22592176.000000,-51336.000000,,,51151096.000000,28061648.000000,63811526.000000,-21728612.000000,2278917.000000,-24007529.000000,,,,-21728612.000000,42082914.000000,-6279048.000000,-6279048.000000,,-6279048.000000,35803866.000000,,,35803866.000000,-1727915.000000,-1727915.000000,-1727915.000000,34075951.000000,35803866.000000,24563977.000000,11239889.000000,35803866.000000,34075951.000000,24183558.000000,9892393.000000,34075951.000000
12M 2021,462666313.000000,-384863899.000000,77802414.000000,32656566.000000,-1795251.000000,-20589699.000000,873198.000000,,,54168318.000000,32656566.000000,110458980.000000,-23986747.000000,2160551.000000,-26147298.000000,,,,-23986747.000000,86472233.000000,-20864826.000000,-20864826.000000,,-20864826.000000,65607407.000000,,,65607407.000000,4507672.000000,4507672.000000,4507672.000000,70115079.000000,65607407.000000,48081894.000000,17525513.000000,65607407.000000,70115079.000000,50823247.000000,19291832.000000,70115079.000000
12M 2022,635790440.000000,-499774421.000000,136016019.000000,1708864.000000,-593420.000000,-33090627.000000,-338757.000000,,,35731668.000000,1708864.000000,137724883.000000,-23039241.000000,5413803.000000,-28453044.000000,,,,-23039241.000000,114685642.000000,-20800288.000000,-20800288.000000,,-20800288.000000,93885354.000000,,,93885354.000000,-5745475.000000,,-5745475.000000,88139879.000000,93885354.000000,57820059.000000,36065295.000000,93885354.000000,88139879.000000,52303039.000000,35836840.000000,88139879.000000
12M 2023,501262751.000000,-437435940.000000,63826811.000000,1793436.000000,-901394.000000,-51582981.000000,553.000000,,,54277258.000000,1793436.000000,65620247.000000,-32768634.000000,5253718.000000,-38022352.000000,,,,-32768634.000000,32851613.000000,-12005343.000000,-12005343.000000,,-12005343.000000,20846270.000000,,,20846270.000000,-8360863.000000,,-8360863.000000,12485407.000000,20846270.000000,7906516.000000,12939754.000000,20846270.000000,12485407.000000,-344776.000000,12830183.000000,12485407.000000
12M 2024,445648315.000000,-364549166.000000,81099149.000000,12806541.000000,-1112771.000000,-45365789.000000,,,,59285101.000000,12806541.000000,93905690.000000,-33027844.000000,3476304.000000,-35879709.000000,,,-624439.000000,-33027844.000000,60877846.000000,-12901719.000000,-12901719.000000,,-12901719.000000,47976127.000000,,,47976127.000000,-4735731.000000,,-4735731.000000,43240396.000000,47976127.000000,28470034.000000,19506093.000000,47976127.000000,43240396.000000,23390764.000000,19849632.000000,43240396.000000
