Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Properti Investasi,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Eksplorasi Dan Evaluasi,Biaya Pengupasan Tanah Yang Ditangguhkan,Properti Pertambangan,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,8363520.000000,16104465.000000,16104465.000000,,16104465.000000,207248.000000,207248.000000,,207248.000000,2509710.000000,3218771.000000,30403714.000000,,531915.000000,,531915.000000,531915.000000,,,,,,10032080.000000,,12634878.000000,,8970073.000000,26657.000000,,102192.000000,8928705.000000,41226500.000000,71630214.000000,,,31021518.000000,,17345929.000000,,17345929.000000,,138298.000000,,138298.000000,,1947974.000000,3661005.000000,,,,2127660.000000,522652.000000,5278000.000000,7928312.000000,,31021518.000000,24321611.000000,,,534488.000000,,,16629259.000000,17163747.000000,,2606383.000000,3423492.000000,6029875.000000,66053.000000,1061936.000000,24321611.000000,55343129.000000,,,530842.000000,,,,,7600028.000000,,8156215.000000,16287085.000000,71630214.000000,5000.000000
12M 2010,,,20729306.000000,19421955.000000,18351046.000000,1070909.000000,19421955.000000,13454367.000000,13454367.000000,,13454367.000000,2993524.000000,14864974.000000,71464126.000000,,14637590.000000,,14637590.000000,14637590.000000,,,,,,22914100.000000,,21444920.000000,,8207880.000000,25017.000000,,1372446.000000,2854494.000000,71456447.000000,142920573.000000,,,62354630.000000,,17279789.000000,,17279789.000000,,2225443.000000,,2225443.000000,,8168254.000000,19946716.000000,,,,107906.000000,1043710.000000,8878000.000000,10029616.000000,4704812.000000,62354630.000000,35706795.000000,,,1078880.000000,176319.000000,,9419810.000000,10675009.000000,,,22628058.000000,22628058.000000,,2403728.000000,35706795.000000,98061425.000000,,,14825982.000000,,,,,31489082.000000,,-1455916.000000,44859148.000000,142920573.000000,135000.000000
12M 2011,,,58573270.000000,15876067.000000,13970693.000000,1905374.000000,15876067.000000,10507321.000000,,,10507321.000000,18463065.000000,7370597.000000,110790320.000000,,32739641.000000,,32739641.000000,32739641.000000,,,,,,31515828.000000,,43456772.000000,2923016.000000,,25017.000000,,2435258.000000,1529581.000000,114625113.000000,225415433.000000,,,122797843.000000,,27312322.000000,,27312322.000000,8367448.000000,,,8367448.000000,,20154360.000000,31467523.000000,439690.000000,,,,887391.000000,25328191.000000,26215582.000000,8840918.000000,122797843.000000,43356803.000000,,,419291.000000,33876152.000000,,,34295443.000000,,,4052678.000000,4052678.000000,277112.000000,4731570.000000,43356803.000000,166154646.000000,,33019933.000000,,5024809.000000,,,5024809.000000,25867437.000000,,-4651392.000000,59260787.000000,225415433.000000,300000.000000
12M 2012,,,36307011.000000,16205594.000000,13684470.000000,2521124.000000,16205594.000000,6729446.000000,6729446.000000,,6729446.000000,28424654.000000,18845768.000000,106512473.000000,,47201816.000000,14491130.000000,32710686.000000,47201816.000000,,,,,,34053483.000000,,8897455.000000,,57564050.000000,25017.000000,,3267022.000000,4005184.000000,155014027.000000,261526500.000000,,,140537280.000000,,57809869.000000,551961.000000,58361830.000000,,365493.000000,,365493.000000,48291684.000000,8034468.000000,3384226.000000,,,,,498388.000000,11625625.000000,12124013.000000,9975566.000000,140537280.000000,10044913.000000,,,244902.000000,,,,244902.000000,,,2880575.000000,2880575.000000,779149.000000,6140287.000000,10044913.000000,150582193.000000,,44077885.000000,129869269.000000,1271946.000000,1271946.000000,,1271946.000000,25350937.000000,,-89625730.000000,110944307.000000,261526500.000000,2012491000.000000
12M 2013,,,63301639.000000,17756076.000000,16598657.000000,1157419.000000,17756076.000000,6398865.000000,6398865.000000,,6398865.000000,32389968.000000,10352236.000000,130198784.000000,,30789323.000000,,30789323.000000,30789323.000000,16815913.000000,13105673.000000,3710240.000000,16815913.000000,,49032780.000000,,4842009.000000,,71904619.000000,3523795.000000,,1495963.000000,3044753.000000,181449155.000000,311647939.000000,,,145451672.000000,,69265229.000000,,69265229.000000,,1907.000000,,1907.000000,33553129.000000,6057579.000000,7227871.000000,,,,,772679.000000,24941839.000000,25714518.000000,3631439.000000,145451672.000000,35715023.000000,,,1348417.000000,20183289.000000,,2964000.000000,24495706.000000,,,2288701.000000,2288701.000000,3035740.000000,5894876.000000,35715023.000000,181166695.000000,,44077885.000000,129869269.000000,18671187.000000,18639199.000000,31988.000000,18671187.000000,26112597.000000,,-88249694.000000,130481244.000000,311647939.000000,2012491000.000000
12M 2014,,,47838787.000000,11300420.000000,10721711.000000,578709.000000,11300420.000000,5968015.000000,5968015.000000,,5968015.000000,41963307.000000,5425565.000000,112496094.000000,,29627761.000000,,29627761.000000,29627761.000000,15956488.000000,15889338.000000,67150.000000,15956488.000000,,47921110.000000,,4846532.000000,,74830632.000000,3523795.000000,,3257957.000000,8149873.000000,188114148.000000,300610242.000000,,,90633530.000000,,64087323.000000,,64087323.000000,,3709.000000,,3709.000000,,4935975.000000,5326115.000000,5532509.000000,,,,962450.000000,6387209.000000,7349659.000000,3398240.000000,90633530.000000,67624126.000000,,,1062270.000000,56114739.000000,,,57177009.000000,,,2242526.000000,2242526.000000,867508.000000,7337083.000000,67624126.000000,158257656.000000,,44077885.000000,129869269.000000,27508221.000000,25976233.000000,1531988.000000,27508221.000000,31293485.000000,,-90396274.000000,142352586.000000,300610242.000000,2012491000.000000
12M 2015,,,45543791.000000,20902469.000000,20902469.000000,,20902469.000000,5625019.000000,5625019.000000,,5625019.000000,21711466.000000,2726431.000000,96509176.000000,,28340302.000000,414771.000000,27925531.000000,28340302.000000,14132250.000000,14071696.000000,60554.000000,14132250.000000,,48848826.000000,,4846532.000000,,70541243.000000,3523795.000000,,2780163.000000,12849350.000000,185862461.000000,282371637.000000,,,68957698.000000,,40337151.000000,,40337151.000000,,23412.000000,,23412.000000,14939431.000000,4330523.000000,1463072.000000,1828495.000000,,,,977885.000000,473290.000000,1451175.000000,4584439.000000,68957698.000000,58295740.000000,,,309750.000000,47749251.000000,,,48059001.000000,,,2022270.000000,2022270.000000,382433.000000,7832036.000000,58295740.000000,127253438.000000,,44077885.000000,129869269.000000,35319216.000000,33603955.000000,1715261.000000,35319216.000000,33509278.000000,,-87657449.000000,155118199.000000,282371637.000000,2012491000.000000
12M 2016,,,37619514.000000,7680440.000000,7680440.000000,,7680440.000000,5082693.000000,5082693.000000,,5082693.000000,15652971.000000,4588102.000000,70623720.000000,,28892195.000000,512094.000000,28380101.000000,28892195.000000,13846235.000000,13846235.000000,,13846235.000000,,47389456.000000,,4846532.000000,,67494691.000000,3523795.000000,,6241830.000000,18729705.000000,190964439.000000,261588159.000000,,,72970943.000000,,27026852.000000,,27026852.000000,,16144.000000,,16144.000000,23698987.000000,2688439.000000,837697.000000,14227795.000000,,,,301193.000000,1492752.000000,1793945.000000,2681084.000000,72970943.000000,40872882.000000,,,61733.000000,27240503.000000,,,27302236.000000,,1228000.000000,2076240.000000,3304240.000000,896968.000000,9369438.000000,40872882.000000,113843825.000000,,44077885.000000,130131454.000000,36980223.000000,35151402.000000,1828821.000000,36980223.000000,27753134.000000,,-91198362.000000,147744334.000000,261588159.000000,2012491000.000000
12M 2017,,,57947205.000000,11793134.000000,11793134.000000,,11793134.000000,487631.000000,487631.000000,,487631.000000,24661871.000000,5461339.000000,100351180.000000,,32433398.000000,5643345.000000,26790053.000000,32433398.000000,12562426.000000,12562426.000000,,12562426.000000,,46554610.000000,,4846532.000000,,65700296.000000,3523795.000000,,2979260.000000,79386531.000000,247986848.000000,348338028.000000,,,65777586.000000,,35509606.000000,,35509606.000000,,1991801.000000,,1991801.000000,10023813.000000,3849510.000000,8111712.000000,683468.000000,,,,74987.000000,271998.000000,346985.000000,5260691.000000,65777586.000000,107761019.000000,,,36749.000000,88700620.000000,,,88737369.000000,,6412238.000000,,6412238.000000,790244.000000,11821168.000000,107761019.000000,173538605.000000,,44077885.000000,130131454.000000,57579830.000000,55723043.000000,1856787.000000,57579830.000000,29412165.000000,,-86401911.000000,174799423.000000,348338028.000000,2012491000.000000
12M 2018,,,57389309.000000,19887032.000000,19887032.000000,,19887032.000000,12271360.000000,12271360.000000,,12271360.000000,49794723.000000,2599720.000000,141942144.000000,,33761809.000000,5432730.000000,28329079.000000,33761809.000000,11244209.000000,11244209.000000,,11244209.000000,,48261432.000000,,4846532.000000,,62852680.000000,14432143.000000,,4868766.000000,179673479.000000,359941050.000000,501883194.000000,,,115958768.000000,,44810241.000000,,44810241.000000,,12685911.000000,,12685911.000000,16573729.000000,22836355.000000,8987514.000000,2752186.000000,,,,20857.000000,1581969.000000,1602826.000000,5710006.000000,115958768.000000,170300554.000000,,,18012.000000,138464826.000000,,,138482838.000000,,7521321.000000,,7521321.000000,12670420.000000,11625975.000000,170300554.000000,286259322.000000,,44077885.000000,130131454.000000,95684507.000000,93613334.000000,2071173.000000,95684507.000000,32473457.000000,,-86743431.000000,215623872.000000,501883194.000000,2012491000.000000
