Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Dalam Pelaksanaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,7504141831.000000,,7209554055.000000,,,7209554055.000000,5999884352.000000,26734248679.000000,11580335964.000000,,,11580335964.000000,1375872777.000000,1216809146.000000,566611745.000000,62187458549.000000,,19430510692.000000,23653931817.000000,43084442509.000000,105271901058.000000,,,49534668321.000000,25443211050.000000,10867565785.000000,,,10867565785.000000,,1572374491.000000,836979031.000000,,1210020708.000000,236188605.000000,1586983093.000000,3033192406.000000,7781345558.000000,49534668321.000000,20988042551.000000,,20169149745.000000,19397034.000000,67162305.000000,20255709084.000000,732333467.000000,20988042551.000000,70522710872.000000,,12500000000.000000,1669676541.000000,20579513645.000000,,,20579513645.000000,,,34749190186.000000,105271901058.000000,12500.000000
12M 2020,,,9974908963.000000,,5684641317.000000,,,5684641317.000000,4763658694.000000,10576550388.000000,11352850100.000000,,,11352850100.000000,3122205615.000000,7360201414.000000,2029655705.000000,54864672196.000000,,18157494856.000000,22295763447.000000,40453258303.000000,95317930499.000000,,,38187293797.000000,18013491364.000000,9268936139.000000,,,9268936139.000000,,550533770.000000,1223538240.000000,,1284562542.000000,19397034.000000,67162305.000000,1371121881.000000,7759672403.000000,38187293797.000000,21283004485.000000,,20458367807.000000,,,20458367807.000000,824636678.000000,21283004485.000000,59470298282.000000,,12500000000.000000,1669676541.000000,21677955676.000000,,,21677955676.000000,,,35847632217.000000,95317930499.000000,12500.000000
12M 2021,,,6919056274.000000,11380369830.000000,10313245270.000000,,,10313245270.000000,3961985300.000000,32186250049.000000,,,,,2916361487.000000,,10116929797.000000,77794198007.000000,,23961150410.000000,20975275077.000000,44936425487.000000,122730623494.000000,,,53830811518.000000,14875346251.000000,4802158833.000000,,,4802158833.000000,,2922275763.000000,1512043359.000000,,1756000533.000000,80451216.000000,,1836451749.000000,27882535563.000000,53830811518.000000,20525869956.000000,,19663476619.000000,165359920.000000,,19828836539.000000,697033417.000000,20525869956.000000,74356681474.000000,,12500000000.000000,1669676541.000000,27425042954.000000,,,27425042954.000000,,6779222525.000000,48373942020.000000,122730623494.000000,12500.000000
12M 2022,,,17797268773.000000,11350000000.000000,19399803004.000000,,,19399803004.000000,11406672656.000000,39034698867.000000,,,,,6500382966.000000,,5076601956.000000,110565428222.000000,,24538785498.000000,19903528535.000000,44442314033.000000,155007742255.000000,,,37586169109.000000,3989213993.000000,17732382718.000000,,,17732382718.000000,,5169107654.000000,535670017.000000,,3350981367.000000,486264129.000000,,3837245496.000000,6322549231.000000,37586169109.000000,18458792813.000000,,16630385687.000000,664962331.000000,,17295348018.000000,1163444795.000000,18458792813.000000,56044961922.000000,,40625000000.000000,31554698090.000000,19023888806.000000,,,19023888806.000000,979970912.000000,6779222525.000000,98962780333.000000,155007742255.000000,1625000000.000000
12M 2023,,,13412563478.000000,1396894662.000000,8379416364.000000,,,8379416364.000000,7510083262.000000,63886862285.000000,980000000.000000,980000000.000000,,980000000.000000,35994444732.000000,,13152568067.000000,144712832850.000000,,25574465465.000000,20634178958.000000,46208644423.000000,190921477273.000000,,,69613850639.000000,27600000000.000000,,,25240751961.000000,25240751961.000000,,2052063608.000000,135072031.000000,,3940187076.000000,915489388.000000,,4855676464.000000,9730286575.000000,69613850639.000000,16956554202.000000,,14486926423.000000,1016213990.000000,,15503140413.000000,1453413789.000000,16956554202.000000,86570404841.000000,,41598586850.000000,36656293184.000000,18344206700.000000,2500000000.000000,15844206700.000000,18344206700.000000,972763173.000000,6779222525.000000,104351072432.000000,190921477273.000000,1663943474.000000
12M 2024,,,22986373298.000000,,7734977024.000000,,,7734977024.000000,8485975707.000000,41465792592.000000,,,,,50557234086.000000,,3088505656.000000,134318858363.000000,,25649379352.000000,18584841102.000000,44234220454.000000,178553078817.000000,,,59599104951.000000,9794109816.000000,,,34173812114.000000,34173812114.000000,,1631411980.000000,167304633.000000,,4183124674.000000,1004463534.000000,,5187588208.000000,8644878200.000000,59599104951.000000,12738215903.000000,,10303801749.000000,449663242.000000,,10753464991.000000,1984750912.000000,12738215903.000000,72337320854.000000,,41598586850.000000,36656293184.000000,20188077122.000000,2500000000.000000,17688077122.000000,20188077122.000000,993578282.000000,6779222525.000000,106215757963.000000,178553078817.000000,1663943474.000000
