Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Operasional,Pembayaran Kepada Karyawan,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pajak Penghasilan,Pendapatan Klaim Asuransi,Penerimaan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Pelunasan (Pemberian) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lembaga Keuangan,Penambahan Liabilitas Sewa,Pembayaran Liabilitas Sewa,Penambahan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Setoran Modal Penerbitan Saham,Penerbitan Saham Melalui Pelaksanaan Waran,Penambahan Modal,Setoran Modal Kepentingan Non Pengendali,Tambahan Modal Disetor Agio Saham,Tambahan Modal Disetor Biaya Emisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-10313295307.000000,173217688940.000000,-142947408508.000000,-2110231699.000000,-31722821242.000000,54248937.000000,-4147398272.000000,-2969070541.000000,,311697078.000000,-10313295307.000000,-1774630238.000000,,,,-694294274.000000,,-1080335964.000000,-1774630238.000000,-3433719292.000000,68570517200.000000,-69517440548.000000,,,-1538462763.000000,,-948333181.000000,,,,,,,,-3433719292.000000,-15521644837.000000,19077663150.000000,3556018313.000000
12M 2020,11581992711.000000,101920349031.000000,-64118478811.000000,-3933488318.000000,-17830043484.000000,46027497.000000,-3501650970.000000,-1086435216.000000,,85712982.000000,11581992711.000000,-222094091.000000,,,23000000.000000,-472579955.000000,,227485864.000000,-222094091.000000,-9939471220.000000,49706956189.000000,-59773998700.000000,,363759896.000000,,,-236188605.000000,,,,,,,,-9939471220.000000,1420427400.000000,3556018314.000000,4976445714.000000
12M 2021,784057996.000000,97256412056.000000,-64005357437.000000,-3374086511.000000,-24206963361.000000,88490696.000000,-2741658286.000000,-2781163877.000000,489024380.000000,59360336.000000,784057996.000000,-267226172.000000,,-11380369830.000000,170000000.000000,-409706442.000000,,11352850100.000000,-267226172.000000,1425778736.000000,54022557394.000000,-52229401563.000000,,,-323453197.000000,,-43923898.000000,,,,,,,,1425778736.000000,1942610560.000000,4976445714.000000,6919056274.000000
12M 2022,-14437988868.000000,153174780963.000000,-117341771562.000000,-4608322670.000000,-38122655655.000000,349835109.000000,-2082087212.000000,-5993979385.000000,,186211544.000000,-14437988868.000000,-1274993150.000000,11380369830.000000,-11350000000.000000,90909091.000000,-2123530244.000000,-252741827.000000,980000000.000000,-1274993150.000000,22601980524.000000,32850000000.000000,-47725346251.000000,,252741827.000000,-1690851925.000000,1104921160.000000,-199505836.000000,-20000000000.000000,28125000000.000000,,29885021549.000000,,,,22601980524.000000,6888998506.000000,6919056274.000000,13808054780.000000
12M 2023,-35310957292.000000,136849236639.000000,-136312460602.000000,,-30322340881.000000,335753130.000000,-2095812864.000000,-3764993295.000000,,-339419.000000,-35310957292.000000,8122185554.000000,9953105338.000000,,732432435.000000,-1583352219.000000,,-980000000.000000,8122185554.000000,22804066443.000000,51700000000.000000,-28089213993.000000,-763679219.000000,,-3623275985.000000,,,-2494946304.000000,,6075181944.000000,,,,,22804066443.000000,-4384705295.000000,17797268773.000000,13412563478.000000
12M 2024,30892829163.000000,253896322972.000000,-162889249933.000000,,-50156614695.000000,97166439.000000,-4316986734.000000,-5737864007.000000,,55121.000000,30892829163.000000,1548392444.000000,1396894662.000000,,837837838.000000,-1666340056.000000,,980000000.000000,1548392444.000000,-22867411787.000000,44300000000.000000,-62105890184.000000,-1121334527.000000,,-3940187076.000000,,,,,,,,,,-22867411787.000000,9573809820.000000,13412563478.000000,22986373298.000000
