Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,193466645385.000000,-170142432959.000000,23324212426.000000,-9536474687.000000,-16620000.000000,-9519854687.000000,-9536474687.000000,13787737739.000000,-3983995168.000000,,54248937.000000,-4147398272.000000,109154167.000000,-3983995168.000000,9803742571.000000,-5768028152.000000,,,,-5768028152.000000,4035714419.000000,,4035714419.000000,,,,4035714419.000000,4035714419.000000,4035714419.000000,,4035714419.000000,4035714419.000000,4035714419.000000,,4035714419.000000
12M 2020,83023185499.000000,-68048739394.000000,14974446105.000000,-8243184296.000000,-20670000.000000,-8222514296.000000,-8243184296.000000,6731261809.000000,-3720412351.000000,23000000.000000,46027497.000000,-3501650970.000000,-287788878.000000,-3720412351.000000,3010849458.000000,-2005521093.000000,,,,-2005521093.000000,1005328365.000000,,1005328365.000000,93113666.000000,93113666.000000,93113666.000000,1098442031.000000,1005328365.000000,1005328365.000000,,1005328365.000000,1098442031.000000,1098442031.000000,,1098442031.000000
12M 2021,102570179117.000000,-82554416730.000000,20015762387.000000,-9339688672.000000,-18000000.000000,-9321688672.000000,-9339688672.000000,10676073715.000000,-2127518380.000000,83756191.000000,88490696.000000,-2741658286.000000,441893019.000000,-2127518380.000000,8548555335.000000,-2890892006.000000,,,,-2890892006.000000,5657663329.000000,,5657663329.000000,6868646474.000000,6868646474.000000,6868646474.000000,12526309803.000000,5657663329.000000,5657663329.000000,,5657663329.000000,12526309803.000000,12526309803.000000,,12526309803.000000
12M 2022,198114461203.000000,-165645421681.000000,32469039522.000000,-13147778801.000000,-42535956.000000,-13105242845.000000,-13147778801.000000,19321260721.000000,-1534350218.000000,11690341.000000,349835109.000000,-2082087212.000000,186211544.000000,-1534350218.000000,17786910503.000000,-5291947449.000000,,,,-5291947449.000000,12494963054.000000,,12494963054.000000,-896146290.000000,-896146290.000000,-896146290.000000,11598816764.000000,12494963054.000000,12494992142.000000,-29088.000000,12494963054.000000,11598816764.000000,11598845852.000000,-29088.000000,11598816764.000000
12M 2023,141769263046.000000,-120832480248.000000,20936782798.000000,-13395847835.000000,-165535000.000000,-13230312835.000000,-13395847835.000000,7540934963.000000,-1852924252.000000,,,-2157571619.000000,304647367.000000,-1852924252.000000,5688010711.000000,-3764694591.000000,-7809120.000000,,-3756885471.000000,-3764694591.000000,1923316120.000000,,1923316120.000000,-115259661.000000,-115259661.000000,-115259661.000000,1808056459.000000,1923316120.000000,1930523859.000000,-7207739.000000,1923316120.000000,1808056459.000000,1815264198.000000,-7207739.000000,1808056459.000000
12M 2024,216248735873.000000,-191646884179.000000,24601851694.000000,-12504682757.000000,,-12504682757.000000,-12504682757.000000,12097168937.000000,-4199583957.000000,,,-4299590282.000000,100006325.000000,-4199583957.000000,7897584980.000000,-5735666458.000000,,,,-5735666458.000000,2161918522.000000,,2161918522.000000,-297232991.000000,-297232991.000000,-297232991.000000,1864685531.000000,2161918522.000000,2141103413.000000,20815109.000000,2161918522.000000,1864685531.000000,1843870422.000000,20815109.000000,1864685531.000000
