Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Pengembalian Pajak,Penerimaan Dari Klaim Asuransi,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pencairan Aset Dibatasi Penggunaannya,Penempatan Aset Yang Dibatasi Penggunaannya,Arus Kas Masuk Bersih Pada Tanggal Akuisisi,Pembayaran Bunga Dan Biaya Yang Dikapitalisasi Ke Aset Tetap,Penempatan Deposito,Perolehan Aset Lain-Lain,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Penerimaan Hasil Penawaran Saham Perdana,Utang Bank,Liabilitas Sewa,Penerbitan Sukuk Ijarah,Setoran Modal,Utang Non-Bank,Total Penerimaan Dari:,Pembayaran Untuk:,Dividen,Dividen Entitas Anak Kepada Kepentingan Nonpengendali,Biaya Emisi Saham,Utang Non-Bank,Liabilitas Sewa,Sukuk Ijarah,Utang Obligasi,Utang Bank,Utang Pemegang Saham,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Selisih Transaksi Dalam Mata Uang Asing,Kas Dan Setara Kas Akhir Periode
12M 2021,1615844132112.000000,4547281071132.000000,-1864410405702.000000,-378140442747.000000,141563957502.000000,,15203804882.000000,-118777535917.000000,-726876317038.000000,1615844132112.000000,-1430828437913.000000,4166575631.000000,,-4227929947.000000,,,2243001233.000000,-42925277176.000000,-33004042765.000000,-354173978266.000000,-1002906786623.000000,-1430828437913.000000,378516239081.000000,,,1093446423074.000000,,500000000000.000000,1813370280000.000000,53715626646.000000,3460532329720.000000,,-1155332640000.000000,,,-19639949088.000000,-29675052297.000000,,,-1032960077254.000000,-844408372000.000000,-3082016090639.000000,378516239081.000000,563531933280.000000,494777973772.000000,886027967.000000,1059195935019.000000
12M 2022,2229615368374.000000,5651235459288.000000,-1920298048696.000000,-620692627750.000000,113366903526.000000,26765276183.000000,15277361168.000000,-295748052794.000000,-740290902551.000000,2229615368374.000000,-1875316577936.000000,31111154779.000000,930424880.000000,-9393650935.000000,,,,-28521736365.000000,-29238394752.000000,-180113777986.000000,-1660090597557.000000,-1875316577936.000000,-187317184675.000000,,1000083862800.000000,890903512570.000000,,,,,1890987375370.000000,,,,-18771788851.000000,-20907988572.000000,-32484686187.000000,-347000000000.000000,-460000000000.000000,-1199140096435.000000,,-2078304560045.000000,-187317184675.000000,166981605763.000000,1059195935019.000000,3912872191.000000,1230090412973.000000
12M 2023,1655995755885.000000,4544018609719.000000,-1768175380863.000000,-347250533496.000000,21227616360.000000,9021988262.000000,19218060990.000000,-230560185800.000000,-591504419287.000000,1655995755885.000000,-1265575517028.000000,,600135168.000000,-9865589556.000000,,,,-28655151146.000000,,-281918048857.000000,-945736862637.000000,-1265575517028.000000,-469104110831.000000,,,1285001757722.000000,,485088623250.000000,,200000000000.000000,1970090380972.000000,,,,,-13096150074.000000,-34113568652.000000,-524365000000.000000,,-1867619773077.000000,,-2439194491803.000000,-469104110831.000000,-78683871974.000000,1211090412973.000000,3316859618.000000,1135723400617.000000
12M 2024,2532497156237.000000,5822040500698.000000,-2010568443153.000000,-365045444333.000000,,544761200.000000,36947708316.000000,-394239588737.000000,-557182337754.000000,2532497156237.000000,-1258333647080.000000,,9077951605.000000,-15575285986.000000,19000000000.000000,-16000000000.000000,,-29197431207.000000,,-102827042856.000000,-1122811838636.000000,-1258333647080.000000,-590447504145.000000,,,1586578438148.000000,,277648821450.000000,,200000000000.000000,2064227259598.000000,,,-12000000.000000,,-32101772674.000000,-11135222442.000000,-1122100000000.000000,,-1489325768627.000000,,-2654674763743.000000,-590447504145.000000,683716005012.000000,1135723400617.000000,145781332.000000,1819585186961.000000
