Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Sukuk Ijarah,Kewajiban Lembaga Keuangan Non Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Sukuk Ijarah,Kewajiban Lembaga Keuangan Non Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1059195935019.000000,422225675928.000000,79139002676.000000,343086673252.000000,422225675928.000000,18488239621.000000,,,18488239621.000000,1942740237049.000000,3442650087617.000000,,,6281794670312.000000,7364203492.000000,9284043097.000000,4824308093560.000000,11122751010461.000000,14565401098078.000000,,,3434466972634.000000,,13872719930.000000,1132948416088.000000,1146821136018.000000,,6900000.000000,89334175024.000000,89341075024.000000,27883905643.000000,99990940519.000000,,1164750861401.000000,458861999070.000000,346332585924.000000,20094690773.000000,49054755294.000000,2039094892462.000000,31335022968.000000,3434466972634.000000,6572556418461.000000,,,190535191524.000000,190535191524.000000,26754761296.000000,,3944836394413.000000,1808992237627.000000,36536278533.000000,66780826096.000000,5857145736669.000000,498120728972.000000,6572556418461.000000,10007023391095.000000,,2112120439015.000000,-2530088912.000000,1706104852606.000000,59750031803.000000,1646354820803.000000,1706104852606.000000,742682504274.000000,4558377706983.000000,14565401098078.000000,1352725.000000
12M 2022,,,1230090412973.000000,446196487954.000000,107603866271.000000,338592621683.000000,446196487954.000000,16891744998.000000,,,16891744998.000000,1913647795176.000000,3606826441101.000000,,,6816753454583.000000,10016040751.000000,8122392162.000000,4477209041087.000000,11312100928583.000000,14918927369684.000000,,,2999545994964.000000,,81857917371.000000,561025396000.000000,642883313371.000000,,,73866864381.000000,73866864381.000000,102750255733.000000,118372242280.000000,,1367826566292.000000,,522987232901.000000,13556165915.000000,39074794680.000000,1943444759788.000000,118228559411.000000,2999545994964.000000,5680790054469.000000,,,206793750932.000000,206793750932.000000,26591941602.000000,,3446619593016.000000,1290137835947.000000,26723601518.000000,30346569560.000000,4793827600041.000000,653576761894.000000,5680790054469.000000,8680336049433.000000,,2364666869100.000000,726235555037.000000,2370771144727.000000,60750031803.000000,2310021112924.000000,2370771144727.000000,776917751387.000000,6238591320251.000000,14918927369684.000000,23646668691.000000
12M 2023,,,1135723400617.000000,899374406186.000000,78173992926.000000,821200413260.000000,899374406186.000000,8235511517.000000,,,8235511517.000000,1774867294326.000000,3818200612646.000000,,,7100169357203.000000,9303460305.000000,8048598429.000000,3963538690460.000000,11081060106397.000000,14899260719043.000000,,,3693244275582.000000,,18872184257.000000,612931432987.000000,631803617244.000000,,,139848587772.000000,139848587772.000000,91268535168.000000,138596813147.000000,,1392549047406.000000,,1120598329566.000000,31133610967.000000,64533451671.000000,2608814439610.000000,82912282641.000000,3693244275582.000000,4282048435176.000000,,,4572225643.000000,4572225643.000000,26590969556.000000,,2846625067120.000000,656598312729.000000,192061475369.000000,76361338812.000000,3771646194030.000000,479239045947.000000,4282048435176.000000,7975292710758.000000,,2364666869100.000000,726235555037.000000,2998298310807.000000,61750031803.000000,2936548279004.000000,2998298310807.000000,834767273341.000000,6923968008285.000000,14899260719043.000000,23646668691.000000
12M 2024,,,1819585186961.000000,608589965295.000000,49666121509.000000,558923843786.000000,608589965295.000000,5793240978.000000,,,5793240978.000000,1600126826921.000000,4034095220155.000000,,,7519994615765.000000,14624509006.000000,9837420399.000000,3075594883774.000000,10620051428944.000000,14654146649099.000000,,,2557677804643.000000,,44186744526.000000,389243374886.000000,433430119412.000000,,,92232676756.000000,92232676756.000000,122463458340.000000,149648697235.000000,,1437211216436.000000,,141724634939.000000,31202461246.000000,72906000262.000000,1683044312883.000000,76858540017.000000,2557677804643.000000,4706230933068.000000,,,381409572.000000,381409572.000000,33901350681.000000,,2904990541855.000000,794443882468.000000,357063066476.000000,5838767249.000000,4062336258048.000000,609611914767.000000,4706230933068.000000,7263908737711.000000,,2364666869100.000000,726235555037.000000,3326567651196.000000,62750031803.000000,3263817619393.000000,3326567651196.000000,972767836055.000000,7390237911388.000000,14654146649099.000000,23646668691.000000
