Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,4180073066155.000000,-1642782786475.000000,2537290279680.000000,-993298500196.000000,1543991779484.000000,-742414677101.000000,14960608236.000000,4383672982.000000,-249118437.000000,-774095787685.000000,12585947803.000000,-742414677101.000000,801577102383.000000,-130198499188.000000,-125037144219.000000,7641666526.000000,-12803021495.000000,-130198499188.000000,671378603195.000000,,671378603195.000000,11383616136.000000,11383616136.000000,11383616136.000000,682762219331.000000,671378603195.000000,578928827717.000000,92449775478.000000,671378603195.000000,682762219331.000000,590018588786.000000,92743630545.000000,682762219331.000000
12M 2022,4647651287354.000000,-1890178967244.000000,2757472320110.000000,-1191286575188.000000,1566185744922.000000,-690937989018.000000,15677376724.000000,-18799213731.000000,-57305227.000000,-749803226965.000000,62044380181.000000,-690937989018.000000,875247755904.000000,-202349800109.000000,-188054418423.000000,-5947213314.000000,-8348168372.000000,-202349800109.000000,672897955795.000000,,672897955795.000000,26003583439.000000,26003583439.000000,26003583439.000000,698901539234.000000,672897955795.000000,579500219553.000000,93397736242.000000,672897955795.000000,698901539234.000000,605151425611.000000,93750113623.000000,698901539234.000000
12M 2023,4306324172668.000000,-1781390630889.000000,2524933541779.000000,-1018143653069.000000,1506789888710.000000,-611641029634.000000,19553438880.000000,1188326886.000000,-315156789.000000,-647768429265.000000,15700790654.000000,-611641029634.000000,895148859076.000000,-215977459168.000000,-208086231056.000000,-3508662821.000000,-4382565291.000000,-215977459168.000000,679171399908.000000,,679171399908.000000,6205288125.000000,6205288125.000000,6205288125.000000,685376688033.000000,679171399908.000000,564215584672.000000,114955815236.000000,679171399908.000000,685376688033.000000,570158662293.000000,115218025740.000000,685376688033.000000
12M 2024,3978188856174.000000,-1652355392322.000000,2325833463852.000000,-1259771976061.000000,1066061487791.000000,-544224102621.000000,40870205751.000000,-5704810385.000000,-3668411197.000000,-583646645225.000000,7925558435.000000,-544224102621.000000,521837385170.000000,-259269141576.000000,-264210698193.000000,5145410634.000000,-203854017.000000,-259269141576.000000,262568243594.000000,,262568243594.000000,203713659509.000000,203713659509.000000,203713659509.000000,466281903103.000000,262568243594.000000,245471970325.000000,17096273269.000000,262568243594.000000,466281903103.000000,444171782613.000000,22110120490.000000,466281903103.000000
