Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,122363.01,0.00,0.00,(4.70 B),15.09%,18.78%,-4.75%,-1.01
12M 2022,0.00 B,366682.64,0.00,0.00,(7.46 B),41.09%,51.43%,-3.59%,-1.59
12M 2023,0.00 B,1468241.83,0.00,0.00,440.42 B,41.78%,87.81%,81.45%,26.87
12M 2024,2.52 B,87.07,0.00,0.00,378.31 B,25.76%,50.00%,44.75%,10.32
