Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Beban Umum Dan Administrasi,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Pembayaran Surat Ketetapan Pajak,Penerimaan/(Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Untuk Perolehan Aset Minyak Dna Gas Bumi,Penerimaan Dividen,Pembayaran Atas Penambahan Investasi Pada Ventura Bersama,Pembayaran Pemberian Piutang Kepada Pihak Berelasi,Penerimaan Dari Pembayaran Piutang Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dana Penawaran Umum Saham,Penerimaan Pinjaman Pemegang Saham,Penerimaan (Pembayaran) Pinjaman Pemegang Saham Perusahaan,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Pemberian Piutang Pihak Berelasi,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2021,-148496.000000,,-143092.000000,-179144.000000,-209540.000000,6751.000000,-2185.000000,510029.000000,-336931.000000,205616.000000,-148496.000000,2314901.000000,,,2410511.000000,,,-95610.000000,2314901.000000,-9698703.000000,,,,,-2511694.000000,,,-7187009.000000,-9698703.000000,-7532298.000000,8343720.000000,1170.000000,812592.000000
12M 2022,-23282.000000,,-265392.000000,-203724.000000,-182340.000000,,,239684.000000,-6315.000000,394805.000000,-23282.000000,6051614.000000,-36104.000000,,7297517.000000,,,-1209799.000000,6051614.000000,-6627596.000000,,,,,-226312.000000,21088.000000,,-6422372.000000,-6627596.000000,-599264.000000,1866812.000000,9349.000000,1276897.000000
12M 2023,11128159.000000,19013609.000000,-224615.000000,-235885.000000,-1042785.000000,,-8377827.000000,,,1995662.000000,11128159.000000,-16230661.000000,,-26500000.000000,9550143.000000,,-1611642.000000,2330838.000000,-16230661.000000,16712170.000000,25500000.000000,,,,-284165.000000,-3665.000000,,-8500000.000000,16712170.000000,11609668.000000,1276897.000000,-3730.000000,12882835.000000
12M 2024,11237337.000000,24782427.000000,-337410.000000,-936967.000000,-1928391.000000,,-8202379.000000,,,-2139943.000000,11237337.000000,6345839.000000,-2407.000000,-1239188.000000,7437798.000000,,-11506406.000000,11656042.000000,6345839.000000,-20079560.000000,350000.000000,-5992000.000000,,,-357335.000000,-5225.000000,,-14075000.000000,-20079560.000000,-2496384.000000,12882835.000000,8598.000000,10395049.000000
