Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,,,,-331834.000000,-331834.000000,-331834.000000,-331834.000000,2490018.000000,3058997.000000,6751.000000,-327663.000000,8692.000000,-256759.000000,2490018.000000,2158184.000000,583.000000,2158767.000000,-19776.000000,2138991.000000,2158767.000000,2158767.000000,,2158767.000000,2138991.000000,2138991.000000,,2138991.000000
12M 2022,,,,-508345.000000,-508345.000000,-508345.000000,-508345.000000,6729795.000000,6960148.000000,,-318965.000000,-29134.000000,117746.000000,6729795.000000,6221450.000000,2268.000000,6223718.000000,52019.000000,6275737.000000,6223718.000000,6223718.000000,,6223718.000000,6275737.000000,6275737.000000,,6275737.000000
12M 2023,47041922.000000,-20321181.000000,26720741.000000,-517656.000000,-517656.000000,-517656.000000,26203085.000000,6643364.000000,7479071.000000,,-975150.000000,1946.000000,137497.000000,6643364.000000,32846449.000000,-8369071.000000,24477378.000000,-2827.000000,24474551.000000,24477378.000000,24302243.000000,175135.000000,24477378.000000,24474551.000000,24299416.000000,175135.000000,24474551.000000
12M 2024,57743447.000000,-35298295.000000,22445152.000000,-1938236.000000,-1938236.000000,-1938236.000000,20506916.000000,4262317.000000,6154687.000000,,-1987644.000000,-35531.000000,130805.000000,4262317.000000,24769233.000000,-10813647.000000,13955586.000000,-2644.000000,13952942.000000,13955586.000000,13870363.000000,85223.000000,13955586.000000,13952942.000000,13867719.000000,85223.000000,13952942.000000
