Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Pertambangan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1866812.000000,,,,4516.000000,,4516.000000,4516.000000,252177.000000,2123505.000000,,12202548.000000,5154.000000,,4277.000000,,12211979.000000,14335484.000000,,,325803.000000,,1064.000000,3435.000000,,,148932.000000,148932.000000,172372.000000,325803.000000,2488707.000000,,,2473580.000000,2473580.000000,15127.000000,2488707.000000,2814510.000000,,2313796.000000,2041.000000,9205137.000000,,,9205137.000000,,11520974.000000,14335484.000000,252490.000000
12M 2022,,,1276897.000000,,,,1214315.000000,,1214315.000000,1214315.000000,,2491212.000000,,11918250.000000,34078.000000,,8957.000000,,11961285.000000,14452497.000000,,,295262.000000,245.000000,2852.000000,3987.000000,,,288178.000000,288178.000000,,295262.000000,2610523.000000,,,2575735.000000,2575735.000000,34788.000000,2610523.000000,2905785.000000,,2313796.000000,2041.000000,9230874.000000,,,9230874.000000,,11546711.000000,14452496.000000,252490.000000
12M 2023,,,12882835.000000,10372313.000000,10372313.000000,10372313.000000,495119.000000,,495119.000000,495119.000000,,23750267.000000,,9844944.000000,27585.000000,23834819.000000,17242.000000,,33724590.000000,57474857.000000,,,8199709.000000,252.000000,1861328.000000,10316.000000,,5965843.000000,361970.000000,6327813.000000,,8199709.000000,21753190.000000,,19466522.000000,2214113.000000,21680635.000000,72555.000000,21753190.000000,29952899.000000,,2313796.000000,2041.000000,25030290.000000,,,25030290.000000,175831.000000,27521958.000000,57474857.000000,252490.000000
12M 2024,,,10395049.000000,11400095.000000,11400095.000000,11400095.000000,359972.000000,14489.000000,345483.000000,359972.000000,336488.000000,22491604.000000,,8559832.000000,24364.000000,21708950.000000,39601.000000,,30332747.000000,52824351.000000,,,9998108.000000,3098.000000,2640803.000000,717327.000000,,6274541.000000,362339.000000,6636880.000000,,9998108.000000,15426343.000000,,13541980.000000,1851184.000000,15393164.000000,33179.000000,15426343.000000,25424451.000000,,2313796.000000,2041.000000,24898009.000000,6542.000000,24891467.000000,24898009.000000,186054.000000,27399900.000000,52824351.000000,2525000000.000000
