Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Deposito Berjangka,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan,Medium Term Notes,Sukuk Mudharabah,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,21071062095.000000,601198671534.000000,601198671534.000000,601198671534.000000,156487503.000000,353324401719.000000,283539298.000000,976034162149.000000,,7300000000.000000,81475856152.000000,2989435075.000000,,,3307419847.000000,95072711074.000000,1071106873223.000000,,,489557090996.000000,444893745000.000000,,43644001.000000,43644001.000000,,,,36116881728.000000,3066820267.000000,,5436000000.000000,,5436000000.000000,,489557090996.000000,12248059746.000000,6752000000.000000,,,,,5496059746.000000,12248059746.000000,501805150742.000000,,20000000000.000000,,219301722481.000000,,,219301722481.000000,,330000000000.000000,569301722481.000000,1071106873223.000000,40000.000000
12M 2017,,,86872429679.000000,661107472838.000000,661107472838.000000,661107472838.000000,77987503.000000,558694276399.000000,5874245855.000000,1312626412274.000000,,7300000000.000000,95246386866.000000,2966655763.000000,307887427.000000,,,105820930056.000000,1418447342330.000000,,,347059973082.000000,285000000000.000000,,1954250004.000000,1954250004.000000,,,,39333967395.000000,1246505683.000000,,18960000000.000000,,18960000000.000000,565250000.000000,347059973082.000000,74871902443.000000,71040000000.000000,,,,,3831902443.000000,74871902443.000000,421931875525.000000,,460526240000.000000,204253025000.000000,331736201805.000000,,,331736201805.000000,,,996515466805.000000,1418447342330.000000,4605262400.000000
12M 2018,,,13604169222.000000,798882166925.000000,798882166925.000000,798882166925.000000,113787628.000000,611721021526.000000,6209540514.000000,1430530685815.000000,,7300000000.000000,91933498918.000000,3457192245.000000,628531151.000000,,3181644350.000000,106500866664.000000,1537031552479.000000,,,388009846474.000000,285000000000.000000,,6783808594.000000,6783808594.000000,,,,74162195973.000000,2657591907.000000,,18960000000.000000,,18960000000.000000,446250000.000000,388009846474.000000,56298486981.000000,52080000000.000000,,,,,4218486981.000000,56298486981.000000,444308333455.000000,,460526240000.000000,204253025000.000000,427926553012.000000,405439657112.000000,22486895900.000000,427926553012.000000,17401012.000000,,1092723219024.000000,1537031552479.000000,4605262400.000000
12M 2019,,,419365767489.000000,813551612002.000000,813551612002.000000,813551612002.000000,631494551.000000,952095546986.000000,9791192949.000000,2195435613977.000000,,7300000000.000000,96236613278.000000,4095650145.000000,676637375.000000,340406202.000000,7105134010.000000,115754441010.000000,2311190054987.000000,,,217969291457.000000,142500000000.000000,,9369228858.000000,9369228858.000000,,,,34233633232.000000,12347441367.000000,,18960000000.000000,,18960000000.000000,558988000.000000,217969291457.000000,881973865134.000000,33120000000.000000,,,250000000000.000000,593307135825.000000,5546729309.000000,881973865134.000000,1099943156591.000000,,460526240000.000000,204253025000.000000,546056977841.000000,498807216617.000000,47249761224.000000,546056977841.000000,410655555.000000,,1211246898396.000000,2311190054987.000000,4605262400.000000
12M 2020,,,50403584884.000000,941081827194.000000,941081827194.000000,941081827194.000000,250054738.000000,1482242458353.000000,195858377918.000000,2669836303087.000000,,7300000000.000000,133749450679.000000,1786532371.000000,917118123.000000,340406202.000000,16756606999.000000,160850114374.000000,2830686417461.000000,,,209281141857.000000,142500000000.000000,,5469725003.000000,5469725003.000000,,,,29089072356.000000,11681303519.000000,,18960000000.000000,1372790979.000000,20332790979.000000,208250000.000000,209281141857.000000,1264458060838.000000,14160000000.000000,,,250000000000.000000,991153871026.000000,9144189812.000000,1264458060838.000000,1473739202695.000000,,460526240000.000000,204253025000.000000,687793140276.000000,77299424977.000000,610493715299.000000,687793140276.000000,4374809490.000000,,1356947214766.000000,2830686417461.000000,4605262400.000000
12M 2021,,,62477174192.000000,1032091090207.000000,1032091090207.000000,1032091090207.000000,188500000.000000,1915562464156.000000,290197309446.000000,3300516538001.000000,,17300000000.000000,141372167819.000000,3677342812.000000,1264574178.000000,340406202.000000,13603191535.000000,177557682546.000000,3478074220547.000000,,,708362034511.000000,648754295767.000000,,6663128450.000000,6663128450.000000,,,,39137934496.000000,13004588969.000000,,,712836818.000000,712836818.000000,89250011.000000,708362034511.000000,1254159767610.000000,,,,250000000000.000000,992664014304.000000,11495753306.000000,1254159767610.000000,1962521802121.000000,,460526240000.000000,204253025000.000000,846542024425.000000,111343863553.000000,735198160872.000000,846542024425.000000,4766448915.000000,-535319914.000000,1515552418426.000000,3478074220547.000000,4605262400.000000
12M 2022,,,106022959438.000000,805096060440.000000,805096060440.000000,805096060440.000000,1257882533.000000,2339717615635.000000,321949465962.000000,3574043984008.000000,,42300000000.000000,203957308836.000000,4245457776.000000,1888186780.000000,340406202.000000,22311209037.000000,275042568631.000000,3849086552639.000000,,,951483287105.000000,828820296800.000000,,4281919754.000000,4281919754.000000,,,,28360307910.000000,33588272975.000000,,54020182296.000000,2412307370.000000,56432489666.000000,,951483287105.000000,1175030024852.000000,164537630204.000000,,,,995835035003.000000,14657359645.000000,1175030024852.000000,2126513311957.000000,,460526240000.000000,204253025000.000000,1053132339918.000000,150316118613.000000,902816221305.000000,1053132339918.000000,5196955678.000000,-535319914.000000,1722573240682.000000,3849086552639.000000,4605262400.000000
12M 2023,,,292625393503.000000,907350076972.000000,907350076972.000000,907350076972.000000,414006594.000000,3168980495376.000000,351071500270.000000,4720441472715.000000,,42300000000.000000,232941361470.000000,4893240799.000000,1428809001.000000,340406202.000000,27118191118.000000,309022008590.000000,5029463481305.000000,,,2135873313798.000000,1700000000000.000000,,4615320317.000000,4615320317.000000,,66658541.000000,66658541.000000,22451494579.000000,39073443574.000000,,187457557296.000000,5186789447.000000,192644346743.000000,177022050044.000000,2135873313798.000000,921003915910.000000,301455197912.000000,,,,598208240901.000000,21340477097.000000,921003915910.000000,3056877229708.000000,,460526240000.000000,204253025000.000000,1302832964760.000000,201141636570.000000,1101691328190.000000,1302832964760.000000,5509341751.000000,-535319914.000000,1972586251597.000000,5029463481305.000000,4605262400.000000
12M 2024,,,213547539451.000000,980949475774.000000,980949475774.000000,980949475774.000000,62945717.000000,3858747485253.000000,480612043019.000000,5533919489214.000000,,,391590820974.000000,4514773655.000000,1344473090.000000,340406202.000000,28073516992.000000,425863990913.000000,5959783480127.000000,,,2698776465671.000000,2521894500000.000000,,2314421612.000000,2314421612.000000,,165238694.000000,165238694.000000,27697242006.000000,71220264956.000000,,,6839070052.000000,6839070052.000000,68645728351.000000,2698776465671.000000,911238926152.000000,,,,,892686589423.000000,18552336729.000000,911238926152.000000,3610015391823.000000,,460526240000.000000,204253025000.000000,1675751208307.000000,262395347689.000000,1413355860618.000000,1675751208307.000000,9772934911.000000,-535319914.000000,2349768088304.000000,5959783480127.000000,4605262400.000000
