Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Gaji Dan Tunjangan,Pembayaran Kepada Pemasok Dan Kegiatan Operasional Lainnya,Pinjaman Gadai Yang Diberikan,Pelunasan,Penyaluran,Total Pinjaman Gadai Yang Diberikan,Penerimaan Dari (Pembayaran Untuk) :,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Bagi Hasil Sukuk Mudharabah,Beban Keuangan,Total Penerimaan Dari (Pembayaran Untuk) :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak-Guna,Akuisisi Entitas Anak,Akuisisi Kepentingan Nonpengendali,Perolehan / Penambahan Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Provisi Utang Bank,Penambahan (Pembayaran) Wesel Jk. Pendek,Penambahan Setoran Modal Saham,Penerimaan Dari Penerbitan Utang Sukuk Mudharabah,Pembayaran Liabilitas Sewa,Pembayaran Utang Obligasi,Pembayaran Sukuk Mudharabah,Pembayaran Biaya Emisi Sukuk Mudharabah,Penerimaan Dari Penerbitan Utang Obligasi,Pembayaran Biaya Emisi Penerbitan Utang Obligasi,Pembayaran Dividen,Penerimaan Setoran Modal Dari Kepentingan Nonpengendali Entitas Anak,Pembagian Dividen Entitas Anak Kepada Kepentingan Nonpengendali,Transaksi Lainnya Dengan Kepentingan Nonpengendali,Pembayaran Biaya Emisi Saham,Bagian Kepentingan Nonpengendali Dari Pendirian Entitas Anak,Agian Kepentingan Nonpengendali Atas Pembayaran Dividen Kas,Penambahan Utang Pembiayaan,Pembayaran Utang Pembiayaan,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-16883640889.000000,2082621472099.000000,-13536450221.000000,-2035542714423.000000,,,,,,-2295000.000000,322124917.000000,,-50745778261.000000,-50425948344.000000,-16883640889.000000,-2300000000.000000,,,,,,,,-2300000000.000000,-2300000000.000000,23205197850.000000,30000000000.000000,,,,197850.000000,,,,,,,,,,,,,,,,,-6795000000.000000,,23205197850.000000,4021556961.000000,17049505134.000000,21071062095.000000
12M 2017,-148210309218.000000,2421277068251.000000,-17826014258.000000,-2471669551446.000000,,,,,,-34391962600.000000,312042734.000000,,-45911891899.000000,-79991811765.000000,-148210309218.000000,-20373916455.000000,-20056308020.000000,,,-317608435.000000,,,,,-20373916455.000000,234385593257.000000,-159893745000.000000,,,,331578720000.000000,,,,,,,,,,,,-15111381743.000000,,,,,77812000000.000000,,234385593257.000000,65801367584.000000,21071062095.000000,86872429679.000000
12M 2018,-21877704684.000000,2606243041757.000000,-24050434137.000000,-2552059071161.000000,,,,,,-9899835418.000000,269814982.000000,,-42381220707.000000,-52011241143.000000,-21877704684.000000,-4823981373.000000,-4330806373.000000,,,-493175000.000000,,,,,-4823981373.000000,-46566574400.000000,,,,,,,,,,,,,-27631574400.000000,,,,,25000000.000000,,,,-18960000000.000000,,-46566574400.000000,-73268260457.000000,86872429679.000000,13604169222.000000
12M 2019,-224887295509.000000,3219394795469.000000,-32731577593.000000,-3270506531941.000000,-2514761880.000000,,,-2514761880.000000,,-90950757742.000000,3619304593.000000,-13437600000.000000,-37760166415.000000,-138529219564.000000,-224887295509.000000,-15708894424.000000,-11289041937.000000,,-186590873.000000,,,-4233261614.000000,,,-15708894424.000000,646357788200.000000,-142500000000.000000,,,,,250000000000.000000,,,,-3246375000.000000,600000000000.000000,-6724000000.000000,-32236836800.000000,,,,,25000000.000000,,,,-18960000000.000000,,646357788200.000000,405761598267.000000,13604169222.000000,419365767489.000000
12M 2020,-646779056291.000000,4017015252875.000000,-44505905908.000000,-4247622144999.000000,-183971556623.000000,,,-183971556623.000000,,-53564377390.000000,3699013699.000000,-26875000000.000000,-110954337945.000000,-187694701636.000000,-646779056291.000000,-64642363492.000000,-49373127965.000000,,-1082850786.000000,-630145200.000000,-13556239541.000000,,,,-64642363492.000000,342459237178.000000,,,,,,,-1927363622.000000,,,,400000000000.000000,-3861300000.000000,-36842099200.000000,,,,,4050000000.000000,,,,-18960000000.000000,,342459237178.000000,-368962182605.000000,419365767489.000000,50403584884.000000
12M 2021,-398559548486.000000,5142608353597.000000,-64515748437.000000,-5168595204861.000000,-89949863568.000000,,,-89949863568.000000,,-42648174995.000000,819356723.000000,-26875000000.000000,-149403266945.000000,-218107085217.000000,-398559548486.000000,-23913088784.000000,-20692120086.000000,,-1551084725.000000,-842106196.000000,-377777777.000000,,-450000000.000000,,-23913088784.000000,434546226578.000000,506254295767.000000,,,,,,-1770969989.000000,,,,,,-36842099200.000000,,,,,25000000.000000,,,,-33120000000.000000,,434546226578.000000,12073589308.000000,50403584884.000000,62477174192.000000
12M 2022,31235728934.000000,7144379207740.000000,-87695244478.000000,-6702633763922.000000,,1071614890680.000000,-1089413153961.000000,-17798263281.000000,,-83255096047.000000,2217045789.000000,-13437500000.000000,-210540656867.000000,-305016207125.000000,31235728934.000000,-84580890179.000000,-76618604757.000000,3100000.000000,-2236796780.000000,-1216144199.000000,-4512444443.000000,,,,-84580890179.000000,96890946491.000000,3762819644570.000000,-3561970831037.000000,-33787500000.000000,,,,-5500243042.000000,,,-250000000000.000000,,,-46052624000.000000,20000000.000000,-200000000.000000,,,,,,,516562500000.000000,-285000000000.000000,96890946491.000000,43545785246.000000,62477174192.000000,106022959438.000000
12M 2023,-394209765259.000000,12929652669161.000000,-108614674035.000000,-12831471815686.000000,,989390923058.000000,-1011500099440.000000,-22109176382.000000,,-96069776117.000000,2318960386.000000,,-267915952586.000000,-361666768317.000000,-394209765259.000000,-58154198359.000000,-47014341300.000000,2500000.000000,-9156334425.000000,-136055000.000000,-1849967634.000000,,,,-58154198359.000000,638966397683.000000,5678807672526.000000,-4828410781826.000000,-11118125000.000000,,,,-9171219217.000000,-400000000000.000000,,,,,-55263148800.000000,50000000.000000,-200000000.000000,,,,,,,620207866268.000000,-355935866268.000000,638966397683.000000,186602434065.000000,106022959438.000000,292625393503.000000
12M 2024,-423584251291.000000,18090835623104.000000,-109226208729.000000,-17866846871076.000000,,1477496155964.000000,-1612142688581.000000,-134646532617.000000,,-118789463226.000000,2681680761.000000,,-287592479508.000000,-403700261973.000000,-423584251291.000000,-191089906777.000000,-182581050187.000000,554333334.000000,-6022759988.000000,-463534000.000000,-2576895936.000000,,,,-191089906777.000000,535596304016.000000,7931167267046.000000,-7101522767046.000000,-15000000000.000000,,,,-10546349407.000000,-600000000000.000000,,,900000000000.000000,-7313410577.000000,-69078936000.000000,3725000000.000000,,,,,,,,,-495834500000.000000,535596304016.000000,-79077854052.000000,292625393503.000000,213547539451.000000
