Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,2196887739286.000000,-1990919487779.000000,205968251507.000000,-28252800412.000000,-11105573975.000000,-14917092366.000000,-2230134071.000000,-28252800412.000000,177715451095.000000,-50440174123.000000,367496116.000000,-50807670239.000000,,-50440174123.000000,127275276972.000000,44302675747.000000,,44302675747.000000,171577952719.000000,-22907611.000000,,-22907611.000000,171555045108.000000,171577952719.000000,171577952719.000000,,171577952719.000000,171555045108.000000,171555045108.000000,,171555045108.000000
12M 2017,2482758909609.000000,-2257188788489.000000,225570121120.000000,-33945163314.000000,-12468174368.000000,-21720095480.000000,243106534.000000,-33945163314.000000,191624957806.000000,-44439612257.000000,991681848.000000,-45431294105.000000,,-44439612257.000000,147185345549.000000,-36884119978.000000,,-36884119978.000000,110301225571.000000,2133253753.000000,,2133253753.000000,112434479324.000000,110301225571.000000,110301225571.000000,,110301225571.000000,112434479324.000000,112434479324.000000,,112434479324.000000
12M 2018,2745593297236.000000,-2487493630022.000000,258099667214.000000,-50238951427.000000,-17019913811.000000,-33875190703.000000,656153087.000000,-50238951427.000000,207860715787.000000,-42076645725.000000,269814982.000000,-42346460707.000000,,-42076645725.000000,165784070062.000000,-42390206624.000000,,-42390206624.000000,123393863438.000000,420463181.000000,420463181.000000,420463181.000000,123814326619.000000,123393863438.000000,123401462426.000000,-7598988.000000,123393863438.000000,123814326619.000000,123821925607.000000,-7598988.000000,123814326619.000000
12M 2019,3235522159813.000000,-2919727588456.000000,315794571357.000000,-57794492233.000000,-20465652228.000000,-38267069460.000000,938229455.000000,-57794492233.000000,258000079124.000000,-57879267713.000000,4094502950.000000,-41993948906.000000,-19979821757.000000,-57879267713.000000,200120811411.000000,-50130174778.000000,,-50130174778.000000,149990636633.000000,257682131.000000,257682131.000000,257682131.000000,150248318764.000000,149990636633.000000,150109583855.000000,-118947222.000000,149990636633.000000,150248318764.000000,150367261629.000000,-118942865.000000,150248318764.000000
12M 2020,4138626813254.000000,-3716928485410.000000,421698327844.000000,-65208729476.000000,-13267382189.000000,-52939211727.000000,997864440.000000,-65208729476.000000,356489598368.000000,-138284764397.000000,3756534520.000000,-114084173921.000000,-27957124996.000000,-138284764397.000000,218204833971.000000,-47120303103.000000,,-47120303103.000000,171084530868.000000,-457004856.000000,-457004856.000000,-457004856.000000,170627526012.000000,171084530868.000000,171170690685.000000,-86159817.000000,171084530868.000000,170627526012.000000,170713372077.000000,-85846065.000000,170627526012.000000
12M 2021,5237905426180.000000,-4665326852371.000000,572578573809.000000,-146360497417.000000,-11550995457.000000,-135302093946.000000,492591986.000000,-146360497417.000000,426218076392.000000,-178052748573.000000,819356723.000000,-150914980300.000000,-27957124996.000000,-178052748573.000000,248165327819.000000,-53732930600.000000,,-53732930600.000000,194432397219.000000,428878082.000000,428878082.000000,428878082.000000,194861275301.000000,194432397219.000000,193976113572.000000,456283647.000000,194432397219.000000,194861275301.000000,194405007615.000000,456267686.000000,194861275301.000000
12M 2022,6918453560506.000000,-6175631540633.000000,742822019873.000000,-193606588060.000000,-23122498487.000000,-171601981465.000000,1117891892.000000,-193606588060.000000,549215431813.000000,-223032300292.000000,2217045789.000000,-217135304417.000000,-8114041664.000000,-223032300292.000000,326183131521.000000,-72055541738.000000,,-72055541738.000000,254127589783.000000,-874143527.000000,-874143527.000000,-874143527.000000,253253446256.000000,254127589783.000000,253521017628.000000,606572155.000000,254127589783.000000,253253446256.000000,252642939493.000000,610506763.000000,253253446256.000000
12M 2023,12857028724562.000000,-11910293090365.000000,946735634197.000000,-248078147202.000000,-23306944098.000000,-215772001512.000000,-8999201592.000000,-248078147202.000000,698657486995.000000,-302499456269.000000,2318960386.000000,-304818416655.000000,,-302499456269.000000,396158030726.000000,-89889475131.000000,,-89889475131.000000,306268555595.000000,-842395880.000000,-842395880.000000,-842395880.000000,305426159715.000000,306268555595.000000,305804872434.000000,463683161.000000,306268555595.000000,305426159715.000000,304963773642.000000,462386073.000000,305426159715.000000
12M 2024,18228628989765.000000,-17131863817700.000000,1096765172065.000000,-222146871807.000000,-9923225050.000000,-209767760971.000000,-2455885786.000000,-222146871807.000000,874618300258.000000,-307535028693.000000,2681680761.000000,-310216709454.000000,,-307535028693.000000,567083271565.000000,-124363244066.000000,,-124363244066.000000,442720027499.000000,-184254792.000000,-184254792.000000,-184254792.000000,442535772707.000000,442720027499.000000,442180750218.000000,539277281.000000,442720027499.000000,442535772707.000000,441997179547.000000,538593160.000000,442535772707.000000
