Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1963886006.000000,,605183758.000000,276083758.000000,329100000.000000,605183758.000000,,,,,2851399938.000000,500083681.000000,5920553383.000000,,10100000000.000000,10100000000.000000,10100000000.000000,7072175641.000000,,1540000.000000,1680626700.000000,18854342341.000000,24774895724.000000,,,6063057939.000000,,1650000.000000,312946000.000000,314596000.000000,,,,,4185855080.000000,,,,27360000.000000,,47177382.000000,74537382.000000,1488069477.000000,6063057939.000000,420304365.000000,,316561941.000000,316561941.000000,,57000000.000000,,44242424.000000,101242424.000000,,2500000.000000,420304365.000000,6483362304.000000,,500000000.000000,,16010227265.000000,125000000.000000,15885227265.000000,16010227265.000000,109833885.000000,1671472270.000000,18291533420.000000,24774895724.000000,1000.000000
12M 2022,,,989695498.000000,,611396200.000000,165076000.000000,446320200.000000,611396200.000000,,,,,4641367918.000000,438916618.000000,6681376234.000000,,4050000000.000000,4050000000.000000,4050000000.000000,13112421543.000000,375076574.000000,2141480.000000,1444828796.000000,18984468393.000000,25665844627.000000,,,9975366595.000000,,738229432.000000,5158600.000000,743388032.000000,,,,,7527617554.000000,7712610.000000,,,250533800.000000,,63008727.000000,313542527.000000,1383105872.000000,9975366595.000000,316263727.000000,,244540030.000000,244540030.000000,,29640000.000000,,36969697.000000,66609697.000000,,5114000.000000,316263727.000000,10291630322.000000,,2000000000.000000,1521988586.000000,12379081492.000000,150000000.000000,12229081492.000000,12379081492.000000,531261980.000000,-1058117752.000000,15374214306.000000,25665844628.000000,4000.000000
12M 2023,,,3987739189.000000,,2616090347.000000,402946369.000000,2213143978.000000,2616090347.000000,,,,,7339386118.000000,693932391.000000,14637148045.000000,,1360261769.000000,1360261769.000000,1360261769.000000,18476596387.000000,354812460.000000,6733188.000000,1462798946.000000,21661202750.000000,36298350795.000000,,,14843224759.000000,,824569720.000000,56586357.000000,881156077.000000,,,,,11351681165.000000,34234336.000000,,,27360000.000000,,96384713.000000,123744713.000000,2452408468.000000,14843224759.000000,2111616588.000000,,429319285.000000,429319285.000000,,2280000.000000,1425000000.000000,238030303.000000,1665310303.000000,,16987000.000000,2111616588.000000,16954841347.000000,,2000000000.000000,1361266206.000000,16650884748.000000,175000000.000000,16475884748.000000,16650884748.000000,727904427.000000,-1396545933.000000,19343509448.000000,36298350795.000000,4000.000000
12M 2024,,,6371490290.000000,820000000.000000,3877637280.000000,313177437.000000,3564459843.000000,3877637280.000000,34208912.000000,,34208912.000000,34208912.000000,13541958552.000000,10450821649.000000,35096116683.000000,,2657564496.000000,2657564496.000000,2657564496.000000,22105190705.000000,176023611.000000,11523452.000000,5839767588.000000,30790069852.000000,65886186535.000000,,,11432837836.000000,,1650000.000000,375295015.000000,376945015.000000,,,,,8638907761.000000,36972467.000000,,,52080000.000000,475000000.000000,59123636.000000,586203636.000000,1793808957.000000,11432837836.000000,10763092315.000000,,1820026269.000000,1820026269.000000,,186750000.000000,8336568610.000000,398984848.000000,8922303458.000000,,20762588.000000,10763092315.000000,22195930151.000000,,21500000000.000000,505707433.000000,20252420120.000000,200000000.000000,20052420120.000000,20252420120.000000,1431123388.000000,1005443.000000,43690256384.000000,65886186535.000000,430000000.000000
