Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,15649225.34,0.00,0.00,19.03 B,63.17%,86.07%,195.45%,62.45
12M 2022,0.00 B,3096068.99,0.00,0.00,14.88 B,48.25%,83.44%,79.11%,15.92
12M 2023,0.00 B,2993415.14,0.00,0.00,16.29 B,32.99%,64.32%,76.40%,11.24
12M 2024,0.43 B,68.43,0.00,0.00,40.51 B,44.66%,69.63%,100.60%,27.08
