Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Operasional Lainnya,Penerimaan Pendapatan Bunga,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Pembayaran Untuk Beban Usaha,Pembayaran Dividen,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Hak Guna,Penambahan Deposito,Penempatan Investasi Pada Entitas Asosiasi,Perubahan Kepemilikan Pada Entitas Anak,Perolehan Aset Takberwujud,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Penjualan Aset Tetap,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penambahan Aset Keuangan Lainnya,Penerimaan Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Penerbitan Modal Saham,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Utang Bank Jangka Pendek - Kredit Rekening Koran,Kas Dan Bank Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,18648277352.000000,38195936861.000000,-13746522134.000000,-1295831025.000000,-4978374929.000000,,-292823663.000000,765892242.000000,,,,,18648277352.000000,-3705486996.000000,-3740486996.000000,,,,35000000.000000,,,,,,,-3705486996.000000,-13582014646.000000,,,,,,-5582014646.000000,,,,,-8000000000.000000,,,,,-13582014646.000000,1360775710.000000,,,603110296.000000,1963886006.000000
12M 2022,14472678249.000000,38384238924.000000,-16603773302.000000,-1561753159.000000,-6267452988.000000,,-855015367.000000,1376434141.000000,,,,,14472678249.000000,-7924846846.000000,-7324770272.000000,,,-375076574.000000,-225000000.000000,,,,,,,-7924846846.000000,-7522021912.000000,5977978088.000000,,,,,,,,,,-15000000000.000000,,,1500000000.000000,,-7522021912.000000,-974190509.000000,,,1963886006.000000,989695497.000000
12M 2023,14016751941.000000,55978069984.000000,-31474415355.000000,-1647695931.000000,-9406221768.000000,,-1262674715.000000,1829689726.000000,,,,,14016751941.000000,-7468225735.000000,-7488489848.000000,-250000000.000000,,20264113.000000,250000000.000000,,,,,,,-7468225735.000000,-3550482513.000000,2874517487.000000,1500000000.000000,,-75000000.000000,,,,,,,-7850000000.000000,,,,,-3550482513.000000,2998043693.000000,,,989695498.000000,3987739191.000000
12M 2024,12962336175.000000,118680767465.000000,-65505550192.000000,-3723285427.000000,-37838963844.000000,,-1406848749.000000,2756216922.000000,,,,,12962336175.000000,-8850200503.000000,-6607119916.000000,-995000000.000000,-820000000.000000,178788849.000000,-606869436.000000,,,,,,,-8850200503.000000,-1728384571.000000,235046819.000000,7975000000.000000,,-588431390.000000,,,,,-3800000000.000000,,-25050000000.000000,,,19500000000.000000,,-1728384571.000000,2383751101.000000,,,3987739189.000000,6371490290.000000
