Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Karyawan,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aktiva Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Lainnya,Penambahan Aset Tidak Berwujud,Perolehan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Tambahan Modal Disetor,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Pembayaran Leasing,Pembayaran Sewa Pembiayaan,Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-880838066.000000,24907264137.000000,-13068113553.000000,-12089230664.000000,,-630757986.000000,-880838066.000000,-629430901.000000,,-549430901.000000,,-80000000.000000,,,-629430901.000000,-435065654.000000,,,325599000.000000,-647390000.000000,,-113274654.000000,,,-435065654.000000,-1945334621.000000,2759265019.000000,813930398.000000
12M 2018,-8064879735.000000,25649064592.000000,-13915212859.000000,-13370888901.000000,,-6427842567.000000,-8064879735.000000,-27247013495.000000,,-11334613495.000000,,47600000.000000,-15960000000.000000,,-27247013495.000000,35518470312.000000,,19900000000.000000,-1022200330.000000,5133750500.000000,,-93079858.000000,,11600000000.000000,35518470312.000000,206577082.000000,813930398.000000,1020507480.000000
12M 2019,363780678.000000,35439546259.000000,-4605931099.000000,-17006376143.000000,,-13463458339.000000,363780678.000000,575156172.000000,,3047656172.000000,,,-2472500000.000000,,575156172.000000,5374958.000000,,,19168274.000000,,-50502.000000,,-13742814.000000,,5374958.000000,944311808.000000,1020507480.000000,1964819288.000000
12M 2020,-297651169.000000,37714139325.000000,-8745349467.000000,-21211908412.000000,,-8054532615.000000,-297651169.000000,-5368186259.000000,,-1878186259.000000,,,-3300000000.000000,-190000000.000000,-5368186259.000000,14091499729.000000,,,14085249727.000000,6250002.000000,,,,,14091499729.000000,8425662301.000000,1964819288.000000,10390481589.000000
12M 2021,9351245921.000000,49966831310.000000,-7771282527.000000,-23836293939.000000,,-9008008923.000000,9351245921.000000,-13833335873.000000,,-4855558095.000000,,,-3300000000.000000,-5677777778.000000,-13833335873.000000,-1011417177.000000,,,-1011417177.000000,,,,,,-1011417177.000000,-5493507129.000000,10390481589.000000,4896974460.000000
12M 2022,-5007247617.000000,40369309260.000000,-17581954379.000000,-24958465083.000000,,-2836137415.000000,-5007247617.000000,-259935583.000000,,-259935583.000000,,,,,-259935583.000000,3128345336.000000,,,3128345336.000000,,,,,,3128345336.000000,-2138837864.000000,4896974460.000000,2758136596.000000
12M 2023,6503768064.000000,56818861038.000000,-25612010786.000000,-23129379245.000000,,-1573702943.000000,6503768064.000000,-24184424.000000,113509910.000000,-137694334.000000,,,,,-24184424.000000,-4791562128.000000,,,-4659938157.000000,,,,-131623971.000000,,-4791562128.000000,1688021512.000000,2758136596.000000,4446158108.000000
12M 2024,2685222228.000000,58629477264.000000,-29697122664.000000,-23335221130.000000,,-2911911242.000000,2685222228.000000,-196850814.000000,23200000.000000,-220050814.000000,,,,,-196850814.000000,-761381581.000000,,,-700850378.000000,,,,-60531203.000000,,-761381581.000000,1726989833.000000,4446158108.000000,6173147941.000000
