Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Pemasaran,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,27873687290.000000,-17002508196.000000,10871179094.000000,-9928065951.000000,,,,-9928065951.000000,943113143.000000,-173640273.000000,,,-173640273.000000,769472870.000000,-252947437.000000,-487877185.000000,235129748.000000,-200000.000000,-252947437.000000,516525433.000000,617778692.000000,1134304125.000000,516525433.000000,518927827.000000,-2402394.000000,516525433.000000,1134304125.000000,1136707225.000000,-2403100.000000,1134304125.000000
12M 2018,27802491998.000000,-13600426603.000000,14202065395.000000,-13354069044.000000,,,,-13354069044.000000,847996351.000000,-708906880.000000,,,-708906880.000000,139089471.000000,-28739211.000000,,19487081.000000,-48226292.000000,-28739211.000000,110350260.000000,498762812.000000,609113072.000000,110350260.000000,106953033.000000,3397227.000000,110350260.000000,609113072.000000,605715845.000000,3397227.000000,609113072.000000
12M 2019,37661955056.000000,-14122975477.000000,23538979579.000000,-22190875602.000000,,,,-22190875602.000000,1348103977.000000,-1227246628.000000,,,-1227246628.000000,120857349.000000,18860530.000000,,94636885.000000,-75776355.000000,18860530.000000,139717879.000000,-15129894.000000,124587985.000000,139717879.000000,139834477.000000,-116598.000000,139717879.000000,124587985.000000,124704583.000000,-116598.000000,124587985.000000
12M 2020,35104535899.000000,-15582999147.000000,19521536752.000000,-27423659092.000000,,,,-27423659092.000000,-7902122340.000000,-2397958032.000000,,,-2397958032.000000,-10300080372.000000,111955728.000000,,139593757.000000,-27638029.000000,111955728.000000,-10188124644.000000,-285745522.000000,-10473870166.000000,-10188124644.000000,-10192955757.000000,4831113.000000,-10188124644.000000,-10473870166.000000,-10478701279.000000,4831113.000000,-10473870166.000000
12M 2021,45054805149.000000,-22876871542.000000,22177933607.000000,-32256688011.000000,,,,-32256688011.000000,-10078754404.000000,-3348141449.000000,,,-3348141449.000000,-13426895853.000000,331045118.000000,,331045118.000000,,331045118.000000,-13095850735.000000,97143490.000000,-12998707245.000000,-13095850735.000000,-13095285394.000000,-565341.000000,-13095850735.000000,-12998707245.000000,-12998145122.000000,-562123.000000,-12998707245.000000
12M 2022,41539134578.000000,-23807768021.000000,17731366557.000000,-34792531522.000000,-355862217.000000,-30893299568.000000,-3543369737.000000,-34792531522.000000,-17061164965.000000,-1383494109.000000,5209529.000000,-1388703638.000000,-1383494109.000000,-18444659074.000000,-164237866.000000,,-164237866.000000,,-164237866.000000,-18608896940.000000,171723186.000000,-18437173754.000000,-18608896940.000000,-18608578254.000000,-318686.000000,-18608896940.000000,-18437173754.000000,-18436851616.000000,-322138.000000,-18437173754.000000
12M 2023,57893788442.000000,-35675590148.000000,22218198294.000000,-24848610716.000000,-436611459.000000,-23389859976.000000,-1022139281.000000,-24848610716.000000,-2630412422.000000,-791169098.000000,18494083.000000,-809663181.000000,-791169098.000000,-3421581520.000000,-683917086.000000,-732051844.000000,48134758.000000,,-683917086.000000,-4105498606.000000,66615996.000000,-4038882610.000000,-4105498606.000000,-4105778221.000000,279615.000000,-4105498606.000000,-4038882610.000000,-4039170027.000000,287417.000000,-4038882610.000000
12M 2024,60110185126.000000,-31168660278.000000,28941524848.000000,-26423395612.000000,-479860561.000000,-23437348665.000000,-2506186386.000000,-26423395612.000000,2518129236.000000,-339064567.000000,26504434.000000,-365569001.000000,-339064567.000000,2179064669.000000,-963887901.000000,-1158689528.000000,194801627.000000,,-963887901.000000,1215176768.000000,650368682.000000,1865545450.000000,1215176768.000000,1214135845.000000,1040923.000000,1215176768.000000,1865545450.000000,1864482647.000000,1062803.000000,1865545450.000000
