Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Imbalan Kerja Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Obligasi,Arus Kas Keluar Bersih Dari Akuisisi Entitas Anak,Arus Kas Masuk Bersih Dari Akuisisi Entitas Anak,Penurunan Dana Yang Dibatasi Penggunaannya,Uang Muka Kepada Pemegang Saham,Penempatan Uang Muka Investasi,Penempatan Pada Aset Keuangan Lainnya,Pembayaran Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penerimaan Dari Piutang Pemegang Saham,Perolehan Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Lain-Lain Jangka Panjang,Penerimaan Dari Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Pembayaran Pinjaman Bank,Penerimaan Dari Utang Obligasi,Penerimaan Dari Utang Sukuk,Penerimaan Dari Penjualan Saham Treasuri,Penerimaan Dari Transaksi Jual Dan Sewa Balik,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Penempatan Dana Yang Dibatasi Penggunaannya,Penerimaan Penambahan Modal Melalui Penawaran Umum Saham Perdana,Pembayaran Biaya Emisi Saham,Pembayaran Transaksi Pinjaman Biaya,Pembayaran Biaya Penerbitas Utang,Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2021,8727191355.000000,333694235757.000000,-187827935249.000000,,-117021308528.000000,-20970252238.000000,,,,852451613.000000,8727191355.000000,-5958619078.000000,,,,,,,,,-125001000.000000,,,,-11583381404.000000,5749763326.000000,-5958619078.000000,107372782248.000000,-110584217752.000000,,,,,,,,,,,,,,,,,,,,217957000000.000000,107372782248.000000,110141354525.000000,9628550189.000000,54978611.000000,119824883325.000000
12M 2022,411931448438.000000,1454397972821.000000,-567548059681.000000,,-459153921313.000000,-13330822194.000000,,-3922495294.000000,,1488774099.000000,411931448438.000000,-148770695767.000000,,,,,-59872028180.000000,-46872000000.000000,,,-42026667587.000000,,,,,,-148770695767.000000,-137649382092.000000,-137649382092.000000,,,,,,,,,,,,,,,,,,,,,-137649382092.000000,125511370579.000000,119824883325.000000,9402402949.000000,254738656853.000000
12M 2023,-17084728300.000000,1603568590388.000000,-821635388098.000000,,-605341350056.000000,-15598079169.000000,,-195141184161.000000,,17062682796.000000,-17084728300.000000,-748821605309.000000,,,,,59873028180.000000,-628893000000.000000,,-16866002738.000000,-74828413189.000000,,,-61613942166.000000,-26493275396.000000,,-748821605309.000000,1458827027000.000000,,1150000000000.000000,,,1150000000000.000000,,,,,,,,,,,,371800000000.000000,-7862925000.000000,,-55110048000.000000,,1458827027000.000000,692920693391.000000,254738656853.000000,-8543230871.000000,939116119373.000000
12M 2024,-2649000.000000,764031000.000000,-601954000.000000,-89898000.000000,,-48235000.000000,-2062000.000000,-28289000.000000,,3758000.000000,-2649000.000000,-284615000.000000,,-110203000.000000,18317000.000000,,,,-22585000.000000,,-143704000.000000,-238000.000000,,-2002000.000000,-24306000.000000,106000.000000,-284615000.000000,496662000.000000,,,606564000.000000,71796000.000000,678360000.000000,,-199213000.000000,-62000000.000000,-261213000.000000,61564000.000000,30790000.000000,,,-9845000.000000,-2232000.000000,-762000.000000,,,,,,496662000.000000,209398000.000000,60919000.000000,2674000.000000,272991000.000000
