Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,402473286840.000000,-215183518597.000000,187289768243.000000,-134424780864.000000,-96920914912.000000,-18916007289.000000,-18587858663.000000,-134424780864.000000,52864987379.000000,-19706977901.000000,-20970252238.000000,1263274337.000000,-19706977901.000000,33158009478.000000,-12146126132.000000,,,,-12146126132.000000,21011883346.000000,101028452.000000,21112911798.000000,21011883346.000000,22038475694.000000,-1026592348.000000,21011883346.000000,21112911798.000000,22054855747.000000,-941943949.000000,21112911798.000000
12M 2022,1519479330766.000000,-438609164396.000000,1080870166370.000000,-326463657393.000000,-314723033932.000000,-32849015916.000000,21108392455.000000,-326463657393.000000,754406508977.000000,-11842048095.000000,-13330822194.000000,1488774099.000000,-11842048095.000000,742564460882.000000,-180142024713.000000,,,,-180142024713.000000,562422436169.000000,-29155237.000000,562393280932.000000,562422436169.000000,570895487062.000000,-8473050893.000000,562422436169.000000,562393280932.000000,570870139703.000000,-8476858771.000000,562393280932.000000
12M 2023,1494125816458.000000,-684875769950.000000,809250046508.000000,-508383743269.000000,-442260335077.000000,-60296913613.000000,-5826494579.000000,-508383743269.000000,300866303239.000000,-2040253424.000000,-19102936220.000000,17062682796.000000,-2040253424.000000,298826049815.000000,-66190378357.000000,,,,-66190378357.000000,232635671458.000000,-11253668795.000000,221382002663.000000,232635671458.000000,238327371773.000000,-5691700315.000000,232635671458.000000,221382002663.000000,227230327797.000000,-5848325134.000000,221382002663.000000
12M 2024,801723000.0,-683857000.0,117866000.0,107294000.0,-35514000.0,-53400000.0,196208000.0,107294000.0,225160000.0,-45208000.0,-48966000.0,3758000.0,-45208000.0,179952000.0,-9982000.0,-10669000.0,9599000.0,-8912000.0,-9982000.0,169970000.0,11997000.0,181967000.0,169970000.0,160785000.0,9185000.0,169970000.0,181967000.0,176013000.0,5954000.0,181967000.0
