Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,145652312281.000000,-100274778099.000000,45377534182.000000,-25236649308.000000,-25236649308.000000,-25236649308.000000,20140884874.000000,-11747235607.000000,-7293956.000000,-68002840.000000,-11332505586.000000,13023833.000000,-352457058.000000,-11747235607.000000,,8393649267.000000,-1162513562.000000,7231135705.000000,-34770086.000000,7196365619.000000,7231135705.000000,7397794099.000000,-166658394.000000,7231135705.000000,7196365619.000000,7362222655.000000,-165857036.000000,7196365619.000000
12M 2020,149101936000.000000,-99969685118.000000,49132250882.000000,-31791737813.000000,-31791737813.000000,-31791737813.000000,17340513069.000000,-7880248142.000000,-35625868.000000,1864084871.000000,-10741091959.000000,9859831.000000,1022524983.000000,-7880248142.000000,,9460264927.000000,-1193270918.000000,8266994009.000000,-74121709.000000,8192872300.000000,8266994009.000000,8405249126.000000,-138255117.000000,8266994009.000000,8192872300.000000,8329887824.000000,-137015524.000000,8192872300.000000
12M 2021,160254869118.000000,-116545924929.000000,43708944189.000000,-23720475750.000000,-23720475750.000000,-23720475750.000000,19988468439.000000,-8692733717.000000,-7312888.000000,1959233506.000000,-11053638322.000000,10090563.000000,398893424.000000,-8692733717.000000,,11295734722.000000,-1838946996.000000,9456787726.000000,380935387.000000,9837723113.000000,9456787726.000000,9447560534.000000,9227192.000000,9456787726.000000,9837723113.000000,9828124234.000000,9598879.000000,9837723113.000000
12M 2022,194279523938.000000,-122389492532.000000,71890031406.000000,-24293233777.000000,-24293233777.000000,-24293233777.000000,47596797629.000000,-10707669687.000000,-1818373677.000000,-1154285528.000000,-9813888494.000000,25777893.000000,2053100119.000000,-10707669687.000000,,36889127942.000000,-2319909288.000000,34569218654.000000,150215621.000000,34719434275.000000,34569218654.000000,34511132293.000000,58086361.000000,34569218654.000000,34719434275.000000,34642903252.000000,76531023.000000,34719434275.000000
12M 2023,153392946309.000000,-94418161188.000000,58974785121.000000,-22253831337.000000,-22253831337.000000,-22253831337.000000,36720953784.000000,-9682009661.000000,-4290018.000000,276402941.000000,-10766616734.000000,961839134.000000,-149344984.000000,-9682009661.000000,,27038944123.000000,-1538250963.000000,25500693160.000000,-202100640.000000,25298592520.000000,25500693160.000000,25370253584.000000,130439576.000000,25500693160.000000,25298592520.000000,25174845703.000000,123746817.000000,25298592520.000000
12M 2024,187791881147.000000,-125082069343.000000,62709811804.000000,-30066736624.000000,-30066736624.000000,-30066736624.000000,32643075180.000000,-6796185532.000000,-6228908.000000,1507812688.000000,-11494551777.000000,3015768817.000000,181013648.000000,-6796185532.000000,,25846889648.000000,-1723602954.000000,24123286694.000000,142183865.000000,24265470559.000000,24123286694.000000,23830147144.000000,293139550.000000,24123286694.000000,24265470559.000000,23980515205.000000,284955354.000000,24265470559.000000
