Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Surat Hutang,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Dari Pihak Ketiga,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Wesel Bayar,Senior Notes,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Obligasi,Utang Bank Jangka Panjang,Utang Dari Pihak Ketiga,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,48445000000.000000,,90652000000.000000,25367000000.000000,,,25367000000.000000,,267768000000.000000,432232000000.000000,,5000000.000000,2379000000.000000,67054000000.000000,943087000000.000000,,356585000000.000000,60863000000.000000,1429973000000.000000,1862205000000.000000,,,312395000000.000000,12107000000.000000,,,12107000000.000000,86432000000.000000,,,86432000000.000000,48327000000.000000,40791000000.000000,,,46000000.000000,,76754000000.000000,76800000000.000000,47938000000.000000,312395000000.000000,1007966000000.000000,4751000000.000000,9469000000.000000,94000000000.000000,,,,,,886652000000.000000,886652000000.000000,,13094000000.000000,1007966000000.000000,1320361000000.000000,,360503000000.000000,,166330000000.000000,100000000.000000,166230000000.000000,166330000000.000000,17019000000.000000,-2008000000.000000,541844000000.000000,1862205000000.000000,3605030000.000000
12M 2010,,,1047454000000.000000,26042000000.000000,130733000000.000000,13411000000.000000,,,13411000000.000000,,325396000000.000000,1543036000000.000000,,,7134000000.000000,207550000000.000000,2824607000000.000000,,467236000000.000000,126879000000.000000,3633406000000.000000,5176442000000.000000,,,459148000000.000000,81270000000.000000,,,81270000000.000000,14700000000.000000,,,14700000000.000000,71856000000.000000,105182000000.000000,,,2110000000.000000,,59353000000.000000,61463000000.000000,124677000000.000000,459148000000.000000,2398767000000.000000,41600000000.000000,10064000000.000000,,,,3826000000.000000,,,2325444000000.000000,2329270000000.000000,,17833000000.000000,2398767000000.000000,2857915000000.000000,,455670000000.000000,1185098000000.000000,493059000000.000000,100000000.000000,492959000000.000000,493059000000.000000,174203000000.000000,10497000000.000000,2318527000000.000000,5176442000000.000000,4556699889.000000
12M 2011,,,499552000000.000000,16870000000.000000,149203000000.000000,9997000000.000000,,,9997000000.000000,,510646000000.000000,1186268000000.000000,,,13006000000.000000,383713000000.000000,4283000000000.000000,,677169000000.000000,337050000000.000000,5693938000000.000000,6880206000000.000000,,,869746000000.000000,77204000000.000000,,,77204000000.000000,36114000000.000000,,,36114000000.000000,68427000000.000000,308101000000.000000,,,1723000000.000000,,241789000000.000000,243512000000.000000,136388000000.000000,869746000000.000000,3305251000000.000000,40000000000.000000,416000000.000000,,,,4677000000.000000,,,3248823000000.000000,3253500000000.000000,,11335000000.000000,3305251000000.000000,4174997000000.000000,,455670000000.000000,1183858000000.000000,859972000000.000000,10100000000.000000,849872000000.000000,859972000000.000000,193159000000.000000,12550000000.000000,2705209000000.000000,6880206000000.000000,4556699889.000000
12M 2012,,,507253000000.000000,1442000000.000000,154056000000.000000,12559000000.000000,,,12559000000.000000,,1625919000000.000000,2301229000000.000000,,,107163000000.000000,87100000000.000000,10363924000000.000000,,677169000000.000000,780898000000.000000,12016254000000.000000,14317483000000.000000,,,2182014000000.000000,252668000000.000000,,,252668000000.000000,18005000000.000000,,,18005000000.000000,122320000000.000000,721825000000.000000,,,2440000000.000000,,855532000000.000000,857972000000.000000,209224000000.000000,2182014000000.000000,7890076000000.000000,,416000000.000000,,,,7297000000.000000,,,7863595000000.000000,7870892000000.000000,,18768000000.000000,7890076000000.000000,10072090000000.000000,,479653000000.000000,1916959000000.000000,1701907000000.000000,20100000000.000000,1681807000000.000000,1701907000000.000000,250801000000.000000,-103927000000.000000,4245393000000.000000,14317483000000.000000,4796526199.000000
12M 2013,,,647186000000.000000,895000000.000000,603396000000.000000,33709000000.000000,,,33709000000.000000,,1313410000000.000000,2598596000000.000000,,,378857000000.000000,219516000000.000000,12964792000000.000000,,677169000000.000000,1880281000000.000000,16120615000000.000000,18719211000000.000000,,,3930922000000.000000,125531000000.000000,,,125531000000.000000,20188000000.000000,,,20188000000.000000,122050000000.000000,885845000000.000000,544107000000.000000,,3394000000.000000,,1783367000000.000000,1786761000000.000000,446440000000.000000,3930922000000.000000,10674250000000.000000,,,,3782023000000.000000,,7122000000.000000,,,6860938000000.000000,6868060000000.000000,,24167000000.000000,10674250000000.000000,14605172000000.000000,,479653000000.000000,1339562000000.000000,2662109000000.000000,30100000000.000000,2632009000000.000000,2662109000000.000000,125920000000.000000,-493205000000.000000,4114039000000.000000,18719211000000.000000,4796526199.000000
12M 2014,,,900576000000.000000,1509000000.000000,491056000000.000000,69727000000.000000,,,69727000000.000000,,1689338000000.000000,3152206000000.000000,,,409993000000.000000,473559000000.000000,15041165000000.000000,,628348000000.000000,2328811000000.000000,18881876000000.000000,22034082000000.000000,,,9124102000000.000000,177866000000.000000,,,177866000000.000000,37112000000.000000,,,37112000000.000000,187079000000.000000,855076000000.000000,,,3031000000.000000,,7311207000000.000000,7314238000000.000000,552731000000.000000,9124102000000.000000,8778951000000.000000,,,,3869886000000.000000,,7859000000.000000,,,4870258000000.000000,4878117000000.000000,,30948000000.000000,8778951000000.000000,17903053000000.000000,,479653000000.000000,784217000000.000000,3675818000000.000000,40100000000.000000,3635718000000.000000,3675818000000.000000,150309000000.000000,-958968000000.000000,4131029000000.000000,22034082000000.000000,4796526199.000000
12M 2015,,,296131000000.000000,845000000.000000,481519000000.000000,211652000000.000000,,,211652000000.000000,,1615363000000.000000,2605510000000.000000,,,30512000000.000000,534039000000.000000,16120453000000.000000,,573805000000.000000,2935352000000.000000,20194161000000.000000,22799671000000.000000,,,1914539000000.000000,192629000000.000000,,,192629000000.000000,66916000000.000000,,,66916000000.000000,181939000000.000000,541390000000.000000,189229000000.000000,,3417000000.000000,,246422000000.000000,249839000000.000000,492597000000.000000,1914539000000.000000,19294336000000.000000,,1220974000000.000000,,8875827000000.000000,,8574000000.000000,,,9156801000000.000000,9165375000000.000000,,32160000000.000000,19294336000000.000000,21208875000000.000000,,479653000000.000000,115425000000.000000,3201198000000.000000,50100000000.000000,3151098000000.000000,3201198000000.000000,60764000000.000000,-2266244000000.000000,1590796000000.000000,22799671000000.000000,4796526199.000000
12M 2016,,,365342000000.000000,2387000000.000000,409092000000.000000,78042000000.000000,,,78042000000.000000,,1105809000000.000000,1960672000000.000000,,,51094000000.000000,429307000000.000000,17963131000000.000000,,534355000000.000000,2681709000000.000000,21659596000000.000000,23620268000000.000000,,,2899952000000.000000,184918000000.000000,,,184918000000.000000,18532000000.000000,,,18532000000.000000,137292000000.000000,1064440000000.000000,,,3545000000.000000,,1012362000000.000000,1015907000000.000000,478863000000.000000,2899952000000.000000,19096174000000.000000,,1169038000000.000000,,8892520000000.000000,,7215000000.000000,,,8992289000000.000000,8999504000000.000000,,35112000000.000000,19096174000000.000000,21996126000000.000000,,453140000000.000000,-309548000000.000000,2748799000000.000000,55100000000.000000,2693699000000.000000,2748799000000.000000,68429000000.000000,-1336678000000.000000,1624142000000.000000,23620268000000.000000,4531399889.000000
12M 2017,,,407444000000.000000,2336000000.000000,266127000000.000000,91579000000.000000,,,91579000000.000000,,1204015000000.000000,1971501000000.000000,,,470856000000.000000,19798733000000.000000,168689000000.000000,,412888000000.000000,2773118000000.000000,23624284000000.000000,25595785000000.000000,,,1988122000000.000000,192884000000.000000,,,192884000000.000000,20145000000.000000,,,20145000000.000000,51352000000.000000,1181025000000.000000,,,3518000000.000000,,,3518000000.000000,539198000000.000000,1988122000000.000000,20422583000000.000000,,11837000000.000000,,6321002000000.000000,,7536000000.000000,,,14047810000000.000000,14055346000000.000000,,34398000000.000000,20422583000000.000000,22410705000000.000000,,453140000000.000000,-309548000000.000000,1316673000000.000000,60100000000.000000,1256573000000.000000,1316673000000.000000,97050000000.000000,1627765000000.000000,3185080000000.000000,25595785000000.000000,4531399889.000000
12M 2018,,,220586000000.000000,1508000000.000000,383303000000.000000,77660000000.000000,,,77660000000.000000,,1344408000000.000000,2027465000000.000000,,,344703000000.000000,21878608000000.000000,181608000000.000000,,428610000000.000000,4252753000000.000000,27086282000000.000000,29113747000000.000000,,,6424937000000.000000,231711000000.000000,,,231711000000.000000,104028000000.000000,,,104028000000.000000,60065000000.000000,1466028000000.000000,624283000000.000000,,5095000000.000000,,3265184000000.000000,3270279000000.000000,668543000000.000000,6424937000000.000000,19009245000000.000000,,12509000000.000000,,7264742000000.000000,,12868000000.000000,,,11688940000000.000000,11701808000000.000000,,30186000000.000000,19009245000000.000000,25434182000000.000000,,453140000000.000000,-499660000000.000000,1341646000000.000000,61100000000.000000,1280546000000.000000,1341646000000.000000,308886000000.000000,2075553000000.000000,3679565000000.000000,29113747000000.000000,4531399889.000000
