Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,145.58,0.00,46.67,77 B,985 B,"1,062 B","1,014 B",120 B
12M 2010,5.31,470.59,6.79,368.05,61 B,"2,371 B","2,432 B","1,385 B","1,084 B"
12M 2011,4.31,551.29,5.90,402.68,244 B,"3,294 B","3,537 B","3,037 B",317 B
12M 2012,6.84,832.81,8.24,691.63,858 B,"7,871 B","8,729 B","8,222 B",119 B
12M 2013,6.98,831.46,8.40,690.28,"2,331 B","10,650 B","12,981 B","12,334 B","(1,332 B)"
12M 2014,11.69,829.92,13.88,698.92,"7,314 B","8,748 B","16,062 B","15,162 B","(5,972 B)"
12M 2015,18.42,318.99,29.47,199.36,439 B,"18,041 B","18,480 B","18,184 B",691 B
12M 2016,14.51,343.32,22.09,225.40,"1,012 B","17,892 B","18,908 B","18,543 B",(939 B)
12M 2017,9.43,681.47,10.88,590.36,4 B,"20,376 B","20,380 B","19,972 B",(17 B)
12M 2018,4.84,743.85,5.54,649.26,"3,895 B","18,967 B","22,861 B","22,641 B","(4,397 B)"
12M 2019,5.58,220.40,6.04,203.57,"2,152 B","20,808 B","22,960 B","22,435 B","(2,137 B)"
12M 2020,4.24,384.41,4.43,367.59,"10,758 B","13,114 B","23,872 B","22,925 B","(10,550 B)"
12M 2021,7.21,409.27,7.52,392.44,"5,614 B","23,145 B","28,759 B","28,130 B","(5,411 B)"
12M 2022,5.04,455.90,5.24,438.68,"6,121 B","22,851 B","28,972 B","28,005 B","(5,162 B)"
12M 2023,4.04,517.02,4.18,499.79,"10,750 B","18,852 B","29,601 B",(801 B),"(10,726 B)"
12M 2024,4.81,436.85,5.00,419.62,"18,730 B","13,244 B","31,973 B","30,492 B","(18,427 B)"
