Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Jasa Giro Dan Bunga Deposito,Penempatan Deposito Jaminan,Penerimaan Lebih Bayar Pajak,Pembayaran Pajak Penghasilan,Pembayaran Kas Ke Karyawan,Pembayaran Kas Ke Pemasok,Pembayaran Pajak Revaluasi Aset,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Pajak Pertambahan Nilai Akuisisi Menara,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembelian Dan Sewa Atas Lahan,Akusisi Dan Penyertaan Saham,Uang Muka Pembelian Menara,Pembayaran Pajak Pertambahan Nilai Akusisi Menara,Pencarian (Penempatan) Deposito Berjangka,Pelepasan Investasi Saham,Pembelian Kembali Saham Beredar,Pembelian Saham,Pembelian Obligasi Wajib Tukar,Penambahan Aset Hak Guna,Penambahan Properti Investasi,Pembelian Aset Keuangan,Penerimaan Dari Aset Keuangan,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Surat Utang,Biaya Penerbitan Surat Utang,Penerbitan Surat Utang Jangka Panjang,Penerimaan Pinjaman Jangka Panjang,Pencairan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Kepada Pihak Ketiga,Penerimaan Sewa Pembiayaan,Pembayaran Sewa Pembiayaan,Pembayaran Liabilitas Sewa - Kendaraan,Pembayaran Liabilitas Sewa Hak Guna,Pembayaran Dividen,Pembayaran Dividen - Entitas Anak,Setoran Pembayaran Dividen Ke Agen Pembayaran - Entitas Anak,Pembayaran Bunga Dan Biaya Pinjaman Bank / Surat Utang Jangka Panjang,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Penyelesaian Kontrak Lindung Nilai,Biaya Penawaran Umum Perdana Saham,Pembelian Kembali Saham,Saham Treasuri,Pembayaran Biaya Saham Treasuri,Pembelian Saham Treasuri Entitas Anak,Penjualan Saham Treasuri,Penerimaan Dari Penerbitan Saham Baru- Entitas Anak,Pembayaran Biaya Terkait Penerbitan Saham Baru- Entitas Anak,Pemberian Pinjaman Kepada Entitas Asosiasi,Penerimaan Derivatif,Setoran Modal,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Setara Kas Yang Dibatasi Penggunaanya Pada Akhir Periode / Tahun,Kas Dan Setara Kas Akhir Periode
12M 2009,213071000000.000000,332478000000.000000,545000000.000000,-663000000.000000,,-8430000000.000000,-27650000000.000000,-83209000000.000000,,213071000000.000000,-558095000000.000000,,3139000000.000000,-2870000000.000000,,-20288000000.000000,-397525000000.000000,,,,,,,,,-140551000000.000000,,,,-558095000000.000000,409369000000.000000,,,,,1020971000000.000000,-536933000000.000000,,,,-103000000.000000,,,,,,-106211000000.000000,73069000000.000000,-144909000000.000000,,,,,,,,,,,,103485000000.000000,,409369000000.000000,,64345000000.000000,45590000000.000000,-61490000000.000000,48445000000.000000
12M 2010,357851000000.000000,588423000000.000000,6159000000.000000,-996000000.000000,,-26149000000.000000,-42754000000.000000,-166832000000.000000,,357851000000.000000,-826559000000.000000,,201000000.000000,-39230000000.000000,,-88723000000.000000,-151851000000.000000,,,-9332000000.000000,,,,,,-537624000000.000000,,,,-826559000000.000000,1458576000000.000000,,,,,3167567000000.000000,-2497035000000.000000,,-166415000000.000000,,-2143000000.000000,,,,,,-325718000000.000000,,-2151000000.000000,,-59715000000.000000,,,,,,,,,,1344186000000.000000,,1458576000000.000000,,989868000000.000000,109935000000.000000,-52349000000.000000,1047454000000.000000
12M 2011,631324000000.000000,917314000000.000000,16149000000.000000,961000000.000000,,-43121000000.000000,-64812000000.000000,-195167000000.000000,,631324000000.000000,-1484314000000.000000,,372000000.000000,-36536000000.000000,,-200055000000.000000,-208052000000.000000,,,9173000000.000000,,,,,,-1049216000000.000000,,,,-1484314000000.000000,366326000000.000000,,,,,1142224000000.000000,-390470000000.000000,,-580000000.000000,,-2920000000.000000,,,-114068000000.000000,,,-265020000000.000000,,-1600000000.000000,,-1240000000.000000,,,,,,,,,,,,366326000000.000000,,-486664000000.000000,1099803000000.000000,-113587000000.000000,499552000000.000000
12M 2012,1276752000000.000000,1648054000000.000000,16715000000.000000,-518000000.000000,,-56873000000.000000,-73416000000.000000,-257210000000.000000,,1276752000000.000000,-5572353000000.000000,,14954000000.000000,-32527000000.000000,,-459246000000.000000,-304605000000.000000,,-385944000000.000000,,,,,,,-4404985000000.000000,,,,-5572353000000.000000,4387276000000.000000,,,,,5344861000000.000000,-279503000000.000000,,-74000000.000000,,-3579000000.000000,,,,,,-674429000000.000000,,,,,,,,,,,,,,,,4387276000000.000000,,91675000000.000000,613139000000.000000,-197561000000.000000,507253000000.000000
12M 2013,1586003000000.000000,2290390000000.000000,23407000000.000000,,,-102023000000.000000,-125527000000.000000,-500244000000.000000,,1586003000000.000000,-2591318000000.000000,,1457000000.000000,-41457000000.000000,,-393863000000.000000,-681475000000.000000,,371226000000.000000,,,,,,,-1847206000000.000000,,,,-2591318000000.000000,881076000000.000000,,-74260000000.000000,3643400000000.000000,,718682000000.000000,-2235793000000.000000,-247000000.000000,,,-1393000000.000000,,,,,,-881521000000.000000,-287792000000.000000,,,,,,,,,,,,,,,881076000000.000000,273457000000.000000,149218000000.000000,704814000000.000000,-206846000000.000000,647186000000.000000
12M 2014,2552732000000.000000,3248372000000.000000,13535000000.000000,,,-136405000000.000000,-126715000000.000000,-446055000000.000000,,2552732000000.000000,-2363181000000.000000,,93000000.000000,-284059000000.000000,,-580787000000.000000,,,,,,,,,,-1498428000000.000000,,,,-2363181000000.000000,3793000000.000000,-550000000000.000000,-5547000000.000000,,,18138982000000.000000,-14852809000000.000000,-20000000.000000,,,-4064000000.000000,,,,,,-1281728000000.000000,-287787000000.000000,,,,,-459254000000.000000,,-693980000000.000000,,,,,,,,3793000000.000000,-146800000000.000000,46544000000.000000,854032000000.000000,,900576000000.000000
12M 2015,2218480000000.000000,3166042000000.000000,7310000000.000000,,,-131293000000.000000,-176048000000.000000,-576492000000.000000,-71039000000.000000,2218480000000.000000,-1591181000000.000000,,,-156640000000.000000,,-365339000000.000000,,,,,,,,,,-1069202000000.000000,,,,-1591181000000.000000,-1249224000000.000000,,,4437650000000.000000,,6300900000000.000000,-9955820000000.000000,,,,-132000000.000000,,,,,,-1080797000000.000000,,,,,,-649547000000.000000,,-301478000000.000000,,,,,,,,-1249224000000.000000,17480000000.000000,-604445000000.000000,900576000000.000000,,296131000000.000000
12M 2016,3773978000000.000000,4449051000000.000000,5545000000.000000,,,-195148000000.000000,-193177000000.000000,-283028000000.000000,-9265000000.000000,3773978000000.000000,-1365332000000.000000,,,-68418000000.000000,,-313139000000.000000,,,,,,,,,,-983775000000.000000,,,,-1365332000000.000000,-2334801000000.000000,,,230000000000.000000,,2052611000000.000000,-1428866000000.000000,,,,-4055000000.000000,,,-592000000000.000000,,,-1673707000000.000000,,,,,,-906348000000.000000,,-12436000000.000000,,,,,,,,-2334801000000.000000,-4634000000.000000,69211000000.000000,296131000000.000000,,365342000000.000000
12M 2017,3185893000000.000000,3958821000000.000000,6709000000.000000,,,-182501000000.000000,-247157000000.000000,-349979000000.000000,,3185893000000.000000,-1790370000000.000000,,73288000000.000000,-1579626000000.000000,,-284032000000.000000,,,,,,,,,,,,,,-1790370000000.000000,-1355114000000.000000,,,1400000000000.000000,,6426519000000.000000,-6520271000000.000000,,,,-4645000000.000000,,,-665000000000.000000,,,-1935427000000.000000,,,,,,-56290000000.000000,,,,,,,,,,-1355114000000.000000,1693000000.000000,42102000000.000000,365342000000.000000,,407444000000.000000
12M 2018,3239952000000.000000,4319731000000.000000,8431000000.000000,,,-190563000000.000000,-228894000000.000000,-668753000000.000000,,3239952000000.000000,-2204859000000.000000,,18647000000.000000,-1458245000000.000000,,-390377000000.000000,,,,,1817000000.000000,-371511000000.000000,,,,-5190000000.000000,,,,-2204859000000.000000,-1229193000000.000000,,,1236000000000.000000,,3887051000000.000000,-4095560000000.000000,,,,-4839000000.000000,,,-760910000000.000000,,,-1983036000000.000000,,,,,-4995000000.000000,-517761000000.000000,,,,,,,1014857000000.000000,,,-1229193000000.000000,7242000000.000000,-186858000000.000000,407444000000.000000,,220586000000.000000
