Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,341376000000.000000,-43410000000.000000,297966000000.000000,-49261000000.000000,248705000000.000000,18936000000.000000,545000000.000000,712000000.000000,14771000000.000000,,-104643000000.000000,-104643000000.000000,107551000000.000000,18936000000.000000,267641000000.000000,-16289000000.000000,-19170000000.000000,2881000000.000000,-16289000000.000000,251352000000.000000,-10695000000.000000,240657000000.000000,,240657000000.000000,240657000000.000000,251352000000.000000,-10695000000.000000,240657000000.000000,240657000000.000000,240657000000.000000,,240657000000.000000
12M 2010,671360000000.000000,-98196000000.000000,573164000000.000000,-86877000000.000000,486287000000.000000,-126990000000.000000,6159000000.000000,136000000.000000,-17515000000.000000,,-293080000000.000000,-293080000000.000000,177310000000.000000,-126990000000.000000,359297000000.000000,-19919000000.000000,-22091000000.000000,2172000000.000000,-19919000000.000000,339378000000.000000,-12649000000.000000,326729000000.000000,,326729000000.000000,326729000000.000000,339378000000.000000,-12649000000.000000,326729000000.000000,326729000000.000000,326729000000.000000,,326729000000.000000
12M 2011,970026000000.000000,-143262000000.000000,826764000000.000000,-119278000000.000000,707486000000.000000,-194538000000.000000,16149000000.000000,-150000000.000000,-14321000000.000000,,-270773000000.000000,-270773000000.000000,74557000000.000000,-194538000000.000000,512948000000.000000,-20600000000.000000,-35195000000.000000,14595000000.000000,-20600000000.000000,492348000000.000000,,492348000000.000000,2143000000.000000,494491000000.000000,492348000000.000000,474358000000.000000,17990000000.000000,492348000000.000000,494491000000.000000,476411000000.000000,18080000000.000000,494491000000.000000
12M 2012,1715421000000.000000,-263837000000.000000,1451584000000.000000,-171195000000.000000,1280389000000.000000,-367141000000.000000,16715000000.000000,464000000.000000,-84103000000.000000,,-534840000000.000000,-534840000000.000000,234623000000.000000,-367141000000.000000,913248000000.000000,14167000000.000000,-79990000000.000000,94157000000.000000,14167000000.000000,927415000000.000000,,927415000000.000000,-105819000000.000000,821596000000.000000,927415000000.000000,841935000000.000000,85480000000.000000,927415000000.000000,821596000000.000000,745869000000.000000,75727000000.000000,821596000000.000000
12M 2013,2690500000000.000000,-395796000000.000000,2294704000000.000000,-242434000000.000000,2052270000000.000000,-874894000000.000000,23407000000.000000,968000000.000000,-799123000000.000000,,-862168000000.000000,-862168000000.000000,762022000000.000000,-874894000000.000000,1177376000000.000000,174148000000.000000,-97962000000.000000,272110000000.000000,174148000000.000000,1351524000000.000000,,1351524000000.000000,-415539000000.000000,935985000000.000000,1351524000000.000000,1247994000000.000000,103530000000.000000,1351524000000.000000,935985000000.000000,858498000000.000000,77487000000.000000,935985000000.000000
12M 2014,3306812000000.000000,-509820000000.000000,2796992000000.000000,-291688000000.000000,2505304000000.000000,-1074741000000.000000,13535000000.000000,20000000.000000,-192230000000.000000,,-1417394000000.000000,-1417394000000.000000,521328000000.000000,-1074741000000.000000,1430563000000.000000,-58459000000.000000,-89595000000.000000,31136000000.000000,-58459000000.000000,1372104000000.000000,,1372104000000.000000,-15601000000.000000,1356503000000.000000,1372104000000.000000,1301496000000.000000,70608000000.000000,1372104000000.000000,1356503000000.000000,1289300000000.000000,67203000000.000000,1356503000000.000000
12M 2015,3421177000000.000000,-448910000000.000000,2972267000000.000000,-311423000000.000000,2660844000000.000000,-1571647000000.000000,7310000000.000000,,-45283000000.000000,,-1606794000000.000000,-1606794000000.000000,73120000000.000000,-1571647000000.000000,1089197000000.000000,355830000000.000000,-70141000000.000000,425971000000.000000,355830000000.000000,1445027000000.000000,,1445027000000.000000,-674988000000.000000,770039000000.000000,1445027000000.000000,1429903000000.000000,15124000000.000000,1445027000000.000000,770039000000.000000,747381000000.000000,22658000000.000000,770039000000.000000
12M 2016,3711174000000.000000,-417665000000.000000,3293509000000.000000,-315601000000.000000,2977908000000.000000,-1613957000000.000000,5545000000.000000,,25277000000.000000,,-1790901000000.000000,-1790901000000.000000,146122000000.000000,-1613957000000.000000,1363951000000.000000,-62558000000.000000,-135076000000.000000,72518000000.000000,-62558000000.000000,1301393000000.000000,,1301393000000.000000,228664000000.000000,1530057000000.000000,1301393000000.000000,1290357000000.000000,11036000000.000000,1301393000000.000000,1530057000000.000000,1522450000000.000000,7607000000.000000,1530057000000.000000
12M 2017,4023085000000.000000,-667761000000.000000,3355324000000.000000,-343178000000.000000,3012146000000.000000,-2104507000000.000000,6709000000.000000,,13938000000.000000,,-1964030000000.000000,-1964030000000.000000,-161124000000.000000,-2104507000000.000000,907639000000.000000,1431390000000.000000,-145552000000.000000,1576942000000.000000,1431390000000.000000,2339029000000.000000,,2339029000000.000000,-56801000000.000000,2282228000000.000000,2339029000000.000000,2316368000000.000000,22661000000.000000,2339029000000.000000,2282228000000.000000,2253607000000.000000,28621000000.000000,2282228000000.000000
12M 2018,4318137000000.000000,-784082000000.000000,3534055000000.000000,-381463000000.000000,3152592000000.000000,-2118307000000.000000,8431000000.000000,,2221000000.000000,,-2071597000000.000000,-2071597000000.000000,-57362000000.000000,-2118307000000.000000,1034285000000.000000,-331653000000.000000,-204705000000.000000,-126948000000.000000,-331653000000.000000,702632000000.000000,,702632000000.000000,1069943000000.000000,1772575000000.000000,702632000000.000000,680581000000.000000,22051000000.000000,702632000000.000000,1772575000000.000000,1740522000000.000000,32053000000.000000,1772575000000.000000
12M 2019,4698742000000.000000,-903454000000.000000,3795288000000.000000,-426434000000.000000,3368854000000.000000,-2146259000000.000000,10440000000.000000,,8966000000.000000,,-2016910000000.000000,-2016910000000.000000,-148755000000.000000,-2146259000000.000000,1222595000000.000000,-356474000000.000000,-261448000000.000000,-95026000000.000000,-356474000000.000000,866121000000.000000,,866121000000.000000,1532697000000.000000,2398818000000.000000,866121000000.000000,819454000000.000000,46667000000.000000,866121000000.000000,2398818000000.000000,2285137000000.000000,113681000000.000000,2398818000000.000000
12M 2020,5327689000000.000000,-1093065000000.000000,4234624000000.000000,-418623000000.000000,3816001000000.000000,-2306547000000.000000,14869000000.000000,,37452000000.000000,,-2134506000000.000000,-2134506000000.000000,-224362000000.000000,-2306547000000.000000,1509454000000.000000,-442878000000.000000,-254752000000.000000,-188126000000.000000,-442878000000.000000,1066576000000.000000,,1066576000000.000000,3332211000000.000000,4398787000000.000000,1066576000000.000000,1009625000000.000000,56951000000.000000,1066576000000.000000,4398787000000.000000,4323265000000.000000,75522000000.000000,4398787000000.000000
12M 2021,6179584000000.000000,-1472780000000.000000,4706804000000.000000,-400889000000.000000,4305915000000.000000,-2369951000000.000000,12156000000.000000,,1382000000.000000,,-2136045000000.000000,-2136045000000.000000,-247444000000.000000,-2369951000000.000000,1935964000000.000000,-334611000000.000000,-285346000000.000000,-49265000000.000000,-334611000000.000000,1601353000000.000000,,1601353000000.000000,-238988000000.000000,1362365000000.000000,1601353000000.000000,1548975000000.000000,52378000000.000000,1601353000000.000000,1362365000000.000000,1311014000000.000000,51351000000.000000,1362365000000.000000
12M 2022,6524369000000.000000,-1783325000000.000000,4741044000000.000000,-458573000000.000000,4282471000000.000000,-2370705000000.000000,13785000000.000000,,1779000000.000000,,-1828852000000.000000,-1828852000000.000000,-557417000000.000000,-2370705000000.000000,1911766000000.000000,-222325000000.000000,-222325000000.000000,,-222325000000.000000,1689441000000.000000,,1689441000000.000000,-2240635000000.000000,-551194000000.000000,1689441000000.000000,1637579000000.000000,51862000000.000000,1689441000000.000000,-551194000000.000000,-625646000000.000000,74452000000.000000,-551194000000.000000
12M 2023,6640645000000.000000,-1902397000000.000000,4738248000000.000000,-504176000000.000000,4234072000000.000000,-2429553000000.000000,20289000000.000000,,,,-1825590000000.000000,-1825590000000.000000,-624252000000.000000,-2429553000000.000000,1804519000000.000000,-182825000000.000000,-100029000000.000000,-82796000000.000000,-182825000000.000000,1621694000000.000000,,1621694000000.000000,443308000000.000000,2065002000000.000000,1621694000000.000000,1560307000000.000000,61387000000.000000,1621694000000.000000,2065002000000.000000,2011244000000.000000,53758000000.000000,2065002000000.000000
12M 2024,6867399000000.000000,-1941212000000.000000,4926187000000.000000,-607431000000.000000,4318756000000.000000,-2842206000000.000000,30993000000.000000,,,,-2048237000000.000000,-2048237000000.000000,-824962000000.000000,-2842206000000.000000,1476550000000.000000,-53515000000.000000,-63386000000.000000,9871000000.000000,-53515000000.000000,1423035000000.000000,,1423035000000.000000,-1412499000000.000000,10536000000.000000,1423035000000.000000,1361624000000.000000,61411000000.000000,1423035000000.000000,10536000000.000000,-61744000000.000000,72280000000.000000,10536000000.000000
