Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,49181533122.000000,-40474818138.000000,8706714984.000000,-7629677762.000000,-811632879.000000,-6818044883.000000,-7629677762.000000,1077037222.000000,3059091984.000000,,,3059091984.000000,3059091984.000000,4136129206.000000,-1010979844.000000,3125149362.000000,-43752958.000000,3081396404.000000,3125149362.000000,3125149362.000000,,3125149362.000000,3081396404.000000,3081396404.000000,,3081396404.000000
12M 2019,188583796943.000000,-141894821249.000000,46688975694.000000,-37655490984.000000,-37655490984.000000,,-37655490984.000000,9033484710.000000,680890398.000000,-783385307.000000,,1464275705.000000,680890398.000000,9714375108.000000,-3704828474.000000,6009546634.000000,-1759380564.000000,4250166070.000000,6009546634.000000,8048171188.000000,-2038624554.000000,6009546634.000000,4250166070.000000,6288790624.000000,-2038624554.000000,4250166070.000000
12M 2020,674900203.000000,-8053240924.000000,-7378340721.000000,-19969734092.000000,-19969734092.000000,,-19969734092.000000,-27348074813.000000,-554307050.000000,246969831.000000,,-801276881.000000,-554307050.000000,-27902381863.000000,107329522.000000,-27795052341.000000,1773409276.000000,-26021643065.000000,-27795052342.000000,-26130373583.000000,-1664678759.000000,-27795052342.000000,-26021643066.000000,-24356964307.000000,-1664678759.000000,-26021643066.000000
12M 2021,272500002.000000,-3451433334.000000,-3178933332.000000,-35885936469.000000,-35885936469.000000,,-35885936469.000000,-39064869801.000000,-212652657352.000000,,,-212652657352.000000,-212652657352.000000,-252006181320.000000,-30896633.000000,-252037077953.000000,-325055964.000000,-252362133917.000000,-252037077953.000000,-251313358082.000000,-723719871.000000,-252037077953.000000,-252362133917.000000,-251638414046.000000,-723719871.000000,-252362133917.000000
12M 2022,1944900000.000000,-3865364193.000000,-1920464193.000000,-17137026209.000000,-17137026209.000000,,-17137026209.000000,-19057490402.000000,-14179659853.000000,493700.000000,-5742210.000000,-14174411343.000000,-14179659853.000000,-33428600880.000000,-314269421.000000,-33742870301.000000,-421758226.000000,-34164628527.000000,-33742870301.000000,-33742860101.000000,-10200.000000,-33742870301.000000,-34164628527.000000,-34164618327.000000,-10200.000000,-34164628527.000000
12M 2023,2493050451.000000,-4624195438.000000,-2131144987.000000,-18546748369.000000,-18546748369.000000,,-18546748369.000000,-20677893356.000000,-10143082254.000000,-129772.000000,,-10142952482.000000,-10143082254.000000,-30887288064.000000,8316925.000000,-30878971139.000000,502102750.000000,-30376868389.000000,-30878971139.000000,-30878971139.000000,,-30878971139.000000,-30376868389.000000,-30376868389.000000,,-30376868389.000000
12M 2024,5537880001.000000,-3066978600.000000,2470901401.000000,-12028254807.000000,-12028254807.000000,,-12028254807.000000,-9557353406.000000,-4939135818.000000,252068.000000,-162613225.000000,-4776774661.000000,-4939135818.000000,-14496489224.000000,-424733.000000,-14496913957.000000,,-14496913957.000000,-14496913957.000000,-14496913957.000000,,-14496913957.000000,-14496913957.000000,-14496913957.000000,,-14496913957.000000
