Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Bunga Leasing,Pembayaran Pajak Penghasilan,Pembayaran Untuk Aktivitas Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penjualan Aset Tak Berwujud,Penerimaan Penjualan Entitas Anak,Uang Muka Investasi,Piutang Lain-Lain,Pembayaran Piutang Ke Pihak Berelasi,Pembayaran Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Pembiayaan,Penerimaan Pinjaman Dari Pemegang Saham,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Kepada Pemegang Saham,Pembayaran Sewa,Penerimaan Utang Pihak Berelasi,Penambahan Utang Bank,Pembayaran Utang Bank Jangka Pendek,Penambahan (Pembayaran) Utang Lain-Lain Jangka Panjang,Penambahan Modal Saham,Setoran Modal,Kenaikan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi Pada Tahun Berjalan,Kas Dan Setara Kas Awal Periode,Pengaruh Selisih Kurs,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-28118331717.000000,31491470929.000000,-68022233377.000000,-3904705532.000000,,,12317136263.000000,,-28118331717.000000,-29141236604.000000,-27641236604.000000,,,,,-1500000000.000000,,,,-29141236604.000000,96463817386.000000,-302219086.000000,,,,,,,,,761564280.000000,96004472192.000000,,96463817386.000000,39204249065.000000,,5548060517.000000,,5548060517.000000,44752309582.000000
12M 2019,-168249581403.000000,104586358864.000000,-199115201756.000000,-16803533251.000000,,-13539766495.000000,-43377438765.000000,,-168249581403.000000,-97276729118.000000,-1908951045.000000,15318550.000000,-9678389006.000000,,,-73678346323.000000,-12026361294.000000,,,-97276729118.000000,226429841449.000000,-136291769.000000,,,,,,16447573218.000000,,,150118560000.000000,60000000000.000000,,226429841449.000000,-39096469072.000000,555237087.000000,44752309582.000000,,44752309582.000000,6211077597.000000
12M 2020,46754925521.000000,107480213682.000000,-10572190145.000000,-6116383452.000000,,-2382232809.000000,-41654481755.000000,,46754925521.000000,-21363091584.000000,-5857829494.000000,2531895448.000000,,,,-1653245899.000000,-16383911639.000000,,,-21363091584.000000,-31507654809.000000,-15060081591.000000,,,,,,-16447573218.000000,,,,,,-31507654809.000000,-6115820872.000000,,6211077597.000000,,6211077597.000000,95256725.000000
12M 2021,-74541155.000000,372500002.000000,-33000000.000000,-2040167174.000000,,,1626126017.000000,,-74541155.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-74541155.000000,,95256726.000000,,95256726.000000,20715571.000000
12M 2022,-76021530.000000,612456000.000000,-627908139.000000,-2593388766.000000,,,2532819375.000000,,-76021530.000000,207877500.000000,,207877500.000000,,,,,,,,207877500.000000,,,,,,,,,,,,,,,131855970.000000,,20715571.000000,,20715571.000000,152571541.000000
12M 2023,-2924286641.000000,407764451.000000,-4518147094.000000,-1069403998.000000,,,2255500000.000000,,-2924286641.000000,170740541.000000,-2400000.000000,173140541.000000,,,,,,,,170740541.000000,2922509600.000000,,4646469600.000000,,-1430000000.000000,-293960000.000000,,,,,,,,2922509600.000000,168963500.000000,,152571541.000000,-129772.000000,152571541.000000,321405269.000000
12M 2024,-3507505419.000000,3089892601.000000,-5227941781.000000,-2848983792.000000,-71584947.000000,,1551112500.000000,,-3507505419.000000,-4363514.000000,-14363514.000000,,,,10000000.000000,,,,,-4363514.000000,3332088805.000000,,4906100000.000000,,-1067474873.000000,-506536322.000000,,,,,,,,3332088805.000000,-179780128.000000,,321405269.000000,252068.000000,321405269.000000,141877209.000000
