Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Pihak Ketiga,Others,Total Pihak Berelasi,Obligasi Pemerintah,Others,Total Obligasi Pemerintah,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Ketiga,Others,Total Pihak Ketiga,Pihak Berelasi,Others,Total Pihak Berelasi,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Piutang Sewa Pembiayaan,Piutang Sewa Pembiayaan,Others,Total Piutang Sewa Pembiayaan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Ketiga,Pihak Berelasi,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Liabilitas Derivatif,Liabilitas Akseptasi,Efek-Efek Yang Diterbitkan,Utang Pajak,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,6750145000000.000000,9945696000000.000000,,22908327000000.000000,22643327000000.000000,265000000000.000000,22908327000000.000000,-672766000000.000000,22235561000000.000000,,,,,16352318000000.000000,,16352318000000.000000,,160108683000000.000000,159657070000000.000000,,159657070000000.000000,451613000000.000000,,451613000000.000000,160108683000000.000000,-7891140000000.000000,152217543000000.000000,,,,,,1350483000000.000000,1350483000000.000000,2000076000000.000000,35225074000000.000000,246076896000000.000000,,,5620911000000.000000,201537439000000.000000,,73043694000000.000000,276982000000.000000,73320676000000.000000,128216763000000.000000,201537439000000.000000,1313676000000.000000,483862000000.000000,,300295000000.000000,3356495000000.000000,,,3356495000000.000000,710634000000.000000,10396887000000.000000,223720199000000.000000,,6162650000000.000000,2706137000000.000000,13324726000000.000000,6488625000000.000000,6836101000000.000000,13324726000000.000000,,163184000000.000000,22356697000000.000000,246076896000000.000000,12325299500.000000
12M 2009,,8139304000000.000000,12893414000000.000000,,40631290000000.000000,40438290000000.000000,193000000000.000000,40631290000000.000000,-136233000000.000000,40495057000000.000000,,,,,15027074000000.000000,,15027074000000.000000,,205522394000000.000000,205037003000000.000000,,205037003000000.000000,485391000000.000000,,485391000000.000000,205522394000000.000000,-11279891000000.000000,194242503000000.000000,,,,,,1366212000000.000000,1366212000000.000000,1915026000000.000000,42868439000000.000000,316947029000000.000000,,,4333232000000.000000,255928261000000.000000,,99842774000000.000000,191525000000.000000,100034299000000.000000,155893962000000.000000,255928261000000.000000,277302000000.000000,352716000000.000000,,343492000000.000000,13611399000000.000000,,,13611399000000.000000,2678422000000.000000,12164824000000.000000,289689648000000.000000,,6164926000000.000000,2722349000000.000000,17834694000000.000000,7024878000000.000000,10809816000000.000000,17834694000000.000000,,535412000000.000000,27257381000000.000000,316947029000000.000000,12329852500.000000
12M 2010,,9975712000000.000000,19989683000000.000000,,83272390000000.000000,83057390000000.000000,215000000000.000000,83272390000000.000000,-250000000.000000,83272140000000.000000,,,,,13626463000000.000000,,13626463000000.000000,,246964238000000.000000,,246504161000000.000000,246504161000000.000000,460077000000.000000,,460077000000.000000,246964238000000.000000,-13991454000000.000000,232972784000000.000000,,,,,,1568945000000.000000,1568945000000.000000,2295101000000.000000,40584774000000.000000,404285602000000.000000,,,4123639000000.000000,333652397000000.000000,,125826676000000.000000,482910000000.000000,126309586000000.000000,207342811000000.000000,333652397000000.000000,81801000000.000000,666878000000.000000,,1930923000000.000000,9454545000000.000000,9454545000000.000000,,9454545000000.000000,2156181000000.000000,15546128000000.000000,367612492000000.000000,,6167291000000.000000,2773858000000.000000,27123160000000.000000,7974956000000.000000,19148204000000.000000,27123160000000.000000,,608801000000.000000,36673110000000.000000,404285602000000.000000,12334581000.000000
12M 2011,,10525973000000.000000,33040418000000.000000,,73596656000000.000000,,,73596656000000.000000,-300000000.000000,73596356000000.000000,,,,,8996026000000.000000,,8996026000000.000000,,285406257000000.000000,,,,,,,285406257000000.000000,-15951531000000.000000,269454726000000.000000,,,,,,1852818000000.000000,1852818000000.000000,2631958000000.000000,69801009000000.000000,469899284000000.000000,,,3961640000000.000000,384264345000000.000000,146006981000000.000000,,,146006981000000.000000,238257364000000.000000,384264345000000.000000,173536000000.000000,1692176000000.000000,,1105997000000.000000,13097916000000.000000,,,13097916000000.000000,2136288000000.000000,13647057000000.000000,420078955000000.000000,,6167291000000.000000,2773858000000.000000,40019254000000.000000,8261766000000.000000,31757488000000.000000,40019254000000.000000,45769000000.000000,814157000000.000000,49820329000000.000000,469899284000000.000000,24669162000.000000
12M 2012,,13895464000000.000000,42524126000000.000000,,66242928000000.000000,,,66242928000000.000000,,66242928000000.000000,,,,,4315616000000.000000,,4315616000000.000000,,350758262000000.000000,,,,,,,350758262000000.000000,-14677220000000.000000,336081042000000.000000,,,,,,2804366000000.000000,2804366000000.000000,2024911000000.000000,83448337000000.000000,551336790000000.000000,,,4911852000000.000000,450166383000000.000000,177267237000000.000000,,,177267237000000.000000,272899146000000.000000,450166383000000.000000,152193000000.000000,4786121000000.000000,,895695000000.000000,10888755000000.000000,,,10888755000000.000000,2116562000000.000000,12537450000000.000000,486455011000000.000000,,6167291000000.000000,2773858000000.000000,55080238000000.000000,8412595000000.000000,46667643000000.000000,55080238000000.000000,75021000000.000000,785371000000.000000,64881779000000.000000,551336790000000.000000,24669162000.000000
12M 2013,,19171778000000.000000,40718495000000.000000,,36306883000000.000000,,,36306883000000.000000,,36306883000000.000000,,,,,4511419000000.000000,,4511419000000.000000,,434316466000000.000000,,,,,,,434316466000000.000000,-15171736000000.000000,419144730000000.000000,,,,,,3972612000000.000000,3972612000000.000000,2188506000000.000000,100168503000000.000000,626182926000000.000000,,,5065527000000.000000,504281382000000.000000,201585766000000.000000,,,201585766000000.000000,302695616000000.000000,504281382000000.000000,1565102000000.000000,3679684000000.000000,6023133000000.000000,1266018000000.000000,9084913000000.000000,,,9084913000000.000000,2097024000000.000000,13792721000000.000000,546855504000000.000000,,6167291000000.000000,2773858000000.000000,70868083000000.000000,11005528000000.000000,59862555000000.000000,70868083000000.000000,163751000000.000000,-645561000000.000000,79327422000000.000000,626182926000000.000000,24669162000.000000
12M 2014,,22469167000000.000000,51184429000000.000000,,62035442000000.000000,,,62035442000000.000000,,62035442000000.000000,,,,,4303596000000.000000,,4303596000000.000000,,495097288000000.000000,,,,,,,495097288000000.000000,-15886145000000.000000,479211143000000.000000,,,,,,5917470000000.000000,5917470000000.000000,1659705000000.000000,175174069000000.000000,801955021000000.000000,,,7043772000000.000000,622321846000000.000000,283457544000000.000000,,,283457544000000.000000,338864302000000.000000,622321846000000.000000,717523000000.000000,6525688000000.000000,8257990000000.000000,59805000000.000000,24986862000000.000000,,,24986862000000.000000,77582000000.000000,34226524000000.000000,704217592000000.000000,,6167291000000.000000,2773858000000.000000,88761688000000.000000,15449160000000.000000,73312528000000.000000,88761688000000.000000,177012000000.000000,-142420000000.000000,97737429000000.000000,801955021000000.000000,24669162000.000000
12M 2015,,28771635000000.000000,61717798000000.000000,,49834664000000.000000,,,49834664000000.000000,,49834664000000.000000,,,,,3815958000000.000000,,3815958000000.000000,,564480538000000.000000,,,,,,,564480538000000.000000,-17162183000000.000000,547318355000000.000000,,,,,,8039280000000.000000,8039280000000.000000,1983774000000.000000,176944848000000.000000,878426312000000.000000,,,5138562000000.000000,668995379000000.000000,267884404000000.000000,,,267884404000000.000000,401110975000000.000000,668995379000000.000000,445753000000.000000,5163471000000.000000,10521103000000.000000,1497262000000.000000,35480358000000.000000,,,35480358000000.000000,56468000000.000000,38000777000000.000000,765299133000000.000000,,6167291000000.000000,2773858000000.000000,106733021000000.000000,18115741000000.000000,88617280000000.000000,106733021000000.000000,294318000000.000000,-2841309000000.000000,113127179000000.000000,878426312000000.000000,24669162000.000000
12M 2016,,25212024000000.000000,55635946000000.000000,,78142754000000.000000,,,78142754000000.000000,,78142754000000.000000,,,,,3318434000000.000000,,3318434000000.000000,,643470975000000.000000,,,,,,,643470975000000.000000,-22184296000000.000000,621286679000000.000000,,2200300000000.000000,-130000000000.000000,2070300000000.000000,,24515059000000.000000,24515059000000.000000,2520930000000.000000,190942300000000.000000,1003644426000000.000000,,,5410313000000.000000,754526374000000.000000,293029378000000.000000,,,293029378000000.000000,461496996000000.000000,754526374000000.000000,347217000000.000000,5692583000000.000000,24800781000000.000000,942401000000.000000,35008170000000.000000,,,35008170000000.000000,1008510000000.000000,29095487000000.000000,856831836000000.000000,,6167291000000.000000,2773858000000.000000,125309471000000.000000,3022685000000.000000,122286786000000.000000,125309471000000.000000,391248000000.000000,12170722000000.000000,146812590000000.000000,1003644426000000.000000,24669162000.000000
12M 2017,,24797782000000.000000,58155479000000.000000,,55105687000000.000000,,,55105687000000.000000,,55105687000000.000000,,,,,3317840000000.000000,,3317840000000.000000,,718982668000000.000000,,,,,,,718982668000000.000000,-29423380000000.000000,689559288000000.000000,,2488983000000.000000,-103500000000.000000,2385483000000.000000,,24746306000000.000000,24746306000000.000000,3270231000000.000000,264910346000000.000000,1126248442000000.000000,,,6584201000000.000000,841656450000000.000000,326417937000000.000000,,,326417937000000.000000,515238513000000.000000,841656450000000.000000,200858000000.000000,5693425000000.000000,30619658000000.000000,564798000000.000000,29403009000000.000000,,,29403009000000.000000,986450000000.000000,43192099000000.000000,958900948000000.000000,,6167291000000.000000,2773858000000.000000,143827697000000.000000,3022685000000.000000,140805012000000.000000,143827697000000.000000,598677000000.000000,13979971000000.000000,167347494000000.000000,1126248442000000.000000,123345810000.000000
