Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Pokok Penjualan,Beban Eksplorasi,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Others,Total Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1003106000.000000,-644316000.000000,358790000.000000,-92865000.000000,,-22685000.000000,-52186000.000000,-17994000.000000,-92865000.000000,265925000.000000,-104752000.000000,26016000.000000,-122666000.000000,-8102000.000000,-104752000.000000,161173000.000000,-45090000.000000,116083000.000000,,116083000.000000,116083000.000000,-19514000.000000,96569000.000000,116083000.000000,86319000.000000,29764000.000000,116083000.000000,96569000.000000,72105000.000000,24464000.000000,96569000.000000
12M 2021,1299060000.000000,-646209000.000000,652851000.000000,-95771000.000000,,-18840000.000000,-57816000.000000,-19115000.000000,-95771000.000000,557080000.000000,-120500000.000000,10848000.000000,-119459000.000000,-11889000.000000,-120500000.000000,436580000.000000,-115968000.000000,320612000.000000,,320612000.000000,320612000.000000,20761000.000000,341373000.000000,320612000.000000,317044000.000000,3568000.000000,320612000.000000,341373000.000000,336911000.000000,4462000.000000,341373000.000000
12M 2022,2830122000.000000,-1191250000.000000,1638872000.000000,-111452000.000000,,-17482000.000000,-74031000.000000,-19939000.000000,-111452000.000000,1527420000.000000,-119373000.000000,16619000.000000,-142402000.000000,6410000.000000,-119373000.000000,1408047000.000000,-309275000.000000,1098772000.000000,,1098772000.000000,1098772000.000000,17749000.000000,1116521000.000000,1098772000.000000,1093488000.000000,5284000.000000,1098772000.000000,1116521000.000000,1110608000.000000,5913000.000000,1116521000.000000
12M 2023,2033365000.000000,-1131441000.000000,901924000.000000,-134699000.000000,,-15498000.000000,-99679000.000000,-19522000.000000,-134699000.000000,767225000.000000,-168154000.000000,19529000.000000,-194948000.000000,7265000.000000,-168154000.000000,599071000.000000,-133642000.000000,465429000.000000,-206540000.000000,465429000.000000,258889000.000000,-10539000.000000,248350000.000000,258889000.000000,252144000.000000,6745000.000000,258889000.000000,248350000.000000,241703000.000000,6647000.000000,248350000.000000
12M 2024,2663630000.000000,-1318596000.000000,1345034000.000000,-160218000.000000,,-21002000.000000,-120638000.000000,-18578000.000000,-160218000.000000,1184816000.000000,-260149000.000000,14083000.000000,-283735000.000000,9503000.000000,-260149000.000000,924667000.000000,-211122000.000000,713545000.000000,-71868000.000000,713545000.000000,641677000.000000,-23704000.000000,617973000.000000,641677000.000000,636895000.000000,4782000.000000,641677000.000000,617973000.000000,612782000.000000,5191000.000000,617973000.000000
