Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Pertambangan,Investasi Jangka Panjang,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,455506000.000000,194027000.000000,125300000.000000,407434000.000000,1182267000.000000,,,897534000.000000,174708000.000000,217222000.000000,47712000.000000,2239113000.000000,3576289000.000000,4758556000.000000,,,321422000.000000,143233000.000000,,112824000.000000,17254000.000000,130078000.000000,27000.000000,,18828000.000000,,24012000.000000,42840000.000000,5244000.000000,321422000.000000,2273921000.000000,,1722921000.000000,25893000.000000,323797000.000000,2072611000.000000,200370000.000000,,200370000.000000,940000.000000,2273921000.000000,2595343000.000000,,601814000.000000,998341000.000000,780527000.000000,10000.000000,780517000.000000,780527000.000000,73317000.000000,-299002000.000000,2154997000.000000,4750340000.000000,32793836428.000000
12M 2021,,,557814000.000000,154069000.000000,142560000.000000,527236000.000000,1381679000.000000,,,926309000.000000,170055000.000000,214375000.000000,47712000.000000,2462853000.000000,3821304000.000000,5202983000.000000,,,539020000.000000,110000000.000000,,156774000.000000,14385000.000000,171159000.000000,45843000.000000,,17226000.000000,175000000.000000,15482000.000000,207708000.000000,4310000.000000,539020000.000000,2146249000.000000,,1554639000.000000,4138000.000000,332712000.000000,1891489000.000000,252793000.000000,,252793000.000000,1967000.000000,2146249000.000000,2685269000.000000,,601814000.000000,998341000.000000,1097571000.000000,10000.000000,1097561000.000000,1097571000.000000,76145000.000000,-279164000.000000,2494707000.000000,5179976000.000000,32793836428.000000
12M 2022,,,817758000.000000,339589000.000000,167270000.000000,556655000.000000,1881272000.000000,,386000.000000,1281954000.000000,199606000.000000,225634000.000000,47712000.000000,2862395000.000000,4617687000.000000,6498959000.000000,,,542213000.000000,99000000.000000,,224032000.000000,7711000.000000,231743000.000000,179590000.000000,,,5000000.000000,15139000.000000,20139000.000000,11741000.000000,542213000.000000,2308034000.000000,,1696246000.000000,9783000.000000,303891000.000000,2009920000.000000,294461000.000000,,294461000.000000,3653000.000000,2308034000.000000,2850247000.000000,,601814000.000000,998341000.000000,2191059000.000000,40000.000000,2191019000.000000,2191059000.000000,80550000.000000,-262465000.000000,3609299000.000000,6459546000.000000,65587672856.000000
12M 2023,,,1228597000.000000,395590000.000000,153235000.000000,766896000.000000,2544318000.000000,,,2819621000.000000,106426000.000000,240244000.000000,47712000.000000,3338732000.000000,6552735000.000000,9097053000.000000,,,764049000.000000,197670000.000000,,499491000.000000,11503000.000000,510994000.000000,85000.000000,,1305000.000000,26105000.000000,12812000.000000,40222000.000000,15078000.000000,764049000.000000,3633132000.000000,,2991598000.000000,29153000.000000,277151000.000000,3297902000.000000,329890000.000000,,329890000.000000,5340000.000000,3633132000.000000,4397181000.000000,,659301000.000000,1720040000.000000,2443203000.000000,50000.000000,2443153000.000000,2443203000.000000,85576000.000000,-272575000.000000,4635545000.000000,9032726000.000000,72518217656.000000
12M 2024,,,754280000.000000,271490000.000000,472313000.000000,834334000.000000,2332417000.000000,,,4502201000.000000,178915000.000000,249184000.000000,47712000.000000,3811059000.000000,8789071000.000000,11121488000.000000,,,1146438000.000000,406942000.000000,,608112000.000000,1732000.000000,609844000.000000,10498000.000000,,6139000.000000,69038000.000000,20883000.000000,96060000.000000,23094000.000000,1146438000.000000,4673680000.000000,,3809496000.000000,56992000.000000,391396000.000000,4257884000.000000,408769000.000000,,408769000.000000,7027000.000000,4673680000.000000,5820118000.000000,,659301000.000000,1720040000.000000,3080098000.000000,150000.000000,3079948000.000000,3080098000.000000,88558000.000000,-299597000.000000,5248400000.000000,11068518000.000000,72518217656.000000
