Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Royalti Dan Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Properti Pertambangan,Akuisisi Entitas Anak,Akuisisi Ventura Bersama,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Untuk Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Untuk Pinjaman Bank Jangka Panjang,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham,Setoran Modal Dari Kepentingan Nonpengendali,Akuisisi Kepentingan Non-Pengendali,Perubahan Pada Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,-343163000.000000,863669000.000000,-1004655000.000000,-81582000.000000,-120595000.000000,-343163000.000000,-107072000.000000,-75796000.000000,,-31276000.000000,,,-107072000.000000,699705000.000000,203501000.000000,-74378000.000000,270000000.000000,,471300000.000000,,499140000.000000,-669140000.000000,-718000.000000,699705000.000000,249470000.000000,204719000.000000,1317000.000000,455506000.000000
12M 2021,293628000.000000,1357001000.000000,-882283000.000000,-68981000.000000,-112109000.000000,293628000.000000,-154820000.000000,-121841000.000000,,-32979000.000000,,,-154820000.000000,-36496000.000000,89310000.000000,-122543000.000000,,,,,,,-3263000.000000,-36496000.000000,102312000.000000,455506000.000000,-4000.000000,557814000.000000
12M 2022,990517000.000000,2686318000.000000,-1281599000.000000,-271924000.000000,-142278000.000000,990517000.000000,-696191000.000000,-452797000.000000,-147718000.000000,-91765000.000000,,-3911000.000000,-696191000.000000,-40370000.000000,,-11000000.000000,1150000000.000000,-1175000000.000000,,,,,-4370000.000000,-40370000.000000,253956000.000000,557814000.000000,5988000.000000,817758000.000000
12M 2023,-121212000.000000,2008461000.000000,-1172735000.000000,-757484000.000000,-199454000.000000,-121212000.000000,-1519707000.000000,-1499597000.000000,-20009000.000000,,-101000.000000,,-1519707000.000000,2061815000.000000,110000000.000000,-11330000.000000,1910232000.000000,-584177000.000000,795833000.000000,-16647000.000000,,,-142096000.000000,2061815000.000000,420896000.000000,817758000.000000,-10057000.000000,1228597000.000000
12M 2024,151697000.000000,2826686000.000000,-1552944000.000000,-821841000.000000,-300204000.000000,151697000.000000,-1791800000.000000,-1674956000.000000,-27166000.000000,-89678000.000000,,,-1791800000.000000,1164417000.000000,711290000.000000,-502018000.000000,2812791000.000000,-1926784000.000000,,,,,69138000.000000,1164417000.000000,-475686000.000000,1228597000.000000,1369000.000000,754280000.000000
