Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Pembayaran Kas Kepada Karyawan,Penghasilan Lainnya,Penerimaan Kas Dari Restitusi Pajak,Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Klaim Asuransi Aset Tetap- Sewa Pembiayaan,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Uang Muka Investasi,Investasi Dalam Saham,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Pinjaman Tanpa Agunan,Pembayaran Liabilitas Sewa,Peningkatan Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Bunga Pinjaman Bank,Pembayaran Bunga Liabilitas Sewa,Pembayaran Bunga Liabilitas Sewa Pembiayaan,Penerimaan Dari Pihak Berelasi,Pembayaran Ke Pihak Berelasi,Penerimaan Dari Penerbitan Saham,Biaya Emisi Saham,Penerimaan Modal Disetor,Penerimaan Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penempatan Dana Yang Dibatasi Penggunannya,Kas Dan Setara Kas Akhir Periode
12M 2017,3788934507.000000,34434078997.000000,-26718753249.000000,-3150136935.000000,,,,-776254306.000000,3788934507.000000,-24777486500.000000,1586000000.000000,,-8613486500.000000,,-1550000000.000000,,-16200000000.000000,-24777486500.000000,25861274026.000000,5943675158.000000,,,,,-1850622503.000000,-218803743.000000,,-227070061.000000,914095175.000000,-1700000000.000000,,,23000000000.000000,,25861274026.000000,4872722033.000000,759121001.000000,-5000000000.000000,631843034.000000
12M 2018,1787579726.000000,36464677862.000000,-29550900540.000000,-4196387708.000000,,,42489395.000000,-972299283.000000,1787579726.000000,-31847301762.000000,1994000000.000000,,-14022301762.000000,,,-950000000.000000,-18869000000.000000,-31847301762.000000,26420014191.000000,4236490036.000000,-8176992699.000000,,,,-2190121630.000000,-582065521.000000,,-279877939.000000,1000000.000000,-324761715.000000,1000000.000000,-764656341.000000,15000000000.000000,19500000000.000000,26420014191.000000,-3639707845.000000,631843034.000000,5000000000.000000,1992135189.000000
12M 2019,4988337915.000000,45720306915.000000,-35663300772.000000,-3923691000.000000,,,38374762.000000,-1183351990.000000,4988337915.000000,-146944000.000000,220000000.000000,645700000.000000,-1631644000.000000,,1000000000.000000,,-381000000.000000,-146944000.000000,-5086504481.000000,2173879516.000000,,,,,-5226386391.000000,-558343263.000000,,-1571214343.000000,96560000.000000,-1000000.000000,,,,,-5086504481.000000,-245110566.000000,1992135189.000000,,1747024623.000000
12M 2020,5891399267.000000,46607210850.000000,-36471362232.000000,-4097481050.000000,,,38260629.000000,-185228930.000000,5891399267.000000,614270000.000000,703500000.000000,,-145230000.000000,,500000000.000000,,-444000000.000000,614270000.000000,-6515973750.000000,1557116361.000000,,,,,-6169524119.000000,-604652999.000000,,-1243212623.000000,,-55700370.000000,,,,,-6515973750.000000,-10304483.000000,1747024623.000000,,1736720140.000000
12M 2021,4909785040.000000,42521878139.000000,-33269389626.000000,-4195745000.000000,,,3757935.000000,-150716408.000000,4909785040.000000,2706573300.000000,1965000000.000000,807900000.000000,-2876326700.000000,,2900000000.000000,,-90000000.000000,2706573300.000000,-8356095274.000000,,-79032717.000000,,,,-6812470625.000000,-795960915.000000,,-677076202.000000,8445185.000000,,,,,,-8356095274.000000,-739736934.000000,1736720140.000000,,996983206.000000
12M 2022,2190257717.000000,37701398479.000000,-19914715816.000000,-15597353500.000000,,,3090914.000000,-2162360.000000,2190257717.000000,750430000.000000,933500000.000000,472500000.000000,-4800220000.000000,,4248650000.000000,,-104000000.000000,750430000.000000,-3070249089.000000,,-151738458.000000,,,,-2086374212.000000,-635202401.000000,,-196934018.000000,,,,,,,-3070249089.000000,-129561372.000000,996983206.000000,,867421834.000000
12M 2023,3738133129.000000,43383385725.000000,-29576218608.000000,-9371342640.000000,,,3250519.000000,-700941867.000000,3738133129.000000,-170501500.000000,,,-170501500.000000,,,,,-170501500.000000,-3550606059.000000,,-1853789391.000000,,-167820136.000000,,-817813119.000000,-642504461.000000,-4679864.000000,-63999088.000000,,,,,,,-3550606059.000000,17025570.000000,867421834.000000,,884447404.000000
12M 2024,1243755888.000000,51253668940.000000,-38586545203.000000,-10200425930.000000,,428581601.000000,28856982.000000,-1680380502.000000,1243755888.000000,397115682.000000,,,-1575882320.000000,-29000000.000000,,,2001998002.000000,397115682.000000,-619102311.000000,,-351309915.000000,,-57500000.000000,,-141113664.000000,-624616649.000000,,-1948336.000000,557386253.000000,,,,,,-619102311.000000,1021769259.000000,884447404.000000,,1906216663.000000
