Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,35814180350.000000,-26235742618.000000,9578437732.000000,-6532065874.000000,-6532065874.000000,,-6532065874.000000,3046371858.000000,-649209055.000000,-445873804.000000,14000000.000000,-217335251.000000,-649209055.000000,2397162803.000000,-968138316.000000,1429024487.000000,-25626969.000000,1403397518.000000,1429024487.000000,1429236219.000000,-211732.000000,1429024487.000000,1403397518.000000,1403609250.000000,-211732.000000,1403397518.000000
12M 2018,38470982236.000000,-28772105926.000000,9698876310.000000,-7203463857.000000,-7203463857.000000,,-7203463857.000000,2495412453.000000,-403349786.000000,-861943460.000000,248750000.000000,209843674.000000,-403349786.000000,2092062667.000000,-754957582.000000,1337105085.000000,364189549.000000,1701294634.000000,1337105085.000000,1284370152.000000,52734933.000000,1337105085.000000,1701294634.000000,1648559701.000000,52734933.000000,1701294634.000000
12M 2019,49805015656.000000,-35925169901.000000,13879845755.000000,-8134245772.000000,-8134245772.000000,,-8134245772.000000,5745599983.000000,-3230799506.000000,-2129557606.000000,-92166667.000000,-1009075233.000000,-3230799506.000000,2514800477.000000,-1566760582.000000,948039895.000000,-577218572.000000,370821323.000000,948039895.000000,948039895.000000,,948039895.000000,370821323.000000,370821323.000000,,370821323.000000
12M 2020,42839805962.000000,-40203812179.000000,2635993783.000000,-8780592720.000000,-8780592720.000000,,-8780592720.000000,-6144598937.000000,-2769370557.000000,-1847865622.000000,5333333.000000,-926838268.000000,-2769370557.000000,-8913969494.000000,-328165368.000000,-9242134862.000000,-66024360.000000,-9308159222.000000,-9242134862.000000,-9242134862.000000,,-9242134862.000000,-9308159222.000000,-9308159222.000000,,-9308159222.000000
12M 2021,39606222648.000000,-34436311384.000000,5169911264.000000,-8798763533.000000,-8798763533.000000,,-8798763533.000000,-3628852269.000000,-618736917.000000,-1473037117.000000,1612543200.000000,-758243000.000000,-618736917.000000,-4247589186.000000,-681205807.000000,-4928794993.000000,114793699.000000,-4814001294.000000,-4928794993.000000,-4928794993.000000,,-4928794993.000000,-4814001294.000000,-4814001294.000000,,-4814001294.000000
12M 2022,38815826593.000000,-32743525119.000000,6072301474.000000,-9091915304.000000,-9091915304.000000,,-9091915304.000000,-3019613830.000000,-1498057751.000000,-832136419.000000,335453317.000000,-1001374649.000000,-1498057751.000000,-4517671581.000000,251394369.000000,-4266277212.000000,22381082.000000,-4243896130.000000,-4266277212.000000,-4266277212.000000,,-4266277212.000000,-4243916130.000000,-4243916130.000000,,-4243916130.000000
12M 2023,43374041037.000000,-35680023992.000000,7694017045.000000,-10493801224.000000,-10493801224.000000,,-10493801224.000000,-2799784179.000000,-902089681.000000,-711183413.000000,6875000.000000,-197781268.000000,-902089681.000000,-3701873860.000000,237177255.000000,-3464696605.000000,154656080.000000,-3310040525.000000,-3464696605.000000,-3464696605.000000,,-3464696605.000000,-3310040525.000000,-3310040525.000000,,-3310040525.000000
12M 2024,50871938032.000000,-43084772031.000000,7787166001.000000,-10353767707.000000,-10353767707.000000,,-10353767707.000000,-2566601706.000000,-1475763412.000000,-626564985.000000,,-849198427.000000,-1475763412.000000,-4042365118.000000,-661091757.000000,-4703456875.000000,217236791.000000,-4486220084.000000,-4703456875.000000,-4702940203.000000,-516672.000000,-4703456875.000000,-4486220084.000000,-4485720738.000000,-499346.000000,-4486220084.000000
