Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Untuk Beban Keuangan,Pembayaran Pajak Penghasilan Dan Pajak Pertambahan Nilai,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Hasil Penjualan Aset Tetap,Perolehan Aset Tidak Lancar Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Atas Utang Bank,Penerimaan Atas Utang Bank Jangka Panjang,Pembayaran Atas Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Atas Pinjaman Bank,Perolehan Dari Penawaran Umum Perdana Setelah Di Kurangi Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Sewa Liabilitas,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,70177024418.000000,581753478952.000000,-343491378022.000000,-62868396342.000000,-77949506117.000000,-16773442966.000000,-10493731087.000000,70177024418.000000,-32684943413.000000,-33496927004.000000,,,833921591.000000,-21938000.000000,,-32684943413.000000,-36677397027.000000,145683415787.000000,,,,,-167160812814.000000,,,,-15200000000.000000,-36677397027.000000,814683978.000000,11125527597.000000,113260887.000000,12053472462.000000
12M 2019,111539817419.000000,671437755050.000000,-335115098586.000000,-76181865743.000000,-81134333739.000000,-17535596438.000000,-49931043125.000000,111539817419.000000,-58388820948.000000,-45167600176.000000,-16594265464.000000,3042780000.000000,381818182.000000,-51553490.000000,,-58388820948.000000,-59906260111.000000,221516308179.000000,,,,,-392535616094.000000,144098071300.000000,,,-32985023496.000000,-59906260111.000000,-6755263640.000000,12053472462.000000,-69301958.000000,5228906864.000000
12M 2020,181770905674.000000,717424352317.000000,-341149178427.000000,-75137073334.000000,-83976266392.000000,-6095900105.000000,-29295028385.000000,181770905674.000000,-25904928895.000000,-24610123718.000000,-1684800007.000000,,424994830.000000,-35000000.000000,,-25904928895.000000,-127008954497.000000,17037660177.000000,,,,,-96136506428.000000,,-47060000000.000000,-850108246.000000,,-127008954497.000000,28857022282.000000,5228906864.000000,-33909067.000000,34052020079.000000
12M 2021,147318415196.000000,681167541052.000000,-356538917583.000000,-76828385089.000000,-90680774226.000000,-1398929849.000000,-8402119109.000000,147318415196.000000,-173777988639.000000,-99299895865.000000,-74802384300.000000,,342291526.000000,-18000000.000000,,-173777988639.000000,7373798992.000000,,8540004000.000000,,,,,,,-1166205008.000000,,7373798992.000000,-19085774451.000000,34052020079.000000,-63428494.000000,14902817134.000000
12M 2022,89461979883.000000,872819327594.000000,-555655171660.000000,-88215885724.000000,-114207789228.000000,-14886422637.000000,-10392078462.000000,89461979883.000000,-570436256675.000000,-562189159045.000000,-8962267900.000000,,745270270.000000,-30100000.000000,,-570436256675.000000,477742675563.000000,,477901843574.000000,78907203572.000000,,-40000000000.000000,,,-37648000000.000000,-1418371583.000000,,477742675563.000000,-3231601229.000000,14902817134.000000,199553059.000000,11870768964.000000
12M 2023,125624899667.000000,920315763873.000000,-538507569309.000000,-98785879898.000000,-100208075479.000000,-37021663293.000000,-20167676227.000000,125624899667.000000,-177438280897.000000,-150872577701.000000,-27486450359.000000,,920747163.000000,,,-177438280897.000000,41411751759.000000,,,141499607196.000000,,-41446758475.000000,-38327871796.000000,,-18824000000.000000,-1489225166.000000,,41411751759.000000,-10401629471.000000,11870768964.000000,1964866.000000,1471104359.000000
12M 2024,389994375988.000000,1340798297467.000000,-611173820361.000000,-102189429001.000000,-151727649250.000000,-33101546498.000000,-52611476369.000000,389994375988.000000,-75399096099.000000,-38632993498.000000,-32266446900.000000,,392792795.000000,-4892448496.000000,,-75399096099.000000,-312480681608.000000,,,124187764071.000000,,-248573507192.000000,-92411000000.000000,,-94120000000.000000,-1563938487.000000,,-312480681608.000000,2114598281.000000,1471104359.000000,33692210.000000,3619394850.000000
