Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,608680140771.0,-419094977351.0,189585163420.0,-97518726669.0,-72007457054.0,-25511269615.0,-97518726669.0,92066436751.0,-21404492724.0,-16751617054.0,-8104227732.0,32031526.0,3419320536.0,-21404492724.0,70661944027.0,-10769203981.0,-11677075750.0,907871769.0,-10769203981.0,59892740046.0,736104349.0,60628844395.0,59892740046.0,59895927647.0,-3187601.0,59892740046.0,60628844395.0,60632031996.0,-3187601.0,60628844395.0
12M 2019,669713224904.000000,-480753767699.000000,188959457205.000000,-101204919923.000000,-72622049335.000000,-28582870588.000000,-101204919923.000000,87754537282.000000,-10257305163.000000,-15396097673.000000,3566484583.000000,114808395.000000,1457499532.000000,-10257305163.000000,77497232119.000000,-18231089309.000000,-20379740250.000000,2148650941.000000,-18231089309.000000,59266142810.000000,4545139087.000000,63811281897.000000,59266142810.000000,59266142810.000000,,59266142810.000000,63811281897.000000,63811281897.000000,,63811281897.000000
12M 2020,682021210514.000000,-478976117639.000000,203045092875.000000,-92963198081.000000,-71960778456.000000,-21002419625.000000,-92963198081.000000,110081894794.000000,-13924855429.000000,-6676424287.000000,-9273212754.000000,261716888.000000,1763064724.000000,-13924855429.000000,96157039365.000000,-22571188903.000000,-23653087040.000000,1081898137.000000,-22571188903.000000,73585850462.000000,747615355.000000,74333465817.000000,73585850462.000000,73585850462.000000,,73585850462.000000,74333465817.000000,74333465817.000000,,74333465817.000000
12M 2021,714581513385.000000,-502322995642.000000,212258517743.000000,-107506118507.000000,-86623030051.000000,-20883088456.000000,-107506118507.000000,104752399236.000000,838662195.000000,-1416399583.000000,1025148637.000000,697213855.000000,532699286.000000,838662195.000000,105591061431.000000,-23241609191.000000,-24946152880.000000,1704543689.000000,-23241609191.000000,82349452240.000000,1501318250.000000,83850770490.000000,82349452240.000000,82349452240.000000,,82349452240.000000,83850770490.000000,83850770490.000000,,83850770490.000000
12M 2022,867146336664.000000,-601861829309.000000,265284507355.000000,-114458179549.000000,-89175947773.000000,-25282231776.000000,-114458179549.000000,150826327806.000000,-25993405779.000000,-3318939986.000000,-25260204251.000000,31316921.000000,2554421537.000000,-25993405779.000000,124832922027.000000,-27714706822.000000,-29081437880.000000,1366731058.000000,-27714706822.000000,97118215205.000000,-359399212.000000,96758815993.000000,97118215205.000000,97118215205.000000,,97118215205.000000,96758815993.000000,96758815993.000000,,96758815993.000000
12M 2023,986989741727.000000,-724900055885.000000,262089685842.000000,-128573472225.000000,-101695873207.000000,-26877599018.000000,-128573472225.000000,133516213617.000000,-3699125518.000000,-29177173485.000000,24261509879.000000,28617920.000000,1187920168.000000,-3699125518.000000,129817088099.000000,-28914102285.000000,-29738215100.000000,824112815.000000,-28914102285.000000,100902985814.000000,-3642492443.000000,97260493371.000000,100902985814.000000,100902985814.000000,,100902985814.000000,97260493371.000000,97260493371.000000,,97260493371.000000
12M 2024,1243651017803.000000,-821302614789.000000,422348403014.000000,-164368853469.000000,-135663676434.000000,-28705177035.000000,-164368853469.000000,257979549545.000000,-28157932421.000000,-33513930585.000000,4513405116.000000,59237372.000000,783355676.000000,-28157932421.000000,229821617124.000000,-50796383342.000000,-51499454380.000000,703071038.000000,-50796383342.000000,179025233782.000000,120054872.000000,179145288654.000000,179025233782.000000,179025233782.000000,,179025233782.000000,179145288654.000000,179145288654.000000,,179145288654.000000
