Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,220955.28,0.00,0.00,28.99 B,10.75%,18.57%,49.15%,3.25
12M 2021,0.00 B,201753.36,0.00,0.00,27.53 B,10.19%,14.50%,22.80%,3.40
12M 2022,0.00 B,70793.91,0.00,0.00,51.60 B,4.82%,5.33%,13.27%,7.00
12M 2023,0.01 B,3847.39,0.00,0.00,54.16 B,4.65%,5.45%,7.76%,6.07
