Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,128993488498.000000,-87691614956.000000,41301873542.000000,-19636351990.000000,-19636351990.000000,-19636351990.000000,21665521552.000000,-6823206013.000000,-6668125121.000000,-155080892.000000,-6823206013.000000,14842315539.000000,-3794551400.000000,-3764133648.000000,-79804250.000000,49386498.000000,-3794551400.000000,11047764139.000000,-701183303.000000,-701183303.000000,-701183303.000000,10346580836.000000,11047764139.000000,11047764139.000000,,11047764139.000000,10346580835.000000,10346580835.000000,,10346580835.000000
12M 2021,111669960710.000000,-75975711657.000000,35694249053.000000,-16860231086.000000,-16860231086.000000,-16860231086.000000,18834017967.000000,-5409040776.000000,-5537624912.000000,128584136.000000,-5409040776.000000,13424977191.000000,-3337309139.000000,-3300985677.000000,-18535195.000000,-17788267.000000,-3337309139.000000,10087668052.000000,-18330147.000000,-18330147.000000,-18330147.000000,10069337905.000000,10087668052.000000,10087668052.000000,,10087668052.000000,10069337905.000000,10069337905.000000,,10069337905.000000
12M 2022,169312279435.0,-114996185155.0,54316094280.0,-26032846946.0,-26032846946.0,-26032846946.0,28283247334.0,-4813136077.0,-4042033385.0,-771102692.0,-4813136077.0,23470111257.0,-4520854482.0,-4407066388.0,-244637631.0,130849537.0,-4520854482.0,18949256775.0,-151962472.0,-151962472.0,-151962472.0,18797294303.0,18949256774.0,17698477800.0,1250778974.0,18949256774.0,18797294302.0,17546515328.0,1250778974.0,18797294302.0
12M 2023,173207625939.0,-117833067145.0,55374558794.0,-27605983425.0,-27605983425.0,-27605983425.0,27768575369.0,-5083611309.0,-4571600562.0,-512010747.0,-5083611309.0,22684964060.0,-3421638363.0,-3346857407.0,-166160107.0,91379151.0,-3421638363.0,19263325697.0,54676630.0,54676630.0,54676630.0,19318002327.0,19263325697.0,19236971227.0,26354470.0,19263325697.0,19318002327.0,19291678131.0,26324196.0,19318002327.0
