Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,2.21,2.2,0.69,1.73,0.0,0.0,0.57,0.4,0.73
12M 2021,0.85,0.7,0.37,1.42,0.0,0.0,0.31,0.26,0.42
12M 2022,10.28,10.11,0.08,1.1,0.0,0.0,-0.03,0.07,0.1
12M 2023,3.25,2.36,0.11,1.17,0.0,0.0,0.07,0.09,0.17
