Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,21 B,(23 B),(2 B),-40684.70
12M 2021,31 B,(12 B),19 B,375490.17
12M 2022,40 B,(247 B),(207 B),-828617.81
12M 2023,(9 B),(19 B),(28 B),-5559.02
