Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,7158170779.000000,21673484051.000000,21673484051.000000,,21673484051.000000,,,,,3333436216.000000,,3333436216.000000,242111563.000000,,32407202609.000000,,5000000000.000000,5000000000.000000,,5000000000.000000,247156148.000000,65141107319.000000,70388263467.000000,102795466076.000000,,,14639562712.000000,7890000000.000000,,389616513.000000,,389616513.000000,920745517.000000,,845933334.000000,4593267348.000000,5439200682.000000,,14639562712.000000,28670270494.000000,,10384799997.000000,17266544186.000000,27651344183.000000,1018926311.000000,28670270494.000000,43309833206.000000,,5000000000.000000,,55186816174.000000,,55186816174.000000,55186816174.000000,,-701183303.000000,59485632871.000000,102795466077.000000,50000.000000
12M 2021,,,4557061999.000000,9155680461.000000,9155680461.000000,,9155680461.000000,217465554.000000,217465554.000000,,217465554.000000,1437612314.000000,,1437612314.000000,3294700360.000000,,18662520688.000000,,5000000000.000000,5000000000.000000,,5000000000.000000,234537922.000000,75127444514.000000,80361982436.000000,99024503124.000000,,,21945547652.000000,8542600000.000000,,2491333242.000000,,2491333242.000000,106406068.000000,,932599999.000000,9872608343.000000,10805208342.000000,,21945547652.000000,7523984696.000000,,3384383332.000000,3178736097.000000,6563119429.000000,960865267.000000,7523984696.000000,29469532348.000000,,5000000000.000000,,65274484225.000000,,65274484225.000000,65274484225.000000,,-719513450.000000,69554970775.000000,99024503123.000000,50000.000000
12M 2022,,,35604115514.000000,9958933849.000000,9958933849.000000,,9958933849.000000,57500000.000000,57500000.000000,,57500000.000000,2362624505.000000,,2362624505.000000,2906297739.000000,129896748811.000000,180786220418.000000,,6250000000.000000,6250000000.000000,,6250000000.000000,408248670.000000,179497385391.000000,186155634061.000000,366941854479.000000,,,17588520332.000000,7682125932.000000,,4299314686.000000,,4299314686.000000,944772410.000000,,561350000.000000,4100957304.000000,4662307304.000000,,17588520332.000000,14437774983.000000,,4201633332.000000,9105815602.000000,13307448934.000000,1130326049.000000,14437774983.000000,32026295315.000000,,250000000000.000000,,82972962025.000000,1000000000.000000,81972962025.000000,82972962025.000000,2814073062.000000,-871475922.000000,334915559165.000000,366941854480.000000,250000.000000
12M 2023,,,14926563020.000000,23426971192.000000,23426971192.000000,,23426971192.000000,372357389.000000,372357389.000000,,372357389.000000,39847757525.000000,,39847757525.000000,42244198205.000000,34470347389.000000,155288194720.000000,,,,,,484206208.000000,258016186335.000000,258500392543.000000,413788587263.000000,,,47804019952.000000,19149500371.000000,,17216834362.000000,,17216834362.000000,2747287064.000000,,3796979527.000000,4893418628.000000,8690398155.000000,,47804019952.000000,11751005819.000000,,5088039926.000000,5220746155.000000,10308786081.000000,1442219738.000000,11751005819.000000,59555025771.000000,,250000000000.000000,,103769893406.000000,50000000000.000000,53769893406.000000,103769893406.000000,1280437104.000000,-816769018.000000,354233561492.000000,413788587263.000000,5000000.000000
