Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pengeluaran) Kas Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,(Kenaikan) Penurunan Piutang Lain-Lain Pihak Berelasi,Penempatan Kas Yang Dibatasi Penggunannya,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penurunan (Kenaikan) Rekening Bank Yang Dibatasi Pengunaannya,Penerimaan Piutang Lain-Lain,Pihak Berelasi,Total Penerimaan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Pihak Berelasi,Total Pembayaran Piutang Lain-Lain,Pembayaran Sewa Pembiayaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Jangka Pendek Lainnya,Biaya Ditangguhkan,Biaya Emisi Saham,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,20916098453.000000,127949207688.000000,-63376468644.000000,-43656640591.000000,,20916098453.000000,-22950333313.000000,-22950333313.000000,,,,,-22950333313.000000,1134796836.000000,,,,,,,,,-599003164.000000,,-276200000.000000,2010000000.000000,,,,,,1134796836.000000,-899438024.000000,8057608803.000000,7158170779.000000
12M 2021,31155187865.000000,125866828122.000000,-53320656770.000000,-41390983487.000000,,31155187865.000000,-12380679550.000000,-12380679550.000000,,,,,-12380679550.000000,-21375617094.000000,,,,,,,,,-15114467094.000000,,-6913750000.000000,652600000.000000,,,,,,-21375617094.000000,-2601108779.000000,7158170779.000000,4557062000.000000
12M 2022,40241785957.000000,168364112934.000000,-85255353090.000000,-42866973887.000000,,40241785957.000000,-247396238841.000000,-122396238841.000000,,,-43000000000.000000,-82000000000.000000,-247396238841.000000,238201506399.000000,,,,,,,-1250000000.000000,-1250000000.000000,-5134019534.000000,,-964474067.000000,550000000.000000,,,,,245000000000.000000,238201506399.000000,31047053515.000000,4557061999.000000,35604115514.000000
12M 2023,-9026667787.000000,159739588596.000000,-137620424441.000000,-31145831942.000000,,-9026667787.000000,-15572836426.000000,-18768448715.000000,6250000000.000000,-3054387711.000000,,,-15572836426.000000,3921951719.000000,,,,,,,,,-7232681063.000000,,-1698690541.000000,17288101101.000000,,,,-4434777778.000000,,3921951719.000000,-20677552494.000000,35604115514.000000,14926563020.000000
