Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,7686705908.000000,-3878351361.000000,3808354547.000000,-3364203712.000000,-673425706.000000,-2690778006.000000,-3364203712.000000,444150835.000000,27539954.000000,2921536.000000,-33237771.000000,864390.000000,56991799.000000,27539954.000000,471690789.000000,-88561801.000000,,,-88561801.000000,383128988.000000,383128988.000000,,,,383128988.000000,383128988.000000,383128988.000000,,383128988.000000,383128988.000000,383128988.000000,,383128988.000000
12M 2018,27409937674.000000,-15844640709.000000,11565296965.000000,-7750385921.000000,-1782265983.000000,-5968119938.000000,-7750385921.000000,3814911044.000000,90101521.000000,14033477.000000,-54294849.000000,39665076.000000,90697817.000000,90101521.000000,3905012565.000000,-920066395.000000,,,-920066395.000000,2984946170.000000,2984946170.000000,31826745.000000,,31826745.000000,3016772915.000000,2984946170.000000,2984946170.000000,,2984946170.000000,3016772915.000000,3016772915.000000,,3016772915.000000
12M 2019,37495986446.000000,-23135805412.000000,14360181034.000000,-12414571472.000000,-1917249393.000000,-10497322079.000000,-12414571472.000000,1945609562.000000,-53409788.000000,,,,-53409788.000000,-53409788.000000,1892199774.000000,-590491643.000000,,,-590491643.000000,1301708131.000000,1301708131.000000,9152156.000000,,9152156.000000,1310860287.000000,1301708131.000000,1301708131.000000,,1301708131.000000,1310860287.000000,1310860287.000000,,1310860287.000000
12M 2020,159931484303.000000,-158837814940.000000,1093669363.000000,-1184599930.000000,,-1184599930.000000,-1184599930.000000,-90930567.000000,-1980535816.000000,,,,-1980535816.000000,-1980535816.000000,-2071466383.000000,434411934.000000,,,434411934.000000,-1637054449.000000,-1637054449.000000,29804566.000000,,29804566.000000,-1607249883.000000,-1637054449.000000,-1637054449.000000,,-1637054449.000000,-1607249883.000000,-1607249883.000000,,-1607249883.000000
12M 2021,500078998848.000000,-484580936431.000000,15498062417.000000,-3083599659.000000,,-3083599659.000000,-3083599659.000000,12414462758.000000,7323829798.000000,,,,7323829798.000000,7323829798.000000,19738292556.000000,-5075219465.000000,,,-5075219465.000000,14663073091.000000,14663073091.000000,-422389899.000000,,-422389899.000000,14240683192.000000,14663073091.000000,14484475672.000000,178597419.000000,14663073091.000000,14240683192.000000,14063128026.000000,177555166.000000,14240683192.000000
12M 2022,1567329372826.000000,-1562874535421.000000,4454837405.000000,-12063542827.000000,,-12063542827.000000,-12063542827.000000,-7608705422.000000,9365169206.000000,,,,9315882308.000000,9365169206.000000,1707176886.000000,-1361772067.000000,-1061685020.000000,-300087047.000000,-1361772067.000000,345404819.000000,345404819.000000,97755812.000000,97755812.000000,97755812.000000,443160631.000000,345404819.000000,258233583.000000,87171236.000000,345404819.000000,443160631.000000,355026417.000000,88134214.000000,443160631.000000
12M 2023,771066615665.000000,-760267414098.000000,10799201567.000000,-15197703939.000000,,-15197703939.000000,-15197703939.000000,-4398502372.000000,4743118830.000000,,,,4074374358.000000,4743118830.000000,-324128014.000000,-165860412.000000,-1065816180.000000,899955768.000000,-165860412.000000,-489988426.000000,-489988426.000000,-70481535.000000,-70481535.000000,-70481535.000000,-560469961.000000,-489988426.000000,-566676494.000000,76688068.000000,-489988426.000000,-560469961.000000,-636865035.000000,76395074.000000,-560469961.000000
12M 2024,257537351286.000000,-248666774876.000000,8870576410.000000,-11481770827.000000,,-11481770827.000000,-11481770827.000000,-2611194417.000000,268625111.000000,268625111.000000,,,,268625111.000000,-2342569306.000000,464827460.000000,-381728820.000000,846556280.000000,464827460.000000,-1877741846.000000,-1877741846.000000,542629138.000000,542629138.000000,542629138.000000,-1335112708.000000,-1877741846.000000,-1901112958.000000,23371112.000000,-1877741846.000000,-1335112708.000000,-1358210154.000000,23097446.000000,-1335112708.000000
