Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Uang Jaminan Diterima Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Dari (Pembayaran) Untuk Aktivitas Operasi Lainnya,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Untuk Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,"Penerimaan Dari Pelepasan Entitas Anak, Dikurangi Dengan Kas Dan Bank Yang Dikeluarkan Dari Entitas Anak Tersebut",Akuisisi Entitas Anak,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan Bunga,Penerimaan Dari Penjualan Aset Tetap,Jaminan Deposit,Investasi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Modal Saham,Penerimaan Dari Penerbitan Obligasi Wajib Koversi,Penerimaan Dari Penerbitan Konversi Waran Seri I,Pembayaran Biaya Emisi,Pembayaran Beban Bank,Penerimaan Dari Uang Muka Jaminan,Pelunasan Atas Utang Lain-Lain - Pihak Berelasi,Kenaikan Tambahan Modal Disetor,Penerimaan Dari Piutang Pihak Ketiga,Penerimaan Dari (Pembayaran Ke) Pemegang Saham,Penurunan/(Kenaikan) Piutang Dari Pihak Berelasi,Penurunan,Kenaikan,Total Penurunan/(Kenaikan) Piutang Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Awal Entitas Anak,Dampak Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2017,306147786.000000,7039127254.000000,894890162.000000,,-5591841337.000000,-2036028293.000000,-7627869630.000000,,,,,306147786.000000,-198890664.000000,-171812200.000000,,,,,,2921536.000000,,,,-30000000.000000,-198890664.000000,2682762229.000000,,,,,-33237771.000000,,,,,,,,2716000000.000000,2716000000.000000,2682762229.000000,2790019351.000000,255535277.000000,,,3045554628.000000
12M 2018,5518591057.000000,26810649257.000000,500458398.000000,,-18820979490.000000,-2771755987.000000,-21592735477.000000,,,,-199781121.000000,5518591057.000000,-71625227061.000000,-38702262198.000000,,-32039125540.000000,,,,14033477.000000,,,,-897872800.000000,-71625227061.000000,74105243697.000000,68750000000.000000,7500000000.000000,,-2090461454.000000,-54294849.000000,,,,,,,,,,74105243697.000000,7998607693.000000,3045554628.000000,,,11044162321.000000
12M 2019,15031844689.000000,34952012482.000000,,,-12700317537.000000,-5544307343.000000,-18244624880.000000,,5671337.000000,-112772418.000000,-1568441832.000000,15031844689.000000,-5625676564.000000,-4228657518.000000,,,,,,,100120846.000000,,-1398600000.000000,-98539892.000000,-5625676564.000000,21798500.000000,4359700.000000,,,,,,,17438800.000000,,,,,,,21798500.000000,9427966625.000000,11044162321.000000,,,20472128946.000000
12M 2020,-31129208896.000000,159931484303.000000,,,-188088778216.000000,-641173719.000000,-188729951935.000000,-2308590579.000000,,,-22150685.000000,-31129208896.000000,26000000000.000000,,,26000000000.000000,,,,,,,,,26000000000.000000,3500000000.000000,,,,,,,,2000000000.000000,,1500000000.000000,,,,,3500000000.000000,-1629208896.000000,1646951133.000000,,,17742237.000000
12M 2021,-24478213274.000000,488937141016.000000,,,-509570794972.000000,-1938088865.000000,-511508883837.000000,411185364.000000,,,-2317655817.000000,-24478213274.000000,-25161431.000000,-25161431.000000,,,,,,,,,,,-25161431.000000,3315000000.000000,,,,,,,,,4815000000.000000,-1500000000.000000,,,,,3315000000.000000,-21188374705.000000,17742237.000000,,53061660317.000000,31891027849.000000
12M 2022,-24586693968.000000,1567986653033.000000,,,-1579492547770.000000,-6973618543.000000,-1586466166313.000000,-5569713970.000000,,,-537466718.000000,-24586693968.000000,-9931197266.000000,-9629981653.000000,12784387.000000,,,-299000000.000000,,,,,,-15000000.000000,-9931197266.000000,23859700000.000000,,,,,,,,,23859700000.000000,,,,,,23859700000.000000,-10658191234.000000,31891027849.000000,602023233.000000,,21834859848.000000
12M 2023,9655862702.000000,770934173718.000000,,,-753704419278.000000,-8676281126.000000,-762380700404.000000,2199327340.000000,275908336.000000,,-1372846288.000000,9655862702.000000,-12391691579.000000,-11914445204.000000,128999377.000000,,,,,,,,,-606245752.000000,-12391691579.000000,,,,,,,737116000000.000000,-737116000000.000000,,,,,,,,,-2735828877.000000,21834859848.000000,,,19099030971.000000
12M 2024,-7173817729.000000,274807138145.000000,,,-273341945702.000000,-6541608832.000000,-279883554534.000000,-1851413431.000000,141687685.000000,,-387675594.000000,-7173817729.000000,-10667615633.000000,-6381422570.000000,,,,-20615540820.000000,16329347757.000000,,,,,,-10667615633.000000,,,,,,,,,,,,,,,,,-17841433362.000000,19099030971.000000,,,1257597609.000000
