Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,132737259259.000000,,167083079617.000000,154100578755.000000,12982500862.000000,167083079617.000000,230355794.000000,,,230355794.000000,226356484103.000000,61296887668.000000,587704066441.000000,,,,,,,,,157862580043.000000,15433950000.000000,20374690986.000000,10713480118.000000,3122469004.000000,45842965263.000000,253350135414.000000,841054201855.000000,,,471361527211.000000,161638973750.000000,,159407512931.000000,,159407512931.000000,,14579787461.000000,,14579787461.000000,26777943796.000000,,26777943796.000000,76804437040.000000,5603925000.000000,,,,13184672723.000000,902071000.000000,14086743723.000000,12462203510.000000,471361527211.000000,36816597424.000000,17595997424.000000,,,,,,,19220600000.000000,36816597424.000000,508178124635.000000,,134878050000.000000,,135425257020.000000,8000000000.000000,127425257020.000000,135425257020.000000,1636456.000000,62571133744.000000,332876077220.000000,841054201855.000000,1348780500.000000
12M 2009,,,176263775601.000000,,126203090142.000000,117645258968.000000,8557831174.000000,126203090142.000000,198585807.000000,,,198585807.000000,148684392833.000000,73166190472.000000,524516034855.000000,,,,,,,,,166061793635.000000,1619000000.000000,19338689749.000000,8417734379.000000,,54903577525.000000,250340795288.000000,774856830143.000000,,,362451881598.000000,67000000000.000000,,111436470656.000000,,111436470656.000000,,17545100925.000000,,17545100925.000000,26210642629.000000,,26210642629.000000,108892952765.000000,460156710.000000,,,,15019416878.000000,5758946455.000000,20778363333.000000,10128194580.000000,362451881598.000000,31464239139.000000,13975000072.000000,365298180.000000,236283342.000000,,,,,16887657545.000000,31464239139.000000,393916120737.000000,,134878050000.000000,,183489756032.000000,9500000000.000000,173989756032.000000,183489756032.000000,1769630.000000,62571133744.000000,380940709406.000000,774856830143.000000,1348780500.000000
12M 2010,,,211074505420.000000,,319269137307.000000,273893333324.000000,45375803983.000000,319269137307.000000,6457775843.000000,,,6457775843.000000,153856104154.000000,57014850270.000000,747672372994.000000,,12794098805.000000,,,12794098805.000000,,,,170218184167.000000,1373000000.000000,18302688521.000000,6121988640.000000,,25997348982.000000,234807309115.000000,982479682109.000000,,,495054578008.000000,,,276027417370.000000,130170998.000000,276157588368.000000,,19158268849.000000,11107563.000000,19169376412.000000,38446120428.000000,,38446120428.000000,150633343930.000000,538545959.000000,,,,,5253465203.000000,5253465203.000000,4856137708.000000,495054578008.000000,20440261161.000000,,,1725859364.000000,,,,,18714401797.000000,20440261161.000000,515494839169.000000,,134878050000.000000,57313109282.000000,269533745302.000000,11000000000.000000,258533745302.000000,269533745302.000000,1913894.000000,5258024462.000000,466984842940.000000,982479682109.000000,1348780500.000000
12M 2011,,,194945000000.000000,,363843000000.000000,286185000000.000000,77658000000.000000,363843000000.000000,8844000000.000000,,,8844000000.000000,221192000000.000000,76345000000.000000,865169000000.000000,,13223000000.000000,,,13223000000.000000,,,,174158000000.000000,,18303000000.000000,3826000000.000000,5702000000.000000,45674000000.000000,260886000000.000000,1126055000000.000000,,,543580000000.000000,,,241019000000.000000,148000000.000000,241167000000.000000,,20791000000.000000,8000000.000000,20799000000.000000,40512000000.000000,,40512000000.000000,233458000000.000000,,,,,,4865000000.000000,4865000000.000000,2779000000.000000,543580000000.000000,25922000000.000000,,,5012000000.000000,,,,,20910000000.000000,25922000000.000000,569502000000.000000,,134878000000.000000,57313000000.000000,359102000000.000000,12500000000.000000,346602000000.000000,359102000000.000000,2000000.000000,5258000000.000000,556553000000.000000,1126055000000.000000,1348780500.000000
12M 2012,,,153298000000.000000,,346197000000.000000,255395000000.000000,90802000000.000000,346197000000.000000,7292000000.000000,5502000000.000000,1790000000.000000,7292000000.000000,264070000000.000000,92543000000.000000,863400000000.000000,,13460000000.000000,13460000000.000000,,13460000000.000000,,,,246756000000.000000,,18303000000.000000,1530000000.000000,7601000000.000000,88877000000.000000,376527000000.000000,1239927000000.000000,,,542001000000.000000,16833000000.000000,,231011000000.000000,125000000.000000,231136000000.000000,,28687000000.000000,277000000.000000,28964000000.000000,,37804000000.000000,37804000000.000000,197174000000.000000,1293000000.000000,,20720000000.000000,,,6932000000.000000,27652000000.000000,1145000000.000000,542001000000.000000,64916000000.000000,,,4087000000.000000,,31122000000.000000,,31122000000.000000,29707000000.000000,64916000000.000000,606917000000.000000,,134878000000.000000,57313000000.000000,435559000000.000000,14000000000.000000,421559000000.000000,435559000000.000000,2000000.000000,5258000000.000000,633010000000.000000,1239927000000.000000,1348780500.000000
12M 2013,,,290904000000.000000,,346808000000.000000,280831000000.000000,65977000000.000000,346808000000.000000,10573000000.000000,9649000000.000000,924000000.000000,10573000000.000000,282136000000.000000,125397000000.000000,1055818000000.000000,,10914000000.000000,10914000000.000000,,10914000000.000000,,,,265672000000.000000,,18303000000.000000,8450000000.000000,7663000000.000000,84200000000.000000,395202000000.000000,1451020000000.000000,,,666602000000.000000,,,308772000000.000000,86000000.000000,308858000000.000000,,29067000000.000000,,29067000000.000000,,44052000000.000000,44052000000.000000,248507000000.000000,2113000000.000000,,22663000000.000000,,,6852000000.000000,29515000000.000000,4490000000.000000,666602000000.000000,47958000000.000000,,,5987000000.000000,,8459000000.000000,,8459000000.000000,33512000000.000000,47958000000.000000,714560000000.000000,,134878000000.000000,57313000000.000000,539009000000.000000,15500000000.000000,523509000000.000000,539009000000.000000,2000000.000000,5258000000.000000,736460000000.000000,1451020000000.000000,1348780500.000000
12M 2014,,,355907000000.000000,,478197000000.000000,364312000000.000000,113885000000.000000,478197000000.000000,6429000000.000000,6429000000.000000,,6429000000.000000,293474000000.000000,119480000000.000000,1253487000000.000000,,12226000000.000000,12226000000.000000,,12226000000.000000,,,,284897000000.000000,,18303000000.000000,15938000000.000000,3029000000.000000,45459000000.000000,379852000000.000000,1633339000000.000000,,,671560000000.000000,,,273068000000.000000,2645000000.000000,275713000000.000000,,29929000000.000000,4029000000.000000,33958000000.000000,,43969000000.000000,43969000000.000000,267392000000.000000,,,18135000000.000000,,,7039000000.000000,25174000000.000000,25354000000.000000,671560000000.000000,59473000000.000000,,,7182000000.000000,,13761000000.000000,,13761000000.000000,38530000000.000000,59473000000.000000,731033000000.000000,,134878000000.000000,57313000000.000000,704854000000.000000,17000000000.000000,687854000000.000000,704854000000.000000,3000000.000000,5258000000.000000,902306000000.000000,1633339000000.000000,1348780500.000000
12M 2015,,,468337000000.000000,,354098000000.000000,283588000000.000000,70510000000.000000,354098000000.000000,23675000000.000000,20931000000.000000,2744000000.000000,23675000000.000000,475678000000.000000,114449000000.000000,1436237000000.000000,,4786000000.000000,4786000000.000000,,4786000000.000000,,,,296112000000.000000,,18303000000.000000,16293000000.000000,4442000000.000000,33910000000.000000,373846000000.000000,1810083000000.000000,,,688006000000.000000,,,425602000000.000000,129000000.000000,425731000000.000000,,27472000000.000000,110000000.000000,27582000000.000000,,37759000000.000000,37759000000.000000,148201000000.000000,,,11698000000.000000,,,10362000000.000000,22060000000.000000,26673000000.000000,688006000000.000000,62134000000.000000,,,10395000000.000000,,2912000000.000000,,2912000000.000000,48827000000.000000,62134000000.000000,750140000000.000000,,134878000000.000000,57313000000.000000,862491000000.000000,18500000000.000000,843991000000.000000,862491000000.000000,3000000.000000,5258000000.000000,1059943000000.000000,1810083000000.000000,1348780500.000000
12M 2016,,,277798000000.000000,,367407000000.000000,314541000000.000000,52866000000.000000,367407000000.000000,55061000000.000000,51361000000.000000,3700000000.000000,55061000000.000000,385806000000.000000,155910000000.000000,1241982000000.000000,,20468000000.000000,20468000000.000000,,20468000000.000000,,,,392325000000.000000,,18303000000.000000,24391000000.000000,6029000000.000000,19970000000.000000,481486000000.000000,1723468000000.000000,,,506475000000.000000,,,277808000000.000000,292000000.000000,278100000000.000000,,26392000000.000000,807000000.000000,27199000000.000000,,47245000000.000000,47245000000.000000,88309000000.000000,5690000000.000000,,3864000000.000000,,,9252000000.000000,13116000000.000000,46816000000.000000,506475000000.000000,50683000000.000000,,,10557000000.000000,,,,,40126000000.000000,50683000000.000000,557158000000.000000,,134878000000.000000,57313000000.000000,968857000000.000000,20000000000.000000,948857000000.000000,968857000000.000000,4000000.000000,5258000000.000000,1166310000000.000000,1723468000000.000000,1348780500.000000
12M 2017,,,676587000000.000000,,665252000000.000000,546961000000.000000,118291000000.000000,665252000000.000000,34983000000.000000,31247000000.000000,3736000000.000000,34983000000.000000,432204000000.000000,93823000000.000000,1902849000000.000000,,11006000000.000000,11006000000.000000,,11006000000.000000,,,,408200000000.000000,,18303000000.000000,24653000000.000000,5315000000.000000,41546000000.000000,509023000000.000000,2411872000000.000000,,,1029675000000.000000,,,858865000000.000000,231000000.000000,859096000000.000000,,22135000000.000000,638000000.000000,22773000000.000000,,50299000000.000000,50299000000.000000,83446000000.000000,,,,,,6104000000.000000,6104000000.000000,7957000000.000000,1029675000000.000000,61013000000.000000,,,11358000000.000000,,,,,49655000000.000000,61013000000.000000,1090688000000.000000,,134878000000.000000,57313000000.000000,1123731000000.000000,21500000000.000000,1102231000000.000000,1123731000000.000000,4000000.000000,5258000000.000000,1321184000000.000000,2411872000000.000000,1348780500.000000
