Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1027737725254.000000,-701322174850.000000,326415550404.000000,-220500718299.000000,-92715356114.000000,-127785362185.000000,-220500718299.000000,105914832105.000000,-21999887812.000000,5800302191.000000,-16865084460.000000,-18011199952.000000,1939333270.000000,5136761139.000000,-21999887812.000000,83914944293.000000,-21428326426.000000,62486617867.000000,-11633.000000,62486606234.000000,,,,,62486606234.000000,62486617867.000000,-11633.000000,62486606234.000000,,,,
12M 2009,1335237021820.000000,-950824443695.000000,384412578125.000000,-271551968707.000000,-121687843361.000000,-149864125346.000000,-271551968707.000000,112860609418.000000,-22168468101.000000,2223209367.000000,-7487472020.000000,-16868582557.000000,,-35622891.000000,-22168468101.000000,90692141317.000000,-23744582131.000000,66947559186.000000,-133174.000000,66947426012.000000,,,,,66947426012.000000,66947559186.000000,-133174.000000,66947426012.000000,,,,
12M 2010,1565567350661.000000,-1108618168820.000000,456949181841.000000,-298616146967.000000,-134610356603.000000,-164005790364.000000,-298616146967.000000,158333034874.000000,156797974.000000,2932317552.000000,1118232869.000000,-3379623760.000000,,-514128687.000000,156797974.000000,158489832848.000000,-40074967314.000000,118414865534.000000,-144264.000000,118414721270.000000,,,,,118414721270.000000,118414865534.000000,-144264.000000,118414721270.000000,,,,
12M 2011,1724640000000.000000,-1236999000000.000000,487641000000.000000,-318736000000.000000,-160954000000.000000,-157782000000.000000,-318736000000.000000,168905000000.000000,13073000000.000000,5110000000.000000,,-542000000.000000,98000000.000000,8407000000.000000,13073000000.000000,181978000000.000000,-42505000000.000000,139473000000.000000,,139473000000.000000,,,,139473000000.000000,139473000000.000000,139473000000.000000,,139473000000.000000,139473000000.000000,139473000000.000000,,139473000000.000000
12M 2012,2064054000000.000000,-1486944000000.000000,577110000000.000000,-350052000000.000000,-180701000000.000000,-169351000000.000000,-350052000000.000000,227058000000.000000,-168000000.000000,4477000000.000000,,-3323000000.000000,-2188000000.000000,866000000.000000,-168000000.000000,226890000000.000000,-55698000000.000000,171192000000.000000,,171192000000.000000,-7064000000.000000,-7064000000.000000,-7064000000.000000,164128000000.000000,171192000000.000000,171192000000.000000,,171192000000.000000,164128000000.000000,164128000000.000000,,164128000000.000000
12M 2013,2261253000000.000000,-1605203000000.000000,656050000000.000000,-370774000000.000000,-197324000000.000000,-173450000000.000000,-370774000000.000000,285276000000.000000,-6888000000.000000,7796000000.000000,-11627000000.000000,-1396000000.000000,-9066000000.000000,7405000000.000000,-6888000000.000000,278388000000.000000,-69382000000.000000,209006000000.000000,,209006000000.000000,998000000.000000,998000000.000000,998000000.000000,210004000000.000000,209006000000.000000,209006000000.000000,,209006000000.000000,210004000000.000000,210004000000.000000,,210004000000.000000
12M 2014,2282232000000.000000,-1600406000000.000000,681826000000.000000,-395336000000.000000,-194303000000.000000,-201033000000.000000,-395336000000.000000,286490000000.000000,54173000000.000000,13378000000.000000,3597000000.000000,-5535000000.000000,-9477000000.000000,52210000000.000000,54173000000.000000,340663000000.000000,-80442000000.000000,260221000000.000000,,260221000000.000000,-1309000000.000000,-1309000000.000000,-1309000000.000000,258912000000.000000,260221000000.000000,260220000000.000000,1000000.000000,260221000000.000000,258912000000.000000,258911000000.000000,1000000.000000,258912000000.000000
12M 2015,2654641000000.000000,-1887384000000.000000,767257000000.000000,-418507000000.000000,-200812000000.000000,-217695000000.000000,-418507000000.000000,348750000000.000000,-1095000000.000000,16968000000.000000,-7502000000.000000,-10028000000.000000,,-533000000.000000,-1095000000.000000,347655000000.000000,-82535000000.000000,265120000000.000000,,265120000000.000000,-3126000000.000000,-3126000000.000000,-3126000000.000000,261994000000.000000,265120000000.000000,265120000000.000000,,265120000000.000000,261994000000.000000,261994000000.000000,,261994000000.000000
12M 2016,2712784000000.000000,-1959766000000.000000,753018000000.000000,-419472000000.000000,-193628000000.000000,-225844000000.000000,-419472000000.000000,333546000000.000000,6559000000.000000,8144000000.000000,-1972000000.000000,-8418000000.000000,,8805000000.000000,6559000000.000000,340105000000.000000,-84992000000.000000,255113000000.000000,,255113000000.000000,13108000000.000000,13108000000.000000,13108000000.000000,268221000000.000000,255113000000.000000,255112000000.000000,1000000.000000,255113000000.000000,268221000000.000000,268220000000.000000,1000000.000000,268221000000.000000
12M 2017,3918428000000.000000,-3122497000000.000000,795931000000.000000,-451748000000.000000,-203618000000.000000,-248130000000.000000,-451748000000.000000,344183000000.000000,5256000000.000000,5817000000.000000,-148000000.000000,-8884000000.000000,,8471000000.000000,5256000000.000000,349439000000.000000,-92214000000.000000,257225000000.000000,,257225000000.000000,-2541000000.000000,-2541000000.000000,-2541000000.000000,254684000000.000000,257225000000.000000,257225000000.000000,,257225000000.000000,254684000000.000000,254684000000.000000,,254684000000.000000
