Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Untuk :,Pemasok,Pegawai Dan Lainnya,Perjalanan,Biaya Tenaga Ahli,Asuransi Dan Pensiun,Sewa,Perbaikan Dan Pemeliharaan,Pergudangan Dan Pengiriman,Telekomunikasi,Iklan Dan Promosi,Beban Kantor Dan Perlengkapan,Pelatihan Dan Pendidikan,Beban Usaha Lainnya,Aktivitas Operasi Lainnya,Total Pembayaran Untuk :,Penerimaan Dari Penghasilan Keuangan,(Penempatan)/Pencairan Jaminan Yang Dapat Diterima Kembali,Penerimaan Restitusi Pajak Penghasilan Badan,Penerimaan Restitusi Pajak Pertambahan Nilai,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Pertambahan Nilai,Penurunan Kas Yang Dibatasi Penggunaannya,Penerimaan Kas Dibatasi Penggunaannya,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Pembelian Anak Perusahaan,Investasi Pada Pengendalian Bersama Entitas,Penjualan Properti Investasi,Pemberian Pinjaman Pada Pengendalian Bersama Entitas,Penjualan Aset Tetap,Penerimaan Dari Penjualan Investasi,Pembayaran Advance Equity,Pembayaran Piutang Lain Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Obligasi,Penarikan Pinjaman Jangka Pendek,Pencairan/(Penempatan)Kas Yang Dijaminkan,Pembayaran Pinjaman Jangka Pendek,Penarikan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Dividen,Penerimaan Dari Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Penurunan Kas Yang Dibatasi Penggunaanya,Pembayaran Biaya Keuangan,Penerimaan Dari Transaksi Jual Dan Sewa Balik,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Perusahaan,Anak Perusahaan,Total Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,126026289992.000000,1105886690885.000000,,-669446974711.000000,-153544792929.000000,-12035427375.000000,-3613301569.000000,-14274668791.000000,-5121542841.000000,-9139825292.000000,-7661413359.000000,-8050823431.000000,-9094911532.000000,-4134868651.000000,-1718331380.000000,-2945428478.000000,,-900782310339.000000,5800302191.000000,169362000.000000,,,-66239246775.000000,,,,-18808507970.000000,126026289992.000000,-171623542683.000000,213770121.000000,-82378045267.000000,,-89997708175.000000,,,,538440638.000000,,,,-171623542683.000000,-8305840014.000000,-118000000000.000000,143285600000.000000,,,18511539249.000000,,-56069223492.000000,,,3966244229.000000,,,-8305840014.000000,-53903092705.000000,177110327207.000000,,,177110327207.000000,9530024757.000000,132737259259.000000
12M 2009,230063527935.000000,1504325003559.000000,,-902412436977.000000,-184550945258.000000,-11754029383.000000,-7840485859.000000,-18362555057.000000,-8688660330.000000,-8912912680.000000,-7694900967.000000,-8291930318.000000,-4737141599.000000,-4526727872.000000,-2577302203.000000,-11482671925.000000,,-1181832700428.000000,2223209367.000000,-50805070.000000,1680825592.000000,,-77361751121.000000,,,,-18920253964.000000,230063527935.000000,-67184250397.000000,1001411148.000000,-82680861994.000000,,,,14000000000.000000,,495200449.000000,,,,-67184250397.000000,-109530265409.000000,,30600000000.000000,,-126658184532.000000,34725000000.000000,-29457463241.000000,-18739617636.000000,,,,,,-109530265409.000000,53349012129.000000,132737259259.000000,,,132737259259.000000,-9822495787.000000,176263775601.000000
12M 2010,184354504078.000000,1548176509781.000000,,-982838646144.000000,-211625673442.000000,-14891764563.000000,-10628528892.000000,-10390995017.000000,-9597492291.000000,-9034649851.000000,-8313042684.000000,-7927694271.000000,-4978361092.000000,-4681853104.000000,-3352763526.000000,-19205493315.000000,,-1297466958192.000000,2932317552.000000,-434295998.000000,8452402826.000000,,-73925848131.000000,,,,-3379623760.000000,184354504078.000000,-18156573216.000000,132720490.000000,-18289293706.000000,,,,,,,,,,-18156573216.000000,-128365148939.000000,,,,-82019416878.000000,,-13975000072.000000,-32370731989.000000,,,,,,-128365148939.000000,37832781923.000000,176263775601.000000,,,176263775601.000000,-3022052104.000000,211074505420.000000
12M 2011,54935000000.000000,1874400000000.000000,,-1442473000000.000000,-229875000000.000000,,,,,,,,,,,,-102664000000.000000,-1775012000000.000000,5110000000.000000,,4847000000.000000,,-53868000000.000000,,,,-542000000.000000,54935000000.000000,-21978000000.000000,,-17208000000.000000,,,-8653000000.000000,3027000000.000000,,856000000.000000,,,,-21978000000.000000,-49483000000.000000,,75028000000.000000,,-75028000000.000000,,,-49483000000.000000,,,,,,-49483000000.000000,-16526000000.000000,211075000000.000000,,,211075000000.000000,396000000.000000,194945000000.000000
12M 2012,24416000000.000000,2206438000000.000000,,-1769816000000.000000,-360793000000.000000,,,,,,,,,,,,,-2130609000000.000000,4477000000.000000,,3034000000.000000,,-55601000000.000000,,,,-3323000000.000000,24416000000.000000,-46502000000.000000,,-32092000000.000000,,,-4926000000.000000,,-9822000000.000000,338000000.000000,,,,-46502000000.000000,-20328000000.000000,,278919000000.000000,,-264151000000.000000,,,-86937000000.000000,64320000000.000000,-12479000000.000000,,,,-20328000000.000000,-42414000000.000000,194945000000.000000,,,194945000000.000000,767000000.000000,153298000000.000000
12M 2013,302080000000.000000,2417091000000.000000,,-1643200000000.000000,-422835000000.000000,,,,,,,,,,,,,-2066035000000.000000,7796000000.000000,,5670000000.000000,,-61046000000.000000,,,,-1396000000.000000,302080000000.000000,-24474000000.000000,,-16038000000.000000,-9700000000.000000,,,,,1264000000.000000,,,,-24474000000.000000,-143128000000.000000,,237235000000.000000,,-254068000000.000000,,,-105575000000.000000,,-20720000000.000000,,,,-143128000000.000000,134478000000.000000,153298000000.000000,,,153298000000.000000,3128000000.000000,290904000000.000000
12M 2014,125766000000.000000,2410634000000.000000,,-1735964000000.000000,-488494000000.000000,,,,,,,,,,,,,-2224458000000.000000,13378000000.000000,,,,-73788000000.000000,,,,,125766000000.000000,36175000000.000000,,-11635000000.000000,-691000000.000000,,,,,2368000000.000000,68779000000.000000,-22646000000.000000,,36175000000.000000,-97407000000.000000,,24818000000.000000,,-24398000000.000000,,,-93066000000.000000,,-29226000000.000000,,-5535000000.000000,30000000000.000000,-97407000000.000000,64534000000.000000,290904000000.000000,,,290904000000.000000,469000000.000000,355907000000.000000
12M 2015,261997000000.000000,2469121000000.000000,,-1617100000000.000000,-547996000000.000000,,,,,,,,,,,,,-2165096000000.000000,16968000000.000000,,29981000000.000000,,-89114000000.000000,,137000000.000000,,,261997000000.000000,-25251000000.000000,,-25608000000.000000,,,,,,357000000.000000,,,,-25251000000.000000,-128800000000.000000,,57460000000.000000,,-57460000000.000000,,,-103857000000.000000,,-14915000000.000000,,-10028000000.000000,,-128800000000.000000,107946000000.000000,355907000000.000000,,,355907000000.000000,4484000000.000000,468337000000.000000
12M 2016,47905000000.000000,2744431000000.000000,,-2082658000000.000000,-564569000000.000000,,,,,,,,,,,,,-2647227000000.000000,8144000000.000000,,24789000000.000000,,-83777000000.000000,,1545000000.000000,,,47905000000.000000,-56369000000.000000,,-40280000000.000000,-16417000000.000000,,,,,328000000.000000,,,,-56369000000.000000,-181018000000.000000,,,,,,,-161854000000.000000,,-10746000000.000000,,-8418000000.000000,,-181018000000.000000,-189482000000.000000,468337000000.000000,,,468337000000.000000,-1057000000.000000,277798000000.000000
12M 2017,533399000000.000000,3557981000000.000000,,-2587882000000.000000,-395388000000.000000,,,,,,,,,,,,,-2983270000000.000000,5817000000.000000,,1198000000.000000,49936000000.000000,-98263000000.000000,,,,,533399000000.000000,-22614000000.000000,,-13373000000.000000,-9468000000.000000,,,,,227000000.000000,,,,-22614000000.000000,-112558000000.000000,,,,,,,-99810000000.000000,,-3864000000.000000,,-8884000000.000000,,-112558000000.000000,398227000000.000000,277798000000.000000,,,277798000000.000000,562000000.000000,676587000000.000000
