Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Tanah Untuk Dikembangkan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1697446006.000000,9743516410.000000,2773413420.000000,6970102990.000000,9743516410.000000,196475860.000000,41039277802.000000,2587114872.000000,55263830950.000000,,20618733103.000000,5331348180.000000,,4518577465.000000,485726469.000000,30954385217.000000,86218216167.000000,,,8559420128.000000,3285000000.000000,,280401175.000000,3146024990.000000,3426426165.000000,482844764.000000,,482844764.000000,,,158740252.000000,757003975.000000,449404972.000000,8559420128.000000,11763062593.000000,,396983377.000000,11366079216.000000,11763062593.000000,20322482721.000000,,69000000000.000000,3300000000.000000,-6404266554.000000,,65895733446.000000,86218216167.000000,138000000.000000
12M 2009,,,3135850096.000000,6439358458.000000,511497719.000000,5927860739.000000,6439358458.000000,10923844012.000000,30025124900.000000,3305958670.000000,53830136136.000000,,19340362163.000000,6377246516.000000,,4518577465.000000,210552114.000000,30446738258.000000,84276874394.000000,,,9730495858.000000,3915877759.000000,,,3282114671.000000,3282114671.000000,738178096.000000,,738178096.000000,,,79728145.000000,1590666365.000000,123930822.000000,9730495858.000000,13865214822.000000,940000000.000000,443077039.000000,12482137783.000000,13865214822.000000,23595710680.000000,,69000000000.000000,3300000000.000000,-11618836286.000000,,60681163714.000000,84276874394.000000,138000000.000000
12M 2010,,,6524739494.000000,8789165806.000000,968844068.000000,7820321738.000000,8789165806.000000,61356622.000000,36773664192.000000,2055215872.000000,54204141986.000000,,18610210758.000000,8609278457.000000,,4518577465.000000,,31738066680.000000,85942208666.000000,,,7388959310.000000,4197078922.000000,1107736001.000000,,,1107736001.000000,102133327.000000,,102133327.000000,,,237801998.000000,1685739330.000000,58469732.000000,7388959310.000000,14612386429.000000,,343492000.000000,14268894429.000000,14612386429.000000,22001345739.000000,,69000000000.000000,3300000000.000000,-8359137073.000000,,63940862927.000000,85942208666.000000,138000000.000000
12M 2011,,,3630533950.000000,10677868381.000000,722998984.000000,9954869397.000000,10677868381.000000,235041142.000000,40127961349.000000,1418725205.000000,56090130027.000000,,18825433242.000000,7984973765.000000,,4518577465.000000,,31328984472.000000,87419114499.000000,,,7726190144.000000,4802112013.000000,,,1645224513.000000,1645224513.000000,,17000000.000000,17000000.000000,,,330340522.000000,720790277.000000,210722819.000000,7726190144.000000,15395321964.000000,,370042889.000000,15025279075.000000,15395321964.000000,23121512108.000000,,69000000000.000000,3300000000.000000,-8002397609.000000,,64297602391.000000,87419114499.000000,138000000.000000
12M 2012,,,4870033105.000000,13127488385.000000,4791070703.000000,8336417682.000000,13127488385.000000,175135181.000000,40389235653.000000,3522462088.000000,62084354412.000000,,18913700581.000000,9439337673.000000,,4518577465.000000,,32871615719.000000,94955970131.000000,,,12934399457.000000,8442613373.000000,,,2238782361.000000,2238782361.000000,,426352417.000000,426352417.000000,,174768079.000000,407290319.000000,1036429042.000000,208163866.000000,12934399457.000000,15464492789.000000,,,15464492789.000000,15464492789.000000,28398892246.000000,,69000000000.000000,3300000000.000000,-5742922115.000000,,66557077885.000000,94955970131.000000,138000000.000000
12M 2013,,,4632638583.000000,9466908518.000000,2755816174.000000,6711092344.000000,9466908518.000000,226791736.000000,49680217136.000000,2857416871.000000,66863972844.000000,,18196039928.000000,8717131863.000000,,4518577465.000000,,31431749256.000000,98295722100.000000,,,11580043353.000000,7513928803.000000,,,2237405606.000000,2237405606.000000,,57636700.000000,57636700.000000,,,573662658.000000,455252793.000000,742156793.000000,11580043353.000000,12739100144.000000,,,12739100144.000000,12739100144.000000,24319143497.000000,,69000000000.000000,3300000000.000000,1676578603.000000,,73976578603.000000,98295722100.000000,138000000.000000
12M 2014,,,4520594521.000000,9593155210.000000,3239996615.000000,6353158595.000000,9593155210.000000,326052063.000000,47833812926.000000,2753986467.000000,65027601187.000000,,17502657737.000000,8253323849.000000,,4518577465.000000,1443583983.000000,31718143034.000000,96745744221.000000,,,8227166909.000000,6221264439.000000,,,874860248.000000,874860248.000000,,31435100.000000,31435100.000000,,,467354405.000000,433435876.000000,198816841.000000,8227166909.000000,9838490468.000000,,,9838490468.000000,9838490468.000000,18065657377.000000,,69000000000.000000,3300000000.000000,6380086844.000000,,78680086844.000000,96745744221.000000,138000000.000000
12M 2015,,,2264143520.000000,9169136579.000000,1893446209.000000,7275690370.000000,9169136579.000000,166148167.000000,57384023808.000000,4441314718.000000,73424766792.000000,,6779043449.000000,49109501110.000000,,4518577465.000000,,60407122024.000000,133831888816.000000,,,12782596690.000000,9502473412.000000,,,1564194076.000000,1564194076.000000,,460609547.000000,460609547.000000,,,421195665.000000,516508554.000000,317615436.000000,12782596690.000000,27677684778.000000,,,27677684778.000000,27677684778.000000,40460281468.000000,,69000000000.000000,3300000000.000000,,21071607348.000000,93371607348.000000,133831888816.000000,138000000.000000
12M 2016,,,3526064738.000000,17374100610.000000,2840303857.000000,14533796753.000000,17374100610.000000,510923182.000000,55360728016.000000,2644923960.000000,79416740506.000000,,8937401973.000000,46674790441.000000,,4518577465.000000,261625000.000000,60392394879.000000,139809135385.000000,,,14856909996.000000,11357019571.000000,,,1609950883.000000,1609950883.000000,,487605303.000000,487605303.000000,,,170098803.000000,648854165.000000,583381271.000000,14856909996.000000,35942470914.000000,,,35942470914.000000,35942470914.000000,50799380910.000000,,69000000000.000000,3300000000.000000,,16709754475.000000,89009754475.000000,139809135385.000000,276000000.000000
12M 2017,,,7494021855.000000,15992752679.000000,2546985478.000000,13445767201.000000,15992752679.000000,304821475.000000,63032212909.000000,3521833672.000000,90345642590.000000,,9413214917.000000,45101494586.000000,,4518577465.000000,41080326.000000,59074367294.000000,149420009884.000000,,,12385069176.000000,10118087819.000000,,,506592632.000000,506592632.000000,,409139990.000000,409139990.000000,,,357103866.000000,542511914.000000,451632955.000000,12385069176.000000,45536501712.000000,,,45536501712.000000,45536501712.000000,57921570888.000000,,69000000000.000000,3300000000.000000,,19198438996.000000,91498438996.000000,149420009884.000000,276000000.000000
12M 2018,,,5899514704.000000,16523940445.000000,4328537526.000000,12195402919.000000,16523940445.000000,191425304.000000,72296737274.000000,2309514825.000000,97221132552.000000,,9307191626.000000,43041846123.000000,,4518577465.000000,,56867615214.000000,154088747766.000000,,,15902122815.000000,10498111260.000000,,,784743039.000000,784743039.000000,,644659808.000000,644659808.000000,,,595005195.000000,2916556622.000000,463046891.000000,15902122815.000000,43537023049.000000,,,43537023049.000000,43537023049.000000,59439145864.000000,,69000000000.000000,3300000000.000000,,22349601902.000000,94649601902.000000,154088747766.000000,276000000.000000
12M 2019,,,8529980624.000000,12997308419.000000,3681849282.000000,9315459137.000000,12997308419.000000,239155161.000000,290121796.000000,73824959044.000000,95881525044.000000,,12176705502.000000,40242188749.000000,,4518577465.000000,,56937471716.000000,152818996760.000000,,,12652638345.000000,4814560698.000000,,,3353875761.000000,3353875761.000000,,330803655.000000,330803655.000000,,,571508487.000000,3282479485.000000,299410259.000000,12652638345.000000,52811318729.000000,,,52811318729.000000,52811318729.000000,65463957074.000000,,69000000000.000000,3300000000.000000,,15055039686.000000,87355039686.000000,152818996760.000000,276000000.000000
12M 2020,,,10758438929.000000,16681407726.000000,5319789520.000000,11361618206.000000,16681407726.000000,525309665.000000,72137729888.000000,2402820348.000000,102505706556.000000,,10837845266.000000,37559240817.000000,,4518577465.000000,1601769008.000000,54517432556.000000,157023139112.000000,,,13087685422.000000,5099500000.000000,,,2566179835.000000,2566179835.000000,682609723.000000,,682609723.000000,,,175437326.000000,3697508995.000000,866449543.000000,13087685422.000000,63165980091.000000,,,63165980091.000000,63165980091.000000,76253665513.000000,,69000000000.000000,3300000000.000000,,8469473599.000000,80769473599.000000,157023139112.000000,276000000.000000
