Period,Arus Kas Dari Aktivitas Operasi,"Pendapatan Bunga, Provisi Dan Komisi Yang Diterima","Bunga, Provisi Dan Komisi Yang Dibayar",Penghasilan Operasional Lainnya,Keuntungan (Kerugian) Transaksi Mata Uang Asing - Bersih,Beban Operasional Lainnya,Pembagian Tantiem,Pembayaran Beban Penggabungan Usaha,(Beban)/Penghasilan Bukan Operasional - Bersih,Adjustment,Perubahan Dalam Aset Dan Liabilitas:,(Kenaikan)/ Penurunan Aset:,Penempatan Pada Bank Lain Dan Bank Indonesia (Jatuh Tempo Lebih Dari 3 Bulan),Efek-Efek Dan Obligasi Pemerintah Untuk Tujuan Diperdagangkan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Diberikan,Tagihan Akseptasi,Piutang Pembiayaan Konsumen,Aset Lain-Lain Dan Beban Dibayar Dimuka,Total (Kenaikan)/ Penurunan Aset:,Kenaikan/(Penurunan) Liabilitas:,Simpanan Nasabah,Simpanan Dari Bank Lain,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Akseptasi,Utang Pajak,"Liabilitas Segera, Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain Serta Liabilitas Imbalan Kerja",Total Kenaikan/(Penurunan) Liabilitas:,Pajak Penghasilan Yang Dibayar Selama Periode Berjalan,Selisih Kurs Karena Penjabaran Laporangan Keuangan,Total Perubahan Dalam Aset Dan Liabilitas:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tidak Berwujud,Penurunan (Kenaikan) Efek-Efek Dan Obligasi Pemerintah - Tersedia Untuk Dijual Dan Yang Dimiliki Hingga Jatuh Tempo,Penurunan (Kenaikan) Efek-Efek Dan Obligasi Pemerintah - Diukur Pada Nilai Wajar Melalui Penghasilan Kemprehensif Lain Dan Biaya Perolehan Diamortisasi,Penerimaan Dividen Atas Penyertaan,Penambahan Penyertaan,Hasil Penjualan Penyertaan Jangka Panjang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Baru Melalui Penawaran Umum Terbatas V,Penambahan Modal Saham,Pembayaran Liabilitas Sewa,Saham Treasuri,Kenaikan (Penurunan) Atas Pinjaman Yang Diterima,Kenaikan (Penurunan) Atas Efek-Efek Yang Diterbitkan,Pembayaran Pokok Dan Bunga Dari Obligasi Dan Efek-Efek Yang Diterbitkan,Pembayaran Dari Pinjaman Yang Diterima,Perolehan Pinjaman Subordinasi,Pembayaran Pinjaman Subordinasi,Pembagian Dividen Tunai,Kenaikan (Penurunan) Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Waran Yang Dieksekusi,Opsi Kepemilikan Saham Oleh Karyawan (Esop) Yang Dieksekusi,Penerimaan (Pemindahan) Dana Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2007,-89504000000.000000,9138264000000.000000,-3708728000000.000000,14475000000.000000,247360000000.000000,-3883711000000.000000,-32000000000.000000,,588055000000.000000,,,,962392000000.000000,436557000000.000000,,-15061919000000.000000,-256174000000.000000,,-220681000000.000000,-14139825000000.000000,,9668240000000.000000,1899854000000.000000,,267137000000.000000,-2181000000.000000,470311000000.000000,12303361000000.000000,-616542000000.000000,-213000000.000000,-2453219000000.000000,-89504000000.000000,697873000000.000000,13005000000.000000,-254392000000.000000,,947192000000.000000,,104000000.000000,-49536000000.000000,41500000000.000000,697873000000.000000,-37199000000.000000,,,,,351460000000.000000,93930000000.000000,-205308000000.000000,,,-4101000000.000000,-366950000000.000000,,101670000000.000000,9685000000.000000,-17585000000.000000,-37199000000.000000,,571170000000.000000,7320926000000.000000,,7892096000000.000000
12M 2008,-2520629000000.000000,10598739000000.000000,-4672622000000.000000,27041000000.000000,830287000000.000000,-3722968000000.000000,-28800000000.000000,-261903000000.000000,72999000000.000000,,,,2366104000000.000000,-44679000000.000000,,-14077218000000.000000,113627000000.000000,,-406696000000.000000,-12048862000000.000000,,8546413000000.000000,-1188253000000.000000,,-139602000000.000000,56157000000.000000,-32790000000.000000,7241925000000.000000,-555336000000.000000,-1129000000.000000,-5363402000000.000000,-2520629000000.000000,3249052000000.000000,3608000000.000000,-174282000000.000000,,3422522000000.000000,,76000000.000000,-2872000000.000000,,3249052000000.000000,234722000000.000000,,,,,277035000000.000000,-93930000000.000000,-221443000000.000000,,,-4769000000.000000,-141796000000.000000,199567000000.000000,208045000000.000000,29338000000.000000,-17325000000.000000,234722000000.000000,,963145000000.000000,7892096000000.000000,,8855241000000.000000
12M 2009,-2617834000000.000000,12197124000000.000000,-5039980000000.000000,38767000000.000000,-186857000000.000000,-3925363000000.000000,-25922000000.000000,-164053000000.000000,295887000000.000000,,,,-207684000000.000000,534060000000.000000,,-8397648000000.000000,-417343000000.000000,,-179611000000.000000,-8668226000000.000000,,2197371000000.000000,517850000000.000000,,435194000000.000000,13337000000.000000,334655000000.000000,3498407000000.000000,-638690000000.000000,1072000000.000000,-5807437000000.000000,-2617834000000.000000,2284607000000.000000,1189000000.000000,-305650000000.000000,,2589095000000.000000,,,-27000000.000000,,2284607000000.000000,-596084000000.000000,,,,,122579000000.000000,,-210158000000.000000,,,-3768000000.000000,-305170000000.000000,-199567000000.000000,,,,-596084000000.000000,,-929311000000.000000,8855241000000.000000,,7925930000000.000000
12M 2010,8543683000000.000000,13732252000000.000000,-4938560000000.000000,461739000000.000000,64953000000.000000,-5599298000000.000000,-30125000000.000000,,35846000000.000000,,,,,-3907047000000.000000,,-21072268000000.000000,-154044000000.000000,,-25549000000.000000,-25158908000000.000000,,31585228000000.000000,-581688000000.000000,,124544000000.000000,51634000000.000000,348582000000.000000,31528300000000.000000,-1552516000000.000000,,4816876000000.000000,8543683000000.000000,-18438000000.000000,482000000.000000,-195610000000.000000,,176690000000.000000,,,,,-18438000000.000000,2606938000000.000000,,,,,707016000000.000000,,-163072000000.000000,,2967762000000.000000,-904768000000.000000,,,,,,2606938000000.000000,,11132183000000.000000,12388046000000.000000,,23520229000000.000000
12M 2011,-4434384000000.000000,15649232000000.000000,-6629575000000.000000,663140000000.000000,,-5829307000000.000000,,,43359000000.000000,,,,-196564000000.000000,2921651000000.000000,-3642874000000.000000,-18693608000000.000000,-995536000000.000000,-1509517000000.000000,-756707000000.000000,-22873155000000.000000,,13981071000000.000000,554131000000.000000,,955906000000.000000,63062000000.000000,23866000000.000000,15578036000000.000000,-1036114000000.000000,,-8331233000000.000000,-4434384000000.000000,-1550468000000.000000,451000000.000000,-446931000000.000000,,-1207147000000.000000,,,-1502000000.000000,104661000000.000000,-1550468000000.000000,4194894000000.000000,1495929000000.000000,,,,3311637000000.000000,1492853000000.000000,-100729000000.000000,,,-1805000000000.000000,-199796000000.000000,,,,,4194894000000.000000,,-1789958000000.000000,23520229000000.000000,,21730271000000.000000
12M 2012,9751848000000.000000,18049157000000.000000,-5960195000000.000000,713130000000.000000,,-6602363000000.000000,,,47897000000.000000,,,,196564000000.000000,81153000000.000000,3442289000000.000000,-17831356000000.000000,-717166000000.000000,-1888244000000.000000,-769024000000.000000,-17485784000000.000000,,19200815000000.000000,1465749000000.000000,,747912000000.000000,-35147000000.000000,934780000000.000000,22314109000000.000000,-1324103000000.000000,,3504222000000.000000,9751848000000.000000,-3146203000000.000000,1665000000.000000,-528594000000.000000,,-2617020000000.000000,,,-2254000000.000000,,-3146203000000.000000,3358481000000.000000,,,,,1226726000000.000000,2590722000000.000000,-458967000000.000000,,,,,,,,,3358481000000.000000,,9964126000000.000000,21730271000000.000000,,31694397000000.000000
12M 2013,4018330000000.000000,20530420000000.000000,-7032047000000.000000,-329272000000.000000,,-7047076000000.000000,,,-29550000000.000000,,,,,869346000000.000000,131515000000.000000,-9476480000000.000000,-2310522000000.000000,-2577699000000.000000,-460272000000.000000,-13824112000000.000000,,12722243000000.000000,-2413529000000.000000,,2380368000000.000000,63518000000.000000,471406000000.000000,13224006000000.000000,-1474039000000.000000,,-2074145000000.000000,4018330000000.000000,-6341492000000.000000,1372000000.000000,-733277000000.000000,,-5607709000000.000000,,,-1878000000.000000,,-6341492000000.000000,3572356000000.000000,,,,,2364808000000.000000,1892895000000.000000,-685347000000.000000,,,,,,,,,3572356000000.000000,1238017000000.000000,2487211000000.000000,31694397000000.000000,,34181608000000.000000
12M 2014,-1897644000000.000000,22189092000000.000000,-8439889000000.000000,677039000000.000000,,-7878830000000.000000,,,15205000000.000000,,,,,-141735000000.000000,69070000000.000000,-19550632000000.000000,292136000000.000000,286999000000.000000,-356498000000.000000,-19400660000000.000000,,10985872000000.000000,1260226000000.000000,,-298515000000.000000,39607000000.000000,-35824000000.000000,11951366000000.000000,-1010967000000.000000,,-8460261000000.000000,-1897644000000.000000,-3147109000000.000000,65576000000.000000,-871145000000.000000,,-2340600000000.000000,,,-940000000.000000,,-3147109000000.000000,-1601490000000.000000,-131237000000.000000,,,,223481000000.000000,-173275000000.000000,-821429000000.000000,-699030000000.000000,,,,,,,,-1601490000000.000000,-28051000000.000000,-6674294000000.000000,34181608000000.000000,,27507314000000.000000
12M 2015,6755174000000.000000,24055270000000.000000,-9413172000000.000000,363330000000.000000,-299650000000.000000,-7256892000000.000000,,,-159381000000.000000,,,,,-3564608000000.000000,-174552000000.000000,-5427105000000.000000,867757000000.000000,472433000000.000000,-982021000000.000000,-8808096000000.000000,,3809843000000.000000,3587854000000.000000,1996167000000.000000,-923140000000.000000,-173374000000.000000,248544000000.000000,8545894000000.000000,-272129000000.000000,,-534331000000.000000,6755174000000.000000,-2271096000000.000000,4262000000.000000,-1305259000000.000000,,-970099000000.000000,,,,,-2271096000000.000000,-4862136000000.000000,,,,,-2130222000000.000000,-1326274000000.000000,-799281000000.000000,-606359000000.000000,,,,,,,,-4862136000000.000000,1001560000000.000000,623502000000.000000,27507314000000.000000,,28130816000000.000000
12M 2016,3291332000000.000000,23297874000000.000000,-8071720000000.000000,278600000000.000000,178063000000.000000,-5983512000000.000000,,,-1391000000.000000,,,,,2217159000000.000000,-368404000000.000000,-6739180000000.000000,-236662000000.000000,227430000000.000000,,-4899657000000.000000,,2038057000000.000000,-1096937000000.000000,-1826533000000.000000,-112905000000.000000,38281000000.000000,,-960037000000.000000,-546888000000.000000,,-6406582000000.000000,3291332000000.000000,-4071426000000.000000,3601000000.000000,-426020000000.000000,-341008000000.000000,-3317473000000.000000,,,,9474000000.000000,-4071426000000.000000,-3733655000000.000000,,,,,1027144000000.000000,-1239217000000.000000,-677819000000.000000,-2843763000000.000000,,,,,,,,-3733655000000.000000,-200952000000.000000,-4714701000000.000000,28130816000000.000000,,23416115000000.000000
