Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2007,,,,,,,,,,,,,,,0.0
12M 2008,,,,,,,,,8.09,8.27,0.1,0.1,,,0.0
12M 2009,,,,,,,,,9.27,9.67,0.11,0.11,,,0.0
12M 2010,,,,,,,,,10.16,10.54,0.1,0.09,,,0.0
12M 2011,,,,,,,,,11.4,10.95,0.1,0.09,,,0.0
12M 2012,,,,,,,,,10.57,10.2,0.09,0.08,,,0.0
12M 2013,,,,,,,,,9.59,9.26,0.09,0.08,,,0.0
12M 2014,,,,,,,,,9.14,8.84,0.09,0.09,,,0.0
12M 2015,,,,,,,,,7.63,7.5,0.09,0.09,,,0.0
12M 2016,,,,,,,,,4.94,4.07,0.09,0.09,,,0.0
12M 2017,,,,,,,,,3.93,3.97,0.08,0.08,,,0.0
12M 2018,,,,,,,,,3.84,3.82,0.08,0.08,,,0.0
12M 2019,,,,,,,,,3.71,3.45,0.08,0.08,,,0.0
12M 2020,,,,,,,,,3.13,2.94,0.07,0.07,,,0.0
12M 2021,,,,,,,,,2.77,2.82,0.06,0.06,,,0.0
12M 2022,,,,,,,,,2.8,2.72,0.06,0.06,,,0.0
12M 2023,,,,,,,,,3.23,3.28,0.07,0.07,,,0.0
12M 2024,,,,,,,,,3.57,3.58,0.07,0.07,,,0.0
