Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Non- Keuangan,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Dari Penjualan Aset-Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,8272717000000.000000,7861277000000.000000,411440000000.000000,8272717000000.000000,-3920262000000.000000,-3920262000000.000000,,-3920262000000.000000,4352455000000.000000,-2242988000000.000000,,,183361000000.000000,,,-12450000000.000000,450142000000.000000,870707000000.000000,1491760000000.000000,,-1421975000000.000000,-1610235000000.000000,-702538000000.000000,-3734748000000.000000,-2242988000000.000000,2109467000000.000000,-25444000000.000000,,-25444000000.000000,-25444000000.000000,2084023000000.000000,-573496000000.000000,1510527000000.000000,-2141000000.000000,1508386000000.000000,,,,,1508386000000.000000,1510527000000.000000,-2141000000.000000,1508386000000.000000,,,,
12M 2008,9795732000000.000000,9336904000000.000000,458828000000.000000,9795732000000.000000,-4997335000000.000000,-4997335000000.000000,,-4997335000000.000000,4798397000000.000000,-3473954000000.000000,,,395602000000.000000,,,-244676000000.000000,-45955000000.000000,1090578000000.000000,1195549000000.000000,,-1698726000000.000000,-1735516000000.000000,-1235261000000.000000,-4669503000000.000000,-3473954000000.000000,1324443000000.000000,-240240000000.000000,,-240240000000.000000,-240240000000.000000,1084203000000.000000,-401131000000.000000,683072000000.000000,-4883000000.000000,678189000000.000000,,,,,678189000000.000000,683072000000.000000,-4883000000.000000,678189000000.000000,,,,
12M 2009,11311112000000.000000,10813330000000.000000,497782000000.000000,11311112000000.000000,-5161062000000.000000,-5161062000000.000000,,-5161062000000.000000,6150050000000.000000,-3940088000000.000000,,,371703000000.000000,,,41285000000.000000,156274000000.000000,946789000000.000000,1516051000000.000000,,-1936133000000.000000,-1755755000000.000000,-1764251000000.000000,-5456139000000.000000,-3940088000000.000000,2209962000000.000000,-44375000000.000000,,-44375000000.000000,-44375000000.000000,2165587000000.000000,-590259000000.000000,1575328000000.000000,-7198000000.000000,1568130000000.000000,,,,,1568130000000.000000,1575328000000.000000,-7198000000.000000,1568130000000.000000,,,,
12M 2010,12448430000000.000000,12448430000000.000000,,12448430000000.000000,-5122137000000.000000,-5122137000000.000000,,-5122137000000.000000,7326293000000.000000,-3973443000000.000000,,1121858000000.000000,178855000000.000000,-1209625000000.000000,-6951000000.000000,-51952000000.000000,277510000000.000000,67286000000.000000,376981000000.000000,,-1991272000000.000000,-2299945000000.000000,-59207000000.000000,-4350424000000.000000,-3973443000000.000000,3352850000000.000000,36654000000.000000,27382000000.000000,9272000000.000000,36654000000.000000,3389504000000.000000,-826951000000.000000,2562553000000.000000,-14400000000.000000,2548153000000.000000,,,,,2548153000000.000000,2562553000000.000000,-14400000000.000000,2548153000000.000000,,,,
12M 2011,14791294000000.000000,14791294000000.000000,,14791294000000.000000,-6864464000000.000000,-6864464000000.000000,,-6864464000000.000000,7926830000000.000000,-3588114000000.000000,,1629858000000.000000,316402000000.000000,-835789000000.000000,5398000000.000000,-146001000000.000000,357104000000.000000,315421000000.000000,1642393000000.000000,,-2227739000000.000000,-2860309000000.000000,-142459000000.000000,-5230507000000.000000,-3588114000000.000000,4338716000000.000000,53066000000.000000,,53066000000.000000,53066000000.000000,4391782000000.000000,-1214822000000.000000,3176960000000.000000,,3176960000000.000000,66027000000.000000,66027000000.000000,66027000000.000000,3242987000000.000000,3176960000000.000000,3174145000000.000000,2815000000.000000,3176960000000.000000,3242987000000.000000,3240172000000.000000,2815000000.000000,3242987000000.000000
12M 2012,16195571000000.000000,16195571000000.000000,,16195571000000.000000,-6486352000000.000000,-6486352000000.000000,,-6486352000000.000000,9709219000000.000000,-3968390000000.000000,,1941177000000.000000,442250000000.000000,-1142790000000.000000,-99000000.000000,26571000000.000000,489084000000.000000,331883000000.000000,2088076000000.000000,,-2881704000000.000000,-3035749000000.000000,-139013000000.000000,-6056466000000.000000,-3968390000000.000000,5740829000000.000000,46098000000.000000,,46098000000.000000,46098000000.000000,5786927000000.000000,-1537066000000.000000,4249861000000.000000,,4249861000000.000000,32810000000.000000,32810000000.000000,32810000000.000000,4282671000000.000000,4249861000000.000000,4233111000000.000000,16750000000.000000,4249861000000.000000,4282671000000.000000,4265921000000.000000,16750000000.000000,4282671000000.000000
12M 2013,17870203000000.000000,17870203000000.000000,,17870203000000.000000,-7749512000000.000000,-7749512000000.000000,,-7749512000000.000000,10120691000000.000000,-4254721000000.000000,,2203843000000.000000,12537000000.000000,-1203481000000.000000,,627277000000.000000,196676000000.000000,403430000000.000000,2240282000000.000000,,-3229054000000.000000,-3163476000000.000000,-102473000000.000000,-6495003000000.000000,-4254721000000.000000,5865970000000.000000,-33953000000.000000,,-33953000000.000000,-33953000000.000000,5832017000000.000000,-1535866000000.000000,4296151000000.000000,,4296151000000.000000,-1062195000000.000000,-1062195000000.000000,-1062195000000.000000,3233956000000.000000,4296151000000.000000,4282417000000.000000,13734000000.000000,4296151000000.000000,3233956000000.000000,3220222000000.000000,13734000000.000000,3233956000000.000000
12M 2014,20812884000000.000000,20812884000000.000000,,20812884000000.000000,-10123389000000.000000,-10123389000000.000000,,-10123389000000.000000,10689495000000.000000,-7731255000000.000000,,1716785000000.000000,-35331000000.000000,-3466274000000.000000,,306126000000.000000,129471000000.000000,448430000000.000000,-900793000000.000000,,-3281221000000.000000,-3511018000000.000000,-38223000000.000000,-6830462000000.000000,-7731255000000.000000,2958240000000.000000,241929000000.000000,,241929000000.000000,241929000000.000000,3200169000000.000000,-856329000000.000000,2343840000000.000000,,2343840000000.000000,351252000000.000000,351252000000.000000,351252000000.000000,2695092000000.000000,2343840000000.000000,2342431000000.000000,1409000000.000000,2343840000000.000000,2695092000000.000000,2693683000000.000000,1409000000.000000,2695092000000.000000
12M 2015,22318759000000.000000,22318759000000.000000,,22318759000000.000000,-10932399000000.000000,-10932399000000.000000,,-10932399000000.000000,11386360000000.000000,-10694697000000.000000,,1718096000000.000000,-395277000000.000000,-5343457000000.000000,,500407000000.000000,145162000000.000000,363330000000.000000,-3011739000000.000000,,-4156096000000.000000,-3520606000000.000000,-6256000000.000000,-7682958000000.000000,-10694697000000.000000,691663000000.000000,-121659000000.000000,,-121659000000.000000,-121659000000.000000,570004000000.000000,-142119000000.000000,427885000000.000000,,427885000000.000000,-196192000000.000000,-196192000000.000000,-196192000000.000000,231693000000.000000,427885000000.000000,427831000000.000000,54000000.000000,427885000000.000000,231693000000.000000,231639000000.000000,54000000.000000,231693000000.000000
12M 2016,21324648000000.000000,21324648000000.000000,,21324648000000.000000,-9230618000000.000000,-9230618000000.000000,,-9230618000000.000000,12094030000000.000000,-9340436000000.000000,,2113360000000.000000,-7499000000.000000,-4972951000000.000000,,396888000000.000000,284065000000.000000,278600000000.000000,-1907537000000.000000,,-3646919000000.000000,-3759535000000.000000,-26445000000.000000,-7432899000000.000000,-9340436000000.000000,2753594000000.000000,97114000000.000000,,97114000000.000000,97114000000.000000,2850708000000.000000,-768991000000.000000,2081717000000.000000,,2081717000000.000000,3446518000000.000000,3446518000000.000000,3446518000000.000000,5528235000000.000000,2081717000000.000000,2081687000000.000000,30000000.000000,2081717000000.000000,5528235000000.000000,5528205000000.000000,30000000.000000,5528235000000.000000
