Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Sewa Pembiayaan,Piutang Sewa Pembiayaan,Others,Total Piutang Sewa Pembiayaan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Deposito Berjangka,Others,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Efek-Efek Yang Diterbitkan,Pinjaman Yang Diterima,Utang Pajak,Beban Akrual,Obligasi Subordinasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,1727661000000.000000,5873283000000.000000,,4272144000000.000000,,4272144000000.000000,,4272144000000.000000,9071813000000.000000,,30786000000.000000,58947148000000.000000,,58977934000000.000000,,274825000000.000000,,274825000000.000000,,206043000000.000000,,206043000000.000000,,1239177000000.000000,,1239177000000.000000,,,,,302865000000.000000,11851444000000.000000,93797189000000.000000,,,451363000000.000000,75504905000000.000000,241563000000.000000,75263342000000.000000,,,,,,75504905000000.000000,2451386000000.000000,,,2451386000000.000000,99067000000.000000,907420000000.000000,93930000000.000000,581570000000.000000,238520000000.000000,1433281000000.000000,2808667000000.000000,,91335000000.000000,84661444000000.000000,,971807000000.000000,1810548000000.000000,1856176000000.000000,53870000000.000000,4443344000000.000000,9135745000000.000000,93797189000000.000000,12250748722.000000
12M 2008,,2766684000000.000000,2996213000000.000000,,1827563000000.000000,,1827563000000.000000,,1827563000000.000000,8263340000000.000000,,13564000000.000000,72777087000000.000000,,72790651000000.000000,,449039000000.000000,,449039000000.000000,,158463000000.000000,,158463000000.000000,,1183110000000.000000,,1183110000000.000000,,,,,613125000000.000000,12149386000000.000000,103197574000000.000000,,,202460000000.000000,84051318000000.000000,78313000000.000000,83973005000000.000000,,,,,,84051318000000.000000,1263133000000.000000,,,1263133000000.000000,1103102000000.000000,767818000000.000000,,858605000000.000000,258369000000.000000,1769348000000.000000,3258760000000.000000,,303433000000.000000,93836346000000.000000,,1552420000000.000000,6712481000000.000000,2544730000000.000000,58761000000.000000,-1507164000000.000000,9361228000000.000000,103197574000000.000000,23934863660.000000
12M 2009,,2758596000000.000000,3898110000000.000000,,2062212000000.000000,,2062212000000.000000,,2062212000000.000000,6613378000000.000000,,60274000000.000000,80054571000000.000000,,80114845000000.000000,,397725000000.000000,,397725000000.000000,,53942000000.000000,,53942000000.000000,,1258532000000.000000,,1258532000000.000000,,,,,616655000000.000000,9330279000000.000000,107104274000000.000000,,,360295000000.000000,86248689000000.000000,244240000000.000000,86004449000000.000000,,,,,,86248689000000.000000,1780983000000.000000,,,1780983000000.000000,109164000000.000000,1203012000000.000000,,981184000000.000000,441430000000.000000,1816413000000.000000,2802593000000.000000,,84139000000.000000,95827902000000.000000,,1552420000000.000000,6712481000000.000000,3672052000000.000000,65965000000.000000,-726546000000.000000,11276372000000.000000,107104274000000.000000,23934863660.000000
12M 2010,,2515903000000.000000,8714923000000.000000,,11029228000000.000000,,11029228000000.000000,-45792000000.000000,10983436000000.000000,6640036000000.000000,,47289000000.000000,103574635000000.000000,-3271710000000.000000,100350214000000.000000,,1172655000000.000000,-11223000000.000000,1161432000000.000000,,6907000000.000000,-1858000000.000000,5049000000.000000,,2867237000000.000000,-1675380000000.000000,1191857000000.000000,,,,,746741000000.000000,11343261000000.000000,143652852000000.000000,,,574984000000.000000,117833233000000.000000,,,,135841000000.000000,66344459000000.000000,66480300000000.000000,51352933000000.000000,117833233000000.000000,1199979000000.000000,698644000000.000000,501335000000.000000,1199979000000.000000,103109000000.000000,1327556000000.000000,,1688200000000.000000,387635000000.000000,1888011000000.000000,4705620000000.000000,,104025000000.000000,129812352000000.000000,,1552420000000.000000,6712481000000.000000,6000419000000.000000,73083000000.000000,-497903000000.000000,13840500000000.000000,143652852000000.000000,23934863660.000000
12M 2011,,2899117000000.000000,11154874000000.000000,,6113200000000.000000,,6113200000000.000000,-26049000000.000000,6087151000000.000000,6831418000000.000000,,29473000000.000000,122931369000000.000000,-3383653000000.000000,119577189000000.000000,,2682172000000.000000,-33223000000.000000,2648949000000.000000,,200470000000.000000,-1500000000.000000,198970000000.000000,,3310587000000.000000,-1907593000000.000000,1402994000000.000000,,,,,379903000000.000000,15620565000000.000000,166801130000000.000000,,,419352000000.000000,131814304000000.000000,,,,86761000000.000000,73311002000000.000000,73397763000000.000000,58416541000000.000000,131814304000000.000000,1754110000000.000000,1174141000000.000000,579969000000.000000,1754110000000.000000,132253000000.000000,2283462000000.000000,1492853000000.000000,4999837000000.000000,318017000000.000000,2200335000000.000000,3017116000000.000000,,,148431639000000.000000,,1612257000000.000000,8148573000000.000000,8974768000000.000000,66884000000.000000,-432991000000.000000,18369491000000.000000,166801130000000.000000,25131606843.000000
12M 2012,,3560580000000.000000,12793295000000.000000,,12399517000000.000000,,12399517000000.000000,-17236000000.000000,12382281000000.000000,8083940000000.000000,,43769000000.000000,140732390000000.000000,-3671720000000.000000,137104439000000.000000,,4570416000000.000000,-82586000000.000000,4487830000000.000000,,415095000000.000000,-6348000000.000000,408747000000.000000,,3821260000000.000000,-2160755000000.000000,1660505000000.000000,,,,,311580000000.000000,16619284000000.000000,197412481000000.000000,,,893763000000.000000,151015119000000.000000,,,,178444000000.000000,85185929000000.000000,85364373000000.000000,65650746000000.000000,151015119000000.000000,3219859000000.000000,2616973000000.000000,602886000000.000000,3219859000000.000000,160485000000.000000,3031374000000.000000,4083575000000.000000,6226563000000.000000,371677000000.000000,1877101000000.000000,3028393000000.000000,,852660000000.000000,174760569000000.000000,,1612257000000.000000,7033450000000.000000,13207879000000.000000,84139000000.000000,714187000000.000000,22651912000000.000000,197412481000000.000000,25131606843.000000
12M 2013,,4899659000000.000000,13906003000000.000000,,9507531000000.000000,,9507531000000.000000,-12483000000.000000,9495048000000.000000,10212927000000.000000,,63928000000.000000,149627573000000.000000,-3882512000000.000000,145808989000000.000000,,7230519000000.000000,-192128000000.000000,7038391000000.000000,,332691000000.000000,-21634000000.000000,311057000000.000000,,4517792000000.000000,-2449874000000.000000,2067918000000.000000,,,,,616042000000.000000,24510375000000.000000,218866409000000.000000,,,1049842000000.000000,163737362000000.000000,,,,94062000000.000000,91617338000000.000000,91711400000000.000000,72025962000000.000000,163737362000000.000000,806330000000.000000,252652000000.000000,553678000000.000000,806330000000.000000,917273000000.000000,5411742000000.000000,5976470000000.000000,8591371000000.000000,451196000000.000000,2161498000000.000000,2962569000000.000000,,914069000000.000000,192979722000000.000000,,1612257000000.000000,7033450000000.000000,17490296000000.000000,94659000000.000000,-343975000000.000000,25886687000000.000000,218866409000000.000000,25131606843.000000
12M 2014,,4499584000000.000000,14644709000000.000000,,3036007000000.000000,,3036007000000.000000,-8685000000.000000,3027322000000.000000,11484266000000.000000,,192311000000.000000,169188308000000.000000,-5757285000000.000000,163623334000000.000000,,7002830000000.000000,-351720000000.000000,6651110000000.000000,,273381000000.000000,-22318000000.000000,251063000000.000000,,5163840000000.000000,-2678812000000.000000,2485028000000.000000,,,,,408647000000.000000,26087360000000.000000,233162423000000.000000,,,997969000000.000000,174723234000000.000000,,,,154427000000.000000,96178057000000.000000,96332484000000.000000,78390750000000.000000,174723234000000.000000,2066556000000.000000,298447000000.000000,1768109000000.000000,2066556000000.000000,631921000000.000000,5113227000000.000000,5803195000000.000000,8814852000000.000000,328029000000.000000,2378059000000.000000,2970355000000.000000,,887332000000.000000,204714729000000.000000,,1612257000000.000000,7033450000000.000000,19832727000000.000000,734000000.000000,-31474000000.000000,28447694000000.000000,233162423000000.000000,25131606843.000000
12M 2015,,4240006000000.000000,14605403000000.000000,,5898585000000.000000,,5898585000000.000000,-14917000000.000000,5883668000000.000000,16049893000000.000000,,144370000000.000000,170588608000000.000000,-7050246000000.000000,163682732000000.000000,,6623851000000.000000,-347745000000.000000,6276106000000.000000,,179927000000.000000,-22244000000.000000,157683000000.000000,,6412155000000.000000,-3050304000000.000000,3361851000000.000000,,,,,504578000000.000000,24087332000000.000000,238849252000000.000000,,,786132000000.000000,178533077000000.000000,,,,155132000000.000000,94811229000000.000000,94966361000000.000000,83566716000000.000000,178533077000000.000000,5654410000000.000000,3353650000000.000000,2300760000000.000000,5654410000000.000000,888704000000.000000,4190087000000.000000,4476921000000.000000,6684630000000.000000,152655000000.000000,2710802000000.000000,2969774000000.000000,,3122673000000.000000,210169865000000.000000,,1612257000000.000000,7033450000000.000000,20260558000000.000000,788000000.000000,-227666000000.000000,28679387000000.000000,238849252000000.000000,25131606843.000000
12M 2016,,3261730000000.000000,13345736000000.000000,,4436233000000.000000,,4436233000000.000000,-11928000000.000000,4424305000000.000000,18184132000000.000000,,214746000000.000000,173372945000000.000000,-7664256000000.000000,165923435000000.000000,,6493921000000.000000,-433997000000.000000,6059924000000.000000,,82427000000.000000,-30446000000.000000,51981000000.000000,,7504192000000.000000,-2234845000000.000000,5269347000000.000000,,2285292000000.000000,-802995000000.000000,1482297000000.000000,296499000000.000000,23272342000000.000000,241571728000000.000000,,,1954804000000.000000,180571134000000.000000,,,,88768000000.000000,88673762000000.000000,88762530000000.000000,91808604000000.000000,180571134000000.000000,4557473000000.000000,2693999000000.000000,1863474000000.000000,4557473000000.000000,362917000000.000000,4077182000000.000000,3237704000000.000000,5436073000000.000000,323897000000.000000,1881462000000.000000,2979566000000.000000,,1981894000000.000000,207364106000000.000000,,1612257000000.000000,7033450000000.000000,22342245000000.000000,818000000.000000,3218852000000.000000,34207622000000.000000,241571728000000.000000,25131606843.000000
