Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,51833269565.000000,-24638553397.000000,27194716168.000000,-36891043896.000000,,-2615557222.000000,-34275486674.000000,-36891043896.000000,-9696327728.000000,-8746015031.000000,12472177810.000000,,-2535552172.000000,,,,-18682640669.000000,-8746015031.000000,-18442342759.000000,8082420586.000000,,-108947300.000000,8191367886.000000,8082420586.000000,,-10359922173.000000,,-148340077.000000,-10508262250.000000,,,-10508262250.000000,-10359922173.000000,-148340077.000000,-10508262250.000000,,,,
12M 2009,27419173764.000000,-13573929163.000000,13845244601.000000,-29447955301.000000,,-2138123010.000000,-27309832291.000000,-29447955301.000000,-15602710700.000000,13555353923.000000,3605592265.000000,,3189599398.000000,1384736713.000000,,,5375425547.000000,13555353923.000000,-2047356777.000000,2204886969.000000,,,2204886969.000000,2204886969.000000,,157530192.000000,,237844758.000000,395374950.000000,,,395374950.000000,157530192.000000,237844758.000000,395374950.000000,,,,
12M 2010,,,,-1536188626.000000,,,-1536188626.000000,-1536188626.000000,-1536188626.000000,-4806832480.000000,72083.000000,,,,,,-4806904563.000000,-4806832480.000000,-6343021106.000000,-3076750866.000000,,,-3076750866.000000,-3076750866.000000,,-9419771972.000000,,,-9419771972.000000,,,-9419771972.000000,-9419771972.000000,,-9419771972.000000,,,,
12M 2011,169893009273.000000,-145310349624.000000,24582659649.000000,-24734548834.000000,,-4825353895.000000,-19909194939.000000,-24734548834.000000,-151889185.000000,22963569544.000000,4135383841.000000,17218700225.000000,-55673441.000000,61850000.000000,-8053007966.000000,-13342952.000000,9669659837.000000,22963569544.000000,22811680359.000000,-10309227929.000000,,-10243966464.000000,-65261465.000000,-10309227929.000000,,12502452430.000000,,,12502452430.000000,,12502452430.000000,12502452430.000000,12231654859.000000,270797571.000000,12502452430.000000,12502452430.000000,12231654859.000000,270797571.000000,12502452430.000000
12M 2012,210413594731.000000,-139081132240.000000,71332462491.000000,-37907072669.000000,,-4967232402.000000,-32939840267.000000,-37907072669.000000,33425389822.000000,48738753159.000000,18072133448.000000,11983586797.000000,82776710.000000,34245500.000000,-13302890421.000000,32448125725.000000,-579224600.000000,48738753159.000000,82164142981.000000,-11364202407.000000,,-11364202407.000000,,-11364202407.000000,,70799940574.000000,,,70799940574.000000,,70799940574.000000,70799940574.000000,70579521465.000000,220419109.000000,70799940574.000000,70799940574.000000,70579521465.000000,220419109.000000,70799940574.000000
12M 2013,640032612090.000000,-345079033468.000000,294953578622.000000,-101377113364.000000,,-46711971625.000000,-54665141739.000000,-101377113364.000000,193576465258.000000,213599934226.000000,31707265922.000000,,-320855484.000000,91116903.000000,-9570473282.000000,194412282620.000000,-2719402453.000000,213599934226.000000,407176399484.000000,-30369594595.000000,-33403528428.000000,,3033933833.000000,-30369594595.000000,,376806804889.000000,,,376806804889.000000,,376806804889.000000,376806804889.000000,285980185473.000000,90826619416.000000,376806804889.000000,376806804889.000000,285980185473.000000,90826619416.000000,376806804889.000000
12M 2014,685034406501.000000,-391606028550.000000,293428377951.000000,-74223303522.000000,-74223303522.000000,,,-74223303522.000000,219205074429.000000,323688751799.000000,44414745102.000000,,,,-13756677224.000000,300288313656.000000,-7257629735.000000,323688751799.000000,542893826228.000000,-25336206144.000000,-34220579353.000000,,8884373209.000000,-25336206144.000000,,517557620084.000000,,,517557620084.000000,,517557620084.000000,517557620084.000000,426072632250.000000,91484987834.000000,517557620084.000000,517557620084.000000,426072632250.000000,91484987834.000000,517557620084.000000
12M 2015,1055922632197.000000,-359277847130.000000,696644785067.000000,-176036360933.000000,-176036360933.000000,,,-176036360933.000000,520608424134.000000,-53461761576.000000,20194310642.000000,,,,-18067193698.000000,-52541313449.000000,-3047565071.000000,-53461761576.000000,467146662558.000000,12495410722.000000,,,12495410722.000000,12495410722.000000,,479642073280.000000,,,479642073280.000000,-397942039.000000,479244131241.000000,479642073280.000000,244294583706.000000,235347489574.000000,479642073280.000000,479244131241.000000,245791538928.000000,233452592313.000000,479244131241.000000
12M 2016,514177471849.000000,-255851421815.000000,258326050034.000000,-132255140905.000000,-132255140905.000000,,,-132255140905.000000,126070909129.000000,-61642053512.000000,5740139039.000000,,,,-53434824257.000000,-7837595966.000000,-6109772328.000000,-61642053512.000000,64428855617.000000,-3276669726.000000,,,-3276669726.000000,-3276669726.000000,,61152185891.000000,,,61152185891.000000,-406070179.000000,60746115712.000000,61152185891.000000,701790747.000000,60450395144.000000,61152185891.000000,60746115712.000000,301500431.000000,60444615281.000000,60746115712.000000
12M 2017,299974293110.000000,-138757042638.000000,161217250472.000000,-104361544473.000000,-104361544473.000000,,,-104361544473.000000,56855705999.000000,-24097983605.000000,,,,,-21933793695.000000,-1446236394.000000,-717953516.000000,-24097983605.000000,32757722394.000000,7939889935.000000,-8697301176.000000,,16637191111.000000,7939889935.000000,,40697612329.000000,,,40697612329.000000,1248283351.000000,41945895680.000000,40697612329.000000,19579092007.000000,21118520322.000000,40697612329.000000,41945895680.000000,20788439642.000000,21157456038.000000,41945895680.000000
