Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lain-Lain",Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak Penghasilan,Pembayaran Bunga,Pencairan (Penempatan Pada) Dana Yang Dibatasi Penggunaannya,Penerimaan Bunga,Penerimaan Restitusi Pajak,Beban Operasi Dan Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Penempatan) Dari Pencairan Investasi Jangka Pendek,Pelepasan (Penempatan) Dari Pencairan Investasi Jangka Panjang,Pengalihan Sebagian Saham Entitas Anak,Pembayaran Uang Muka Proyek,Kenaikan Uang Muka,Penambahan Investasi Pada Saham,Penerimaan Dari Penjualan Investasi Pada Anak Perusahaan-Net,Penerimaan Dari Kelebihan Nilai Penyertaan Saham,Arus Kas Keluar Bersih Pada Saat Tanggal Pelepasan Entitas Anak Setelah Dikurangi Saldo Kas Setara Kas Entitas Anak Pada Tanggal Pelepasan,Akuisisi Anak Perusahaan,Bagian Nonpengendali Atas Pengembalian Uang Muka Setoran Modal Anak Perusahaan,Bagian Nonpengendali Atas Pembagian Dividen Interim,Uang Muka Aset Real Estat,Penerimaan Jaminan Pembelian Aset Properti,Pembayaran Uang Muka Investasi,Penerimaan Pengembalian Uang Muka Investasi,Perolehan Saham Entitas Anak Dari Pihak Non Pengendali,Penempatan Uang Muka Investasi,Pembayaran Jaminan,Hasil Pelepasan Saham Entitas Anak,Perolehan Aset Tetap,Penerimaan Dari Pihak Berelasi,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penyertaan Saham,Arus Kas Keluar Bersih Pada Saat Tanggal Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Setara Kas Entitas Anak Pada Tanggal Akuisisi,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Bunga,Dividen Entitas Asosiasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal Melalui Put I,Penarikan Kembali Setoran Modal,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan Tambahan Modal Disetor Dari Kepentingan Non Pengendali,Penerimaan (Pembayaran) Pinjaman Bank,Penerimaan (Pembayaran) Utang (Piutang) Lain-Lain,Penerimaan (Pembayaran) Utang (Piutang) Dari Pihak Berelasi,Penerimaan (Pembayaran) Piutang Hubungan Istimewa,Penerimaan (Pembayaran) Utang Hubungan Istimewa,Total Penerimaan (Pembayaran) Utang (Piutang) Dari Pihak Berelasi,Kenaikan Uang Muka Setoran Modal Dari Aset Pengampunan Pajak,Penerimaan (Pembayaran) Anjak Piutang,Penerimaan (Pembayaran) Pembiayaan Konsumen,Pembayaran Penurunan Modal Kepada Pihak Non Pengendali,Penerimaan Penambahan Modal Saham,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Penerimaan (Pembayaran) Dividen,Pembayaran Beban Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Dikonsolidasikan Awal Tahun,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Dekonsolidasi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,-107012208381.000000,17865941615.000000,-56006473424.000000,,-5796332530.000000,,,,,-63075344042.000000,-107012208381.000000,-988572836491.000000,-156131977116.000000,,,,,,,68220844696.000000,,,,,-355728931819.000000,-515433167339.000000,,,,,,,-29499604913.000000,,,,,,,,,,-988572836491.000000,1235306358710.000000,1288380000000.000000,,,,,104446450869.000000,,,-22558728495.000000,,-22558728495.000000,,-81539220939.000000,-12689673767.000000,,,,,-40732468958.000000,1235306358710.000000,139721313838.000000,,6599627433.000000,,,146320941271.000000
12M 2009,-57739409525.000000,38469048179.000000,-78543082038.000000,,-16284900.000000,,,,,-17649090766.000000,-57739409525.000000,-4621988302.000000,-41726186475.000000,,,,,,,38048227024.000000,,,,,,,,,,,,,-11331327439.000000,,,,,,10387298588.000000,,,,-4621988302.000000,-77662965851.000000,,,,,,-67907585144.000000,,,-40841717481.000000,,-40841717481.000000,,29748068482.000000,1717370643.000000,,,,-379102351.000000,,-77662965851.000000,-140024363678.000000,,146320941271.000000,,,6296577593.000000
12M 2010,-1840705824.000000,,,,,,,,,-1840705824.000000,-1840705824.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859923450.000000,,,,,,,,,,1859923450.000000,1859923450.000000,,,,,,,,,1859923450.000000,19217626.000000,,4988104.000000,,,24205730.000000
12M 2011,162352192444.000000,339178004224.000000,-161716137148.000000,,,-15109674632.000000,,,,,162352192444.000000,132234330535.000000,-47600000000.000000,,,,,,869075000000.000000,,-1262929383361.000000,,-46739640.000000,,,515433167339.000000,-67482949552.000000,122849100000.000000,,,,,-1373742149.000000,,,,,,320047915.000000,3989829983.000000,,,132234330535.000000,-116623034243.000000,,,,,,-151615727350.000000,,,,34992635007.000000,34992635007.000000,,,,,58100.000000,,,,-116623034243.000000,177963488736.000000,,24205730.000000,,,177987694466.000000
12M 2012,483531112919.000000,883303180183.000000,-374244683187.000000,,-12224493657.000000,-13302890420.000000,,,,,483531112919.000000,-20589206485.000000,47600000000.000000,,,,,,,,-206519875710.000000,,,,,,-28530775243.000000,249646605318.000000,,,,,-278587027.000000,,,,,-100374643848.000000,-204063423.000000,18072133448.000000,,,-20589206485.000000,-171348643539.000000,,,,,,-81812572945.000000,,-89630420594.000000,,,-89630420594.000000,,,,,94350000.000000,,,,-171348643539.000000,291593262895.000000,,177987694466.000000,,,469580957361.000000
12M 2013,23475274756.000000,702481809678.000000,-622867868100.000000,,-46568193540.000000,-9570473282.000000,,,,,23475274756.000000,176929956261.000000,,,,,,,,,,,,,,,,24536671074.000000,,,,,-484480698.000000,,,,,,170499963.000000,31707265922.000000,121000000000.000000,,176929956261.000000,-15097059415.000000,,,90000000000.000000,,,-55000000000.000000,,-24203749438.000000,,,-24203749438.000000,,,,,11638412800.000000,,-37531722777.000000,,-15097059415.000000,185308171602.000000,,469580957361.000000,,,654889128963.000000
12M 2014,-185660481980.000000,741540569300.000000,-852727024104.000000,,-60717349952.000000,-13756677224.000000,,,,,-185660481980.000000,166403098082.000000,,,,,,,,,,-213000000.000000,,,,,-172118443166.000000,,,,,,-876703854.000000,,,,,,196500000.000000,44414745102.000000,295000000000.000000,,166403098082.000000,-160116235974.000000,,,10000000000.000000,,,-37500000000.000000,,1833836226.000000,,,1833836226.000000,,,,,,,-134450072200.000000,,-160116235974.000000,-179373619872.000000,250000000.000000,654889128963.000000,,,475765509091.000000
12M 2015,-310247098283.000000,434612633176.000000,-676711297800.000000,,-50081239961.000000,-18067193698.000000,,,,,-310247098283.000000,-32462325403.000000,,,,,,,,,,-2582000000.000000,,,,,-88467248730.000000,,,,,,-7662387315.000000,,,,,,55000000.000000,20194310642.000000,46000000000.000000,,-32462325403.000000,46298206474.000000,,,187500000000.000000,,,-61876006963.000000,,-1653088963.000000,,,-1653088963.000000,,,,,,,-77672697600.000000,,46298206474.000000,-296411217212.000000,323987479.000000,475765509091.000000,,,179678279358.000000
12M 2016,-135841125785.000000,484852481253.000000,-557754383974.000000,,-11146457144.000000,-51792765920.000000,,,,,-135841125785.000000,38602706077.000000,,,,,,,,17000000000.000000,,,,,,,16291686794.000000,,,,,,-496553251.000000,,,,,,67369316.000000,5740203218.000000,,,38602706077.000000,31206463907.000000,,,381692634094.000000,,,-198074977580.000000,,2507674353.000000,,,2507674353.000000,253750000.000000,,,,,,-155172616960.000000,,31206463907.000000,-66031955801.000000,,179678279358.000000,,,113646323557.000000
12M 2017,-74589495391.000000,442430705009.000000,-440778862689.000000,,-9780247781.000000,-64236449142.000000,-6659179859.000000,4434539071.000000,,,-74589495391.000000,33992857453.000000,,,,,,,,,,,,,,,,37853120000.000000,,-3522599652.000000,,,-337662895.000000,,,,,,,,,,33992857453.000000,47425575067.000000,,,289598969000.000000,,,-164425515508.000000,,-3949933383.000000,,,-3949933383.000000,,,-873360640.000000,,,,-72924584402.000000,,47425575067.000000,6828937129.000000,,97736795833.000000,8378407.000000,,104574111369.000000
